"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","__Z score Length","__RSI","__CCI","__DMI","__AROON","__EMA","__Factor (SuperTrend)","__AtrPeriod (SuperTrend)","__𝛃1 (rsi)","__𝛃2 (cci)","__𝛃3 (dmi)","__𝛃4 (aroon)","__𝛃5 (ema)","__𝛃6 (SuperTrend)","__Step of learing","__Timezones: Src","__-> Dst","__Srart From ","__End To       ","__Select Session Days","__Mon","__Tue","__Wed","__Thu","__Fri","__Sat","__Sun","__Session Start","__:","__Session End ","__1. ADX:","__L","__S","__Lv","__2. MACD:","__Lf","__Ls","__3. Bar direction=Trade direction","__4. Rising Volume","__5. Rising/Falling MA:","__Length","__Bars","__6. High/Low Filter:","__Lookback","__7. Maximum close change allowed on entry:","__(％)","__8. Minimum close change allowed on entry:","__9. RSI:","__OS","__OB","__10. MA:","__Type","__11. EMA Difference:","__EMA 1","__EMA 2","__13. M.Bias:","__P","__Take Profit Type","__Stop Loss Type","__ Profit ％    ","__ Stop ％  ","__ Profit ＄    ","__ Stop ＄  ","__ ATR Period  ","__ Multiplier","__ Trailing ％  ","__ R:R    1:","__Fixed RR","__ HH / LL   ","__  LO / HI ","__Add ％","__ MA Stop","__ Len","__ Step","__ 𝐄𝐱𝐭𝐞𝐫𝐧𝐚𝐥 𝐒𝐨𝐮𝐫𝐜𝐞  ","__ Long Deals    ","__ Short Deals","__ Wait End Deal ","__ Reverse Deals","__ ReEntry Deal  ","__ ReOpen Deal","__Loss Streak   ","__Win Streak   ","__Row Loss InDay","__DrawDown ％","__InDay Loss ％ ","__Daily Trades  ","__Weekly Trades","__     Order Size","__Use Net Profit","__​🇪​​🇶​​🇺​​🇮​​🇹​​🇾​","__​🇸​​🇮​​🇿​​🇪","__​🇨​​🇴​​🇳​​🇹​​🇷​​🇦​​🇨​​🇹​​🇸​","__Take Profit LV 1","__﻿","__Take Profit LV 2","__Take Profit LV 3","__Take Profit LV 4","__Take Profit LV 5","__Stop Loss","__𝐓𝐈𝐏 𝐅𝐨𝐫 𝐓𝐏","__ SL 0 Position","__Breakeven on TP","__ CoolDown # Bars","comment"
23.86,0.24,-7.15,-0.07,31.01,0.31,1066.70,10.67,582.93,5.83,483.77,4.84,1042.84,10.43,590.08,5.90,452.76,4.53,159.66,1.57,223.09,2.20,5983.51,59.84,-0.24,-0.32,1.02,0.99,1.07,0,0,0,0,0,180.98,105.64,75.34,120.00,70.00,50.00,0,0,0,54.00,31.00,23.00,66.00,39.00,27.00,45.00,44.29,46.00,0.20,0.02,-0.10,-0.01,0.62,0.06,19.75,1.97,18.80,1.87,21.03,2.09,15.80,1.57,15.13,1.50,16.77,1.67,1.25,1.24,1.25,49.69,4.98,49.69,4.98,41.98,4.23,32.04,3.20,29.99,3.01,32.04,3.20,38.00,36.00,42.00,35.00,27.00,47.00,41.00,43.00,38.00,0,0,0,200.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Default parameters."
40.23,0.40,82.55,0.83,-42.32,-0.42,950.47,9.50,550.21,5.50,400.25,4.00,910.24,9.10,467.66,4.68,442.58,4.43,128.09,1.27,172.14,1.70,5976.94,59.77,-0.11,-0.13,1.04,1.18,0.90,0,0,0,0,0,224.12,129.44,94.67,149.00,86.00,63.00,0,0,0,79.00,47.00,32.00,70.00,39.00,31.00,53.02,54.65,50.79,0.27,0.03,0.96,0.10,-0.67,-0.07,12.03,1.20,11.71,1.17,12.51,1.25,13.00,1.30,11.99,1.19,14.28,1.42,0.93,0.98,0.88,32.46,3.25,32.46,3.25,27.62,2.77,30.27,3.02,23.52,2.34,30.27,3.02,23.00,21.00,25.00,18.00,15.00,22.00,28.00,28.00,28.00,0,0,0,100.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.20,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-273.85,-2.74,-100.33,-1.00,-173.53,-1.74,723.53,7.24,415.11,4.15,308.42,3.08,997.38,9.97,515.44,5.15,481.95,4.82,74.62,0.74,337.18,3.36,5976.94,59.77,-0.96,-0.69,0.73,0.81,0.64,0,0,0,0,0,304.59,168.54,136.05,206.00,114.00,92.00,0,0,0,83.00,47.00,36.00,123.00,67.00,56.00,40.29,41.23,39.13,-1.33,-0.13,-0.88,-0.09,-1.89,-0.19,8.72,0.89,8.83,0.90,8.57,0.87,8.11,0.82,7.69,0.78,8.61,0.87,1.08,1.15,1.00,25.51,2.62,25.51,2.62,21.24,2.18,18.26,1.87,14.32,1.46,18.26,1.87,11.00,11.00,11.00,13.00,11.00,15.00,10.00,11.00,9.00,0,0,0,150.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,1.50,3.00,1.60,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-108.16,-1.08,-64.86,-0.65,-43.30,-0.43,877.15,8.77,465.98,4.66,411.17,4.11,985.31,9.85,530.84,5.31,454.48,4.54,101.10,1.02,235.75,2.34,5979.99,59.80,-0.98,-0.70,0.89,0.88,0.91,0,0,0,0,0,238.50,132.71,105.79,160.00,89.00,71.00,0,0,0,83.00,45.00,38.00,77.00,44.00,33.00,51.88,50.56,53.52,-0.68,-0.07,-0.73,-0.07,-0.61,-0.06,10.57,1.06,10.36,1.04,10.82,1.09,12.80,1.29,12.06,1.21,13.77,1.38,0.83,0.86,0.79,29.33,2.97,29.33,2.97,24.93,2.52,29.93,3.02,23.20,2.34,29.93,3.02,21.00,21.00,20.00,15.00,15.00,16.00,27.00,28.00,25.00,0,0,0,150.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.10,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-8.58,-0.09,50.72,0.51,-59.30,-0.59,1011.99,10.12,658.95,6.59,353.04,3.53,1020.57,10.21,608.23,6.08,412.34,4.12,188.84,1.87,186.03,1.85,5928.82,59.29,-0.90,-0.69,0.99,1.08,0.86,0,0,0,-1.11,-0.01,210.38,135.53,74.85,140.00,90.00,50.00,1.00,1.00,0,57.00,38.00,19.00,83.00,52.00,31.00,40.71,42.22,38.00,-0.06,0,0.56,0.06,-1.19,-0.12,17.75,1.78,17.34,1.74,18.58,1.86,12.30,1.23,11.70,1.17,13.30,1.33,1.44,1.48,1.40,46.57,4.67,46.57,4.67,39.83,3.98,30.28,3.02,23.63,2.34,30.28,3.02,29.00,31.00,26.00,29.00,29.00,31.00,29.00,32.00,23.00,0,0,0,50.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.70,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
13.44,0.13,18.67,0.19,-5.23,-0.05,1014.10,10.14,606.11,6.06,407.99,4.08,1000.66,10.01,587.44,5.87,413.22,4.13,182.08,1.81,212.03,2.10,5929.47,59.29,-0.26,-0.35,1.01,1.03,0.99,0,0,0,-1.07,-0.01,175.71,109.97,65.73,117.00,73.00,44.00,1.00,1.00,0,49.00,31.00,18.00,68.00,42.00,26.00,41.88,42.47,40.91,0.11,0.01,0.26,0.03,-0.12,-0.01,20.70,2.08,19.55,1.96,22.67,2.27,14.72,1.47,13.99,1.40,15.89,1.59,1.41,1.40,1.43,52.40,5.29,52.40,5.29,45.16,4.52,36.04,3.59,27.93,2.78,36.04,3.59,41.00,42.00,40.00,48.00,44.00,55.00,36.00,40.00,29.00,0,0,0,50.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,1.60,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-329.77,-3.30,-129.64,-1.30,-200.13,-2.00,530.67,5.31,302.91,3.03,227.76,2.28,860.44,8.60,432.55,4.33,427.89,4.28,49.81,0.51,352.49,3.52,5979.11,59.79,-1.71,-0.86,0.62,0.70,0.53,0,0,0,0,0,314.19,172.56,141.64,213.00,117.00,96.00,0,0,0,106.00,60.00,46.00,107.00,57.00,50.00,49.77,51.28,47.92,-1.55,-0.16,-1.11,-0.11,-2.08,-0.21,5.01,0.51,5.05,0.51,4.95,0.50,8.04,0.82,7.59,0.77,8.56,0.87,0.62,0.67,0.58,16.85,1.74,16.85,1.74,12.76,1.31,18.17,1.87,14.26,1.46,18.17,1.87,8.00,8.00,7.00,8.00,8.00,8.00,8.00,8.00,7.00,0,0,0,150.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,1.50,3.00,1.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-235.68,-2.36,-114.30,-1.14,-121.37,-1.21,736.32,7.36,419.92,4.20,316.40,3.16,972.00,9.72,534.22,5.34,437.77,4.38,80.83,0.82,316.53,3.15,5977.91,59.78,-0.79,-0.62,0.76,0.79,0.72,0,0,0,0,0,274.45,157.84,116.62,186.00,107.00,79.00,0,0,0,92.00,52.00,40.00,94.00,55.00,39.00,49.46,48.60,50.63,-1.27,-0.13,-1.07,-0.11,-1.54,-0.16,8.00,0.82,8.08,0.82,7.91,0.80,10.34,1.05,9.71,0.99,11.22,1.14,0.77,0.83,0.71,23.27,2.39,23.27,2.39,19.37,1.99,23.88,2.44,18.64,1.90,23.88,2.44,14.00,16.00,12.00,12.00,12.00,11.00,17.00,19.00,14.00,0,0,0,150.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.00,3.00,1.10,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-99.34,-0.99,-9.52,-0.10,-89.82,-0.90,881.54,8.82,508.94,5.09,372.60,3.73,980.88,9.81,518.46,5.18,462.42,4.62,122.78,1.24,271.78,2.70,5977.91,59.78,-0.39,-0.38,0.90,0.98,0.81,0,0,0,0,0,275.00,156.12,118.88,185.00,105.00,80.00,0,0,0,89.00,51.00,38.00,96.00,54.00,42.00,48.11,48.57,47.50,-0.54,-0.05,-0.09,-0.01,-1.12,-0.11,9.90,1.00,9.98,1.01,9.81,0.99,10.22,1.03,9.60,0.97,11.01,1.11,0.97,1.04,0.89,28.13,2.85,28.13,2.85,23.44,2.38,24.19,2.44,18.86,1.90,24.19,2.44,14.00,16.00,13.00,12.00,13.00,11.00,17.00,19.00,14.00,0,0,0,100.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.00,3.00,1.30,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
-376.94,-3.77,-148.25,-1.48,-228.69,-2.29,246.32,2.46,158.86,1.59,87.46,0.87,623.26,6.23,307.11,3.07,316.15,3.16,24.16,0.25,382.49,3.82,5974.90,59.75,-3.20,-0.95,0.40,0.52,0.28,0,0,0,0,0,353.61,194.42,159.19,240.00,132.00,108.00,0,0,0,86.00,50.00,36.00,154.00,82.00,72.00,35.83,37.88,33.33,-1.57,-0.16,-1.12,-0.11,-2.12,-0.22,2.86,0.29,3.18,0.32,2.43,0.25,4.05,0.41,3.75,0.38,4.39,0.45,0.71,0.85,0.55,16.84,1.74,16.84,1.74,12.71,1.31,14.71,1.49,8.90,0.90,14.71,1.49,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,0,0,0,200.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,0.50,3.00,1.60,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"All parameters are changed randomly"
