"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Z score Length","__RSI","__CCI","__DMI","__AROON","__EMA","__Factor (SuperTrend)","__AtrPeriod (SuperTrend)","__𝛃1 (rsi)","__𝛃2 (cci)","__𝛃3 (dmi)","__𝛃4 (aroon)","__𝛃5 (ema)","__𝛃6 (SuperTrend)","__Step of learing","__Timezones: Src","__-> Dst","__Srart From ","__End To       ","__Select Session Days","__Mon","__Tue","__Wed","__Thu","__Fri","__Sat","__Sun","__Session Start","__:","__Session End ","__1. ADX:","__L","__S","__Lv","__2. MACD:","__Lf","__Ls","__3. Bar direction=Trade direction","__4. Rising Volume","__5. Rising/Falling MA:","__Length","__Bars","__6. High/Low Filter:","__Lookback","__7. Maximum close change allowed on entry:","__(％)","__8. Minimum close change allowed on entry:","__9. RSI:","__OS","__OB","__10. MA:","__Type","__11. EMA Difference:","__EMA 1","__EMA 2","__13. M.Bias:","__P","__Take Profit Type","__Stop Loss Type","__ Profit ％    ","__ Stop ％  ","__ Profit ＄    ","__ Stop ＄  ","__ ATR Period  ","__ Multiplier","__ Trailing ％  ","__ R:R    1:","__Fixed RR","__ HH / LL   ","__  LO / HI ","__Add ％","__ MA Stop","__ Len","__ Step","__ 𝐄𝐱𝐭𝐞𝐫𝐧𝐚𝐥 𝐒𝐨𝐮𝐫𝐜𝐞  ","__ Long Deals    ","__ Short Deals","__ Wait End Deal ","__ Reverse Deals","__ ReEntry Deal  ","__ ReOpen Deal","__Loss Streak   ","__Win Streak   ","__Row Loss InDay","__DrawDown ％","__InDay Loss ％ ","__Daily Trades  ","__Weekly Trades","__     Order Size","__Use Net Profit","__​🇪​​🇶​​🇺​​🇮​​🇹​​🇾​","__​🇸​​🇮​​🇿​​🇪","__​🇨​​🇴​​🇳​​🇹​​🇷​​🇦​​🇨​​🇹​​🇸​","__Take Profit LV 1","__﻿","__Take Profit LV 2","__Take Profit LV 3","__Take Profit LV 4","__Take Profit LV 5","__Stop Loss","__𝐓𝐈𝐏 𝐅𝐨𝐫 𝐓𝐏","__ SL 0 Position","__Breakeven on TP","__ CoolDown # Bars"
1184.13,11.84,655.83,6.56,528.30,5.28,7260.89,72.61,3064.26,30.64,4196.63,41.97,6076.76,60.77,2408.42,24.08,3668.33,36.68,1949.44,16.65,1499.25,12.94,-5959.03,-59.59,0.06,0.09,1.20,1.27,1.14,372.00,369.00,372.00,-16.72,-0.15,220.87,98.32,122.55,136.00,60.00,76.00,1.00,1.00,0,63.00,31.00,32.00,73.00,29.00,44.00,46.32,51.67,42.11,8.71,0.87,10.93,1.07,6.95,0.72,115.25,10.81,98.85,9.27,131.14,12.30,83.24,7.71,83.05,7.70,83.37,7.71,1.39,1.19,1.57,264.58,26.94,157.36,15.88,264.58,26.94,190.85,16.61,132.40,12.84,190.85,16.61,57.00,42.00,68.00,80.00,48.00,112.00,36.00,36.00,37.00,0,0,0,"Current parameters.",50.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,0,"SMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
-0.75,-0.01,-0.75,-0.01,0,0,0,0,0,0,0,0,0.75,0.01,0.75,0.01,0,0,9627.60,49.05,892.65,8.93,-6002.67,-60.03,"N/A","N/A",0,0,"N/A",45.00,45.00,0,-600.16,-6.00,0.75,0.75,0,0,0,0,1.00,1.00,0,0,0,0,0,0,0,"N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,0,0,0,0,0,0,0,0,0,0,0,0,"All parameters are changed randomly",65.00,62.00,57.00,27.00,57.00,55.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.06,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,0,"SMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
-0.75,-0.01,-0.75,-0.01,0,0,0,0,0,0,0,0,0.75,0.01,0.75,0.01,0,0,9627.60,49.05,892.65,8.93,-6004.46,-60.04,"N/A","N/A",0,0,"N/A",45.00,45.00,0,-600.34,-6.00,0.75,0.75,0,0,0,0,1.00,1.00,0,0,0,0,0,0,0,"N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,0,0,0,0,0,0,0,0,0,0,0,0,"All parameters are changed randomly",41.00,52.00,71.00,32.00,37.00,60.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.16,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,0,"SMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
955.91,9.56,698.16,6.98,257.75,2.58,6678.20,66.78,2789.42,27.89,3888.78,38.89,5722.29,57.22,2091.26,20.91,3631.03,36.31,2276.53,19.04,1098.20,9.26,-6017.09,-60.17,0.04,0.06,1.17,1.33,1.07,387.00,370.00,387.00,-26.40,-0.24,218.02,97.39,120.63,131.00,58.00,73.00,1.00,1.00,0,58.00,28.00,30.00,73.00,30.00,43.00,44.27,48.28,41.10,7.30,0.74,12.04,1.17,3.53,0.40,115.14,10.61,99.62,9.18,129.63,11.95,78.39,7.10,69.71,6.32,84.44,7.65,1.47,1.43,1.54,223.76,21.96,161.33,14.75,223.76,21.96,163.19,16.25,120.04,11.11,163.19,16.25,43.00,30.00,54.00,54.00,26.00,80.00,35.00,34.00,36.00,0,0,0,"All parameters are changed randomly",81.00,52.00,90.00,37.00,47.00,45.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.10,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,0,"SMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
-0.75,-0.01,-0.75,-0.01,0,0,0,0,0,0,0,0,0.75,0.01,0.75,0.01,0,0,9627.60,49.05,892.65,8.93,-6007.13,-60.07,"N/A","N/A",0,0,"N/A",45.00,45.00,0,-600.61,-6.01,0.75,0.75,0,0,0,0,1.00,1.00,0,0,0,0,0,0,0,"N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,0,0,0,0,0,0,0,0,0,0,0,0,"All parameters are changed randomly",33.00,67.00,57.00,62.00,62.00,15.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.12,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,0,"SMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
856.96,8.57,837.05,8.37,19.91,0.20,7173.46,71.73,3327.47,33.27,3845.99,38.46,6316.50,63.16,2490.42,24.90,3826.08,38.26,2323.01,19.25,1229.34,10.24,-5948.04,-59.48,0.03,0.04,1.14,1.34,1.00,384.00,375.00,384.00,-16.95,-0.16,231.66,112.22,119.43,139.00,67.00,72.00,1.00,1.00,0,63.00,34.00,29.00,76.00,33.00,43.00,45.32,50.75,40.28,6.17,0.64,12.49,1.19,0.28,0.12,113.86,10.49,97.87,9.02,132.62,12.21,83.11,7.53,75.47,6.87,88.98,8.03,1.37,1.30,1.49,251.13,25.61,155.37,15.75,251.13,25.61,178.69,16.25,131.35,12.43,178.69,16.25,52.00,37.00,65.00,69.00,37.00,107.00,38.00,38.00,37.00,0,0,0,"All parameters are changed randomly",65.00,42.00,85.00,22.00,32.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.10,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,0,"SMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
-0.75,-0.01,-0.75,-0.01,0,0,0,0,0,0,0,0,0.75,0.01,0.75,0.01,0,0,9627.60,49.05,892.65,8.93,-6000.89,-60.01,"N/A","N/A",0,0,"N/A",45.00,45.00,0,-599.98,-6.00,0.75,0.75,0,0,0,0,1.00,1.00,0,0,0,0,0,0,0,"N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,0,0,0,0,0,0,0,0,0,0,0,0,"All parameters are changed randomly",33.00,22.00,22.00,27.00,27.00,50.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.14,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,0,"SMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
-0.75,-0.01,-0.75,-0.01,0,0,0,0,0,0,0,0,0.75,0.01,0.75,0.01,0,0,9627.60,49.05,892.65,8.93,-5998.66,-59.99,"N/A","N/A",0,0,"N/A",45.00,45.00,0,-599.76,-6.00,0.75,0.75,0,0,0,0,1.00,1.00,0,0,0,0,0,0,0,"N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,0,0,0,0,0,0,0,0,0,0,0,0,"All parameters are changed randomly",25.00,52.00,50.00,42.00,27.00,40.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,0,"SMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
-0.75,-0.01,-0.75,-0.01,0,0,0,0,0,0,0,0,0.75,0.01,0.75,0.01,0,0,9627.60,49.05,892.65,8.93,-5997.76,-59.98,"N/A","N/A",0,0,"N/A",45.00,45.00,0,-599.67,-6.00,0.75,0.75,0,0,0,0,1.00,1.00,0,0,0,0,0,0,0,"N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,0,0,0,0,0,0,0,0,0,0,0,0,"All parameters are changed randomly",97.00,57.00,22.00,62.00,42.00,45.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.04,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,0,"SMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
1622.81,16.23,1561.88,15.62,60.93,0.61,7537.54,75.38,3559.11,35.59,3978.43,39.78,5914.74,59.15,1997.24,19.97,3917.50,39.17,2907.35,22.79,1111.78,8.79,-5932.72,-59.33,0.13,0.19,1.27,1.78,1.02,423.00,413.00,423.00,-17.86,-0.15,235.80,109.68,126.12,133.00,61.00,72.00,1.00,1.00,0,65.00,36.00,29.00,68.00,25.00,43.00,48.87,59.02,40.28,12.20,1.18,25.60,2.33,0.85,0.20,115.96,10.12,98.86,8.59,137.19,12.02,86.98,7.38,79.89,6.69,91.10,7.77,1.33,1.24,1.51,270.21,26.86,170.51,15.60,270.21,26.86,198.32,15.80,140.61,11.94,198.32,15.80,49.00,37.00,60.00,62.00,32.00,99.00,37.00,43.00,33.00,0,0,0,"All parameters are changed randomly",97.00,42.00,78.00,17.00,67.00,25.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.12,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,0,"SMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
