"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","__Range","__Period","__Factor","__Forecast","__Peak & Trough","__Spread Percentage","__Show Trendline","__Trend Direction","__Show Price Close","__Show MA01","__Show MA02","__Show Trend","__Show RSI","__Show MACDV","__Show SignalV","__Show Condition","__Show Momentum","__MACD-V Fast","__MACD-V Slow","__MACD-V Signal","__ATR","__Show TF MN","__MA1","__MA2","__Timezones: Src","__-> Dst","__Srart From ","__End To       ","__Select Session Days","__Mon","__Tue","__Wed","__Thu","__Fri","__Sat","__Sun","__Session Start","__:","__Session End ","__1. ADX:","__1L","__S","__Lv","__2. MACD:","__Lf","__Ls","__3. Bar direction=Trade direction","__4. Rising Volume","__5. Rising/Falling MA:","__Length","__Bars","__6. High/Low Filter:","__Lookback","__7. Maximum close change allowed on entry:","__(％)","__8. Minimum close change allowed on entry:","__9. RSI:","__9L","__OS","__OB","__10. MA:","__Type","__10L","__11. EMA Difference:","__EMA 1","__EMA 2","__13. Bias:","__13L","__P","__14. TimeFrame:","__Take Profit Type","__Stop Loss Type","__ Profit ％    ","__ Stop ％  ","__ Profit ＄    ","__ Stop ＄  ","__ ATR Period  ","__ Multiplier","__ Trailing ％  ","__ R:R    1:","__Fixed RR","__ HH / LL   ","__  LO / HI ","__Add ％","__ MA Stop","__ Len","__ Step","__ 𝐄𝐱𝐭𝐞𝐫𝐧𝐚𝐥 𝐒𝐨𝐮𝐫𝐜𝐞  ","__ Long Deals    ","__ Short Deals","__ Wait End Deal ","__ Reverse Deals","__ ReEntry Deal  ","__ ReOpen Deal","__Loss Streak","__Win Streak","__Row Loss InDay","__DrawDown %","__InDay Loss %","__Daily Trades","__Weekly Trades","__Order Size","__Use Net Profit","__​🇪​​🇶​​🇺​​🇮​​🇹​​🇾​","__​🇸​​🇮​​🇿​​🇪","__​🇨​​🇴​​🇳​​🇹​​🇷​​🇦​​🇨​​🇹​​🇸​","__Take Profit LV 1","__﻿","__Take Profit LV 2","__Take Profit LV 3","__Take Profit LV 4","__Take Profit LV 5","__Stop Loss","__𝐓𝐈𝐏 𝐅𝐨𝐫 𝐓𝐏","__ SL 0 Position","__Breakeven on TP","__ CoolDown # Bars","__Dashboard Size","__Performance Summary","__Monthly Performance","__Active Filters","__5m","__15m","__30m","__45m","__1h","__2h","__3h","__4h","__1d","__Show Trade Stats⚠️🐌","comment"
168.60,16.86,88.68,8.87,79.92,7.99,517.62,51.76,282.12,28.21,235.50,23.55,349.02,34.90,193.44,19.34,155.58,15.56,319.01,26.14,129.85,12.75,151.30,15.13,0.12,0.23,1.48,1.46,1.51,3368.00,3305.00,3368.00,0,0,46.22,23.54,22.68,30.00,15.00,15.00,0,0,0,14.00,7.00,7.00,16.00,8.00,8.00,46.67,46.67,46.67,5.62,0.57,5.91,0.64,5.33,0.50,36.97,3.63,40.30,3.98,33.64,3.28,21.81,2.11,24.18,2.28,19.45,1.94,1.70,1.67,1.73,85.30,9.10,85.30,9.10,51.56,4.97,32.78,3.38,32.78,3.38,27.37,2.72,29.00,29.00,29.00,28.00,35.00,21.00,30.00,24.00,35.00,0,0,0,220.00,100.00,2.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"Best value parameters."
-169.32,-16.93,-219.61,-21.96,50.30,5.03,700.66,70.07,177.94,17.79,522.72,52.27,869.97,87.00,397.55,39.76,472.42,47.24,132.39,14.12,272.66,26.19,151.30,15.13,-0.10,-0.14,0.81,0.45,1.11,3450.00,3316.00,3450.00,0,0,101.44,38.94,62.50,73.00,28.00,45.00,0,0,0,31.00,9.00,22.00,42.00,19.00,23.00,42.47,32.14,48.89,-2.32,-0.22,-7.84,-0.85,1.12,0.17,22.60,2.51,19.77,2.16,23.76,2.65,20.71,2.24,20.92,2.27,20.54,2.20,1.09,0.95,1.16,42.99,4.92,36.37,4.38,42.99,4.92,49.04,4.93,49.04,4.93,40.18,4.43,25.00,29.00,23.00,24.00,22.00,25.00,26.00,32.00,21.00,0,0,0,180.00,25.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-212.34,-21.23,-245.01,-24.50,32.66,3.27,813.29,81.33,328.39,32.84,484.91,48.49,1025.64,102.56,573.39,57.34,452.24,45.22,130.97,13.49,255.27,24.72,152.27,15.23,-0.11,-0.13,0.79,0.57,1.07,3510.00,3343.00,3510.00,8.53,1.08,113.83,50.86,62.97,83.00,37.00,46.00,1.00,1.00,0,36.00,13.00,23.00,47.00,24.00,23.00,43.37,35.14,50.00,-2.56,-0.25,-6.62,-0.69,0.71,0.11,22.59,2.55,25.26,2.86,21.08,2.37,21.82,2.39,23.89,2.62,19.66,2.15,1.03,1.06,1.07,77.17,9.10,77.17,9.10,40.78,4.70,56.69,6.26,56.69,6.26,34.32,3.84,30.00,39.00,24.00,25.00,33.00,20.00,35.00,42.00,28.00,0,0,0,240.00,100.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-100.72,-10.07,-86.44,-8.64,-14.28,-1.43,262.67,26.27,102.58,10.26,160.08,16.01,363.38,36.34,189.02,18.90,174.37,17.44,147.64,15.45,199.47,19.95,143.00,14.30,-0.09,-0.11,0.72,0.54,0.92,3294.00,3196.00,3294.00,0,0,38.74,18.85,19.89,29.00,14.00,15.00,0,0,0,10.00,5.00,5.00,19.00,9.00,10.00,34.48,35.71,33.33,-3.47,-0.33,-6.17,-0.61,-0.95,-0.07,26.27,3.06,20.52,2.39,32.02,3.73,19.13,2.12,21.00,2.27,17.44,1.97,1.37,0.98,1.84,44.41,5.26,27.03,3.16,44.41,5.26,45.85,4.77,45.85,4.77,28.57,3.24,24.00,30.00,19.00,18.00,21.00,15.00,27.00,35.00,21.00,0,0,0,180.00,80.00,2.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-221.59,-22.16,-231.64,-23.16,10.05,1.00,763.55,76.35,331.39,33.14,432.16,43.22,985.14,98.51,563.02,56.30,422.12,42.21,174.64,17.54,246.90,24.24,152.60,15.26,-0.12,-0.16,0.78,0.59,1.02,3333.00,3167.00,3333.00,0,0,112.20,52.14,60.07,85.00,40.00,45.00,0,0,0,33.00,13.00,20.00,52.00,27.00,25.00,38.82,32.50,44.44,-2.61,-0.26,-5.79,-0.63,0.22,0.07,23.14,2.69,25.49,2.97,21.61,2.50,18.94,2.13,20.85,2.37,16.88,1.87,1.22,1.22,1.28,79.12,9.10,79.12,9.10,36.54,4.35,58.13,6.26,58.13,6.26,34.32,3.84,30.00,33.00,28.00,27.00,30.00,25.00,32.00,35.00,30.00,0,0,0,120.00,80.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-345.18,-34.52,-288.21,-28.82,-56.97,-5.70,502.54,50.25,144.99,14.50,357.54,35.75,847.72,84.77,433.20,43.32,414.51,41.45,103.77,10.96,435.31,41.82,151.30,15.13,-0.26,-0.30,0.59,0.34,0.86,3467.00,3416.00,3467.00,0,0,89.15,37.38,51.77,72.00,30.00,42.00,0,0,0,27.00,8.00,19.00,45.00,22.00,23.00,37.50,26.67,45.24,-4.79,-0.56,-9.61,-1.17,-1.36,-0.12,18.61,2.37,18.12,2.19,18.82,2.45,18.84,2.31,19.69,2.39,18.02,2.23,0.99,0.92,1.04,35.04,4.90,32.80,4.38,35.04,4.90,49.20,4.93,49.20,4.93,36.24,4.43,26.00,33.00,21.00,21.00,22.00,20.00,29.00,37.00,22.00,0,0,0,220.00,25.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-345.18,-34.52,-288.21,-28.82,-56.97,-5.70,502.54,50.25,144.99,14.50,357.54,35.75,847.72,84.77,433.20,43.32,414.51,41.45,103.77,10.96,435.31,41.82,151.30,15.13,-0.26,-0.30,0.59,0.34,0.86,3467.00,3416.00,3467.00,0,0,89.15,37.38,51.77,72.00,30.00,42.00,0,0,0,27.00,8.00,19.00,45.00,22.00,23.00,37.50,26.67,45.24,-4.79,-0.56,-9.61,-1.17,-1.36,-0.12,18.61,2.37,18.12,2.19,18.82,2.45,18.84,2.31,19.69,2.39,18.02,2.23,0.99,0.92,1.04,35.04,4.90,32.80,4.38,35.04,4.90,49.20,4.93,49.20,4.93,36.24,4.43,26.00,33.00,21.00,21.00,22.00,20.00,29.00,37.00,22.00,0,0,0,230.00,100.00,2.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-87.65,-8.76,-100.88,-10.09,13.23,1.32,33.54,3.35,0,0,33.54,3.35,121.18,12.12,100.88,10.09,20.30,2.03,36.07,3.55,100.88,9.96,-19.34,-1.93,-0.23,-0.25,0.28,0,1.65,2912.00,2912.00,2848.00,0,0,11.68,7.23,4.45,8.00,5.00,3.00,0,0,0,2.00,0,2.00,6.00,5.00,1.00,25.00,0,66.67,-10.96,-1.12,-20.18,-2.07,4.41,0.45,16.77,1.70,"N/A",,16.77,1.70,20.20,2.07,20.18,2.07,20.30,2.03,0.83,0,0.83,18.17,1.82,"N/A",,18.17,1.82,28.56,2.85,28.56,2.85,20.30,2.03,23.00,9.00,47.00,31.00,0,31.00,21.00,9.00,79.00,0,0,0,80.00,25.00,2.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-260.13,-26.01,-288.43,-28.84,28.30,2.83,723.15,72.32,285.27,28.53,437.88,43.79,983.29,98.33,573.70,57.37,409.58,40.96,150.82,15.91,288.48,28.32,152.60,15.26,-0.14,-0.18,0.74,0.50,1.07,3333.00,3167.00,3333.00,8.22,1.11,110.99,51.15,59.84,86.00,40.00,46.00,1.00,1.00,0,33.00,12.00,21.00,53.00,28.00,25.00,38.37,30.00,45.65,-3.02,-0.31,-7.21,-0.82,0.62,0.13,21.91,2.64,23.77,2.87,20.85,2.50,18.55,2.15,20.49,2.40,16.38,1.87,1.18,1.16,1.27,75.34,9.10,75.34,9.10,34.79,4.35,55.35,6.26,55.35,6.26,32.68,3.84,30.00,33.00,28.00,27.00,29.00,26.00,32.00,35.00,30.00,0,0,0,130.00,85.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
-241.22,-24.12,-285.41,-28.54,44.19,4.42,750.55,75.06,307.99,30.80,442.57,44.26,991.77,99.18,593.40,59.34,398.37,39.84,191.22,19.07,269.81,26.49,152.92,15.29,-0.13,-0.16,0.76,0.52,1.11,3333.00,3165.00,3333.00,8.65,1.14,113.48,56.07,57.41,87.00,43.00,44.00,1.00,1.00,0,34.00,13.00,21.00,53.00,30.00,23.00,39.08,30.23,47.73,-2.77,-0.28,-6.64,-0.74,1.00,0.16,22.08,2.61,23.69,2.81,21.07,2.49,18.71,2.14,19.78,2.27,17.32,1.96,1.18,1.20,1.22,76.74,9.10,76.74,9.10,38.10,4.70,56.38,6.26,56.38,6.26,34.41,3.84,26.00,27.00,24.00,26.00,32.00,22.00,26.00,25.00,26.00,0,0,0,140.00,100.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true,"All parameters are changed randomly"
