"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Range","__Period","__Factor","__Forecast","__Peak & Trough","__Spread Percentage","__Show Trendline","__Trend Direction","__Show Price Close","__Show MA01","__Show MA02","__Show Trend","__Show RSI","__Show MACDV","__Show SignalV","__Show Condition","__Show Momentum","__MACD-V Fast","__MACD-V Slow","__MACD-V Signal","__ATR","__Show TF MN","__MA1","__MA2","__Timezones: Src","__-> Dst","__Srart From ","__End To       ","__Select Session Days","__Mon","__Tue","__Wed","__Thu","__Fri","__Sat","__Sun","__Session Start","__:","__Session End ","__1. ADX:","__1L","__S","__Lv","__2. MACD:","__Lf","__Ls","__3. Bar direction=Trade direction","__4. Rising Volume","__5. Rising/Falling MA:","__Length","__Bars","__6. High/Low Filter:","__Lookback","__7. Maximum close change allowed on entry:","__(％)","__8. Minimum close change allowed on entry:","__9. RSI:","__9L","__OS","__OB","__10. MA:","__Type","__10L","__11. EMA Difference:","__EMA 1","__EMA 2","__13. Bias:","__13L","__P","__14. TimeFrame:","__Take Profit Type","__Stop Loss Type","__ Profit ％    ","__ Stop ％  ","__ Profit ＄    ","__ Stop ＄  ","__ ATR Period  ","__ Multiplier","__ Trailing ％  ","__ R:R    1:","__Fixed RR","__ HH / LL   ","__  LO / HI ","__Add ％","__ MA Stop","__ Len","__ Step","__ 𝐄𝐱𝐭𝐞𝐫𝐧𝐚𝐥 𝐒𝐨𝐮𝐫𝐜𝐞  ","__ Long Deals    ","__ Short Deals","__ Wait End Deal ","__ Reverse Deals","__ ReEntry Deal  ","__ ReOpen Deal","__Loss Streak","__Win Streak","__Row Loss InDay","__DrawDown %","__InDay Loss %","__Daily Trades","__Weekly Trades","__Order Size","__Use Net Profit","__​🇪​​🇶​​🇺​​🇮​​🇹​​🇾​","__​🇸​​🇮​​🇿​​🇪","__​🇨​​🇴​​🇳​​🇹​​🇷​​🇦​​🇨​​🇹​​🇸​","__Take Profit LV 1","__﻿","__Take Profit LV 2","__Take Profit LV 3","__Take Profit LV 4","__Take Profit LV 5","__Stop Loss","__𝐓𝐈𝐏 𝐅𝐨𝐫 𝐓𝐏","__ SL 0 Position","__Breakeven on TP","__ CoolDown # Bars","__Dashboard Size","__Performance Summary","__Monthly Performance","__Active Filters","__5m","__15m","__30m","__45m","__1h","__2h","__3h","__4h","__1d","__Show Trade Stats⚠️🐌"
2309.28,230.93,1214.74,121.47,1094.55,109.45,6754.71,675.47,3585.06,358.51,3169.65,316.96,4445.42,444.54,2370.32,237.03,2075.10,207.51,2974.33,74.85,534.50,18.05,255.35,25.53,0.68,10.33,1.52,1.51,1.53,11917.00,11200.00,11917.00,0,0,517.98,249.74,268.25,124.00,67.00,57.00,0,0,0,69.00,38.00,31.00,55.00,29.00,26.00,55.65,56.72,54.39,18.62,1.07,18.13,1.27,19.20,0.84,97.89,4.14,94.34,4.64,102.25,3.53,80.83,2.78,81.74,3.14,79.81,2.38,1.21,1.15,1.28,495.73,22.61,380.29,22.61,495.73,19.10,274.29,11.58,274.29,11.58,175.86,5.10,50.00,45.00,56.00,55.00,43.00,69.00,44.00,47.00,41.00,0,0,0,"Current parameters.",190.00,65.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",0,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true
697.49,69.75,495.15,49.51,202.34,20.23,3529.21,352.92,1974.88,197.49,1554.33,155.43,2831.72,283.17,1479.73,147.97,1351.98,135.20,878.39,46.78,285.74,15.49,253.92,25.39,0.56,2.61,1.25,1.34,1.15,5956.00,5764.00,5956.00,0,0,509.02,234.78,274.24,219.00,106.00,113.00,0,0,0,90.00,43.00,47.00,129.00,63.00,66.00,41.10,40.57,41.59,3.18,0.27,4.67,0.44,1.79,0.12,39.21,2.68,45.93,3.37,33.07,2.04,21.95,1.40,23.49,1.55,20.48,1.26,1.79,1.96,1.61,207.09,16.26,207.09,16.26,67.96,4.16,92.83,6.79,92.83,6.79,86.14,4.99,15.00,17.00,14.00,17.00,18.00,16.00,14.00,16.00,13.00,0,0,0,"All parameters are changed randomly",190.00,65.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",0,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,21.00,1.50,3.00,2.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true
1799.67,179.97,948.93,94.89,850.74,85.07,6201.80,620.18,3178.06,317.81,3023.74,302.37,4402.13,440.21,2229.13,222.91,2173.00,217.30,2226.77,69.03,401.71,15.56,254.64,25.46,0.59,17.44,1.41,1.43,1.39,10112.00,9595.00,10112.00,0,0,604.69,269.13,335.56,168.00,83.00,85.00,0,0,0,80.00,40.00,40.00,88.00,43.00,45.00,47.62,48.19,47.06,10.71,0.68,11.43,0.93,10.01,0.44,77.52,3.68,79.45,4.38,75.59,2.97,50.02,2.04,51.84,2.29,48.29,1.80,1.55,1.53,1.57,347.43,20.82,300.80,20.82,347.43,16.18,174.02,8.89,174.02,8.89,116.68,3.89,29.00,28.00,30.00,36.00,31.00,40.00,23.00,24.00,22.00,0,0,0,"All parameters are changed randomly",190.00,65.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",0,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,35.00,2.25,3.00,1.80,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true
551.19,55.12,172.97,17.30,378.23,37.82,3152.17,315.22,1638.30,163.83,1513.87,151.39,2600.98,260.10,1465.33,146.53,1135.65,113.56,707.69,41.70,229.40,13.77,255.71,25.57,0.52,2.74,1.21,1.12,1.33,5544.00,5369.00,5544.00,0,0,521.99,253.23,268.76,242.00,123.00,119.00,0,0,0,97.00,48.00,49.00,145.00,75.00,70.00,40.08,39.02,41.18,2.28,0.21,1.41,0.19,3.18,0.22,32.50,2.36,34.13,2.66,30.90,2.07,17.94,1.24,19.54,1.39,16.22,1.07,1.81,1.75,1.90,187.31,13.28,117.73,9.86,187.31,13.28,77.78,5.98,77.78,5.98,33.30,2.14,12.00,11.00,12.00,15.00,13.00,16.00,10.00,10.00,9.00,0,0,0,"All parameters are changed randomly",190.00,65.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",0,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,56.00,1.25,3.00,2.20,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true
335.80,33.58,128.41,12.84,207.39,20.74,2441.57,244.16,1318.92,131.89,1122.64,112.26,2105.77,210.58,1190.51,119.05,915.26,91.53,458.93,31.77,187.06,13.15,255.71,25.57,0.51,2.61,1.16,1.11,1.23,4607.00,4469.00,4607.00,0,0,465.86,227.93,237.93,247.00,125.00,122.00,0,0,0,112.00,54.00,58.00,135.00,71.00,64.00,45.34,43.20,47.54,1.36,0.13,1.03,0.12,1.70,0.14,21.80,1.78,24.42,2.07,19.36,1.50,15.60,1.23,16.77,1.36,14.30,1.08,1.40,1.46,1.35,127.70,10.21,84.54,7.58,127.70,10.21,71.19,5.98,71.19,5.98,29.61,2.14,9.00,9.00,10.00,11.00,9.00,13.00,8.00,8.00,7.00,0,0,0,"All parameters are changed randomly",190.00,65.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",0,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,56.00,1.25,3.00,1.70,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true
153.49,15.35,253.98,25.40,-100.50,-10.05,2202.12,220.21,1298.15,129.82,903.96,90.40,2048.63,204.86,1044.17,104.42,1004.46,100.45,408.82,29.34,237.50,17.07,255.35,25.53,0.28,0.78,1.08,1.24,0.90,4638.00,4529.00,4638.00,0,0,526.16,246.05,280.11,282.00,136.00,146.00,0,0,0,122.00,60.00,62.00,160.00,76.00,84.00,43.26,44.12,42.47,0.54,0.06,1.87,0.18,-0.69,-0.05,18.05,1.48,21.64,1.83,14.58,1.14,12.80,1.02,13.74,1.12,11.96,0.93,1.41,1.58,1.22,100.72,9.04,100.72,9.04,73.50,5.65,70.65,5.63,70.65,5.63,35.74,2.60,6.00,6.00,6.00,8.00,8.00,8.00,5.00,5.00,5.00,0,0,0,"All parameters are changed randomly",190.00,65.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",0,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,21.00,1.00,3.00,1.80,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true
1617.62,161.76,1008.91,100.89,608.71,60.87,5553.58,555.36,2990.99,299.10,2562.59,256.26,3935.96,393.60,1982.09,198.21,1953.88,195.39,1885.76,65.36,432.59,16.64,254.99,25.50,0.70,4.24,1.41,1.51,1.31,8492.00,8307.00,8492.00,0,0,607.56,261.85,345.70,190.00,90.00,100.00,0,0,0,78.00,36.00,42.00,112.00,54.00,58.00,41.05,40.00,42.00,8.51,0.57,11.21,0.90,6.09,0.26,71.20,3.71,83.08,4.94,61.01,2.65,35.14,1.62,36.71,1.80,33.69,1.46,2.03,2.26,1.81,341.53,21.80,341.53,21.80,141.82,5.64,118.93,6.93,116.71,6.93,118.93,5.12,24.00,28.00,21.00,32.00,37.00,27.00,19.00,21.00,16.00,0,0,0,"All parameters are changed randomly",190.00,65.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",0,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,14.00,1.75,3.00,2.20,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true
1767.75,176.78,1223.98,122.40,543.77,54.38,6007.61,600.76,3279.90,327.99,2727.71,272.77,4239.85,423.99,2055.91,205.59,2183.94,218.39,2537.00,71.74,653.59,20.33,254.64,25.46,0.71,17.08,1.42,1.60,1.25,10537.00,9558.00,10537.00,0,0,456.28,209.19,247.09,126.00,65.00,61.00,0,0,0,53.00,29.00,24.00,73.00,36.00,37.00,42.06,44.62,39.34,14.03,0.93,18.83,1.37,8.91,0.46,113.35,5.45,113.10,6.29,113.65,4.43,58.08,2.34,57.11,2.59,59.03,2.11,1.95,1.98,1.93,502.22,30.46,423.34,30.46,502.22,20.76,221.22,12.08,221.22,12.08,137.15,4.33,53.00,51.00,55.00,72.00,62.00,83.00,39.00,42.00,37.00,0,0,0,"All parameters are changed randomly",190.00,65.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",0,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,28.00,2.50,3.00,2.30,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true
2793.95,279.39,1515.51,151.55,1278.43,127.84,7910.55,791.05,4346.28,434.63,3564.27,356.43,5116.60,511.66,2830.77,283.08,2285.83,228.58,3433.44,77.46,583.34,16.75,254.64,25.46,0.73,330.05,1.55,1.54,1.56,12397.00,11750.00,12397.00,0,0,571.44,285.68,285.76,127.00,71.00,56.00,0,0,0,65.00,37.00,28.00,62.00,34.00,28.00,51.18,52.11,50.00,22.00,1.17,21.35,1.35,22.83,0.95,121.70,4.77,117.47,5.28,127.30,4.09,82.53,2.60,83.26,2.93,81.64,2.20,1.48,1.41,1.56,636.83,23.80,436.02,23.80,636.83,22.88,261.56,10.17,261.56,10.17,188.47,4.60,49.00,42.00,58.00,61.00,48.00,79.00,36.00,36.00,36.00,0,0,0,"All parameters are changed randomly",190.00,65.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",0,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,49.00,2.75,3.00,1.80,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true
2200.33,220.03,1100.14,110.01,1100.18,110.02,6890.47,689.05,3458.32,345.83,3432.15,343.21,4690.14,469.01,2358.18,235.82,2331.96,233.20,2504.94,71.48,415.14,18.80,254.99,25.50,0.82,"N/A",1.47,1.47,1.47,9768.00,9286.00,9768.00,0,0,591.97,252.35,339.61,161.00,76.00,85.00,0,0,0,73.00,34.00,39.00,88.00,42.00,46.00,45.34,44.74,45.88,13.67,0.81,14.48,1.08,12.94,0.57,94.39,4.35,101.72,5.43,88.00,3.42,53.30,2.13,56.15,2.44,50.69,1.84,1.77,1.81,1.74,351.16,26.78,351.16,26.78,279.13,13.23,195.69,12.39,195.69,12.39,126.91,3.78,33.00,38.00,29.00,44.00,52.00,38.00,24.00,28.00,21.00,0,0,0,"All parameters are changed randomly",190.00,65.00,1.00,true,true,0,true,true,0,0,0,true,0,0,0,true,true,14.00,26.00,9.00,26.00,true,50.00,200.00,"Exchange","Exchange",0,0,true,true,true,true,true,true,0,0,0,0,0,0,17.00,100.00,20.00,0,12.00,26.00,0,0,0,50.00,1.00,0,10.00,0,1.00,0,0,14.00,30.00,70.00,0,"SMA",200.00,0,30.00,60.00,0,200.00,7.00,0,"R:R","ATR",4.50,1.50,333.00,100.00,14.00,2.25,3.00,2.10,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,100.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,true,0,0,0,0,0,0,0,0,true,true
