"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Z score Length","__RSI","__CCI","__DMI","__AROON","__EMA","__Factor (SuperTrend)","__AtrPeriod (SuperTrend)","__𝛃1 (rsi)","__𝛃2 (cci)","__𝛃3 (dmi)","__𝛃4 (aroon)","__𝛃5 (ema)","__𝛃6 (SuperTrend)","__Step of learing","__Timezones: Src","__-> Dst","__Srart From ","__End To       ","__Select Session Days","__Mon","__Tue","__Wed","__Thu","__Fri","__Sat","__Sun","__Session Start","__:","__Session End ","__1. ADX:","__L","__S","__Lv","__2. MACD:","__Lf","__Ls","__3. Bar direction=Trade direction","__4. Rising Volume","__5. Rising/Falling MA:","__Length","__Bars","__6. High/Low Filter:","__Lookback","__7. Maximum close change allowed on entry:","__(％)","__8. Minimum close change allowed on entry:","__9. RSI:","__OS","__OB","__10. MA:","__Type","__11. EMA Difference:","__EMA 1","__EMA 2","__13. M.Bias:","__P","__Take Profit Type","__Stop Loss Type","__ Profit ％    ","__ Stop ％  ","__ Profit ＄    ","__ Stop ＄  ","__ ATR Period  ","__ Multiplier","__ Trailing ％  ","__ R:R    1:","__Fixed RR","__ HH / LL   ","__  LO / HI ","__Add ％","__ MA Stop","__ Len","__ Step","__ 𝐄𝐱𝐭𝐞𝐫𝐧𝐚𝐥 𝐒𝐨𝐮𝐫𝐜𝐞  ","__ Long Deals    ","__ Short Deals","__ Wait End Deal ","__ Reverse Deals","__ ReEntry Deal  ","__ ReOpen Deal","__Loss Streak   ","__Win Streak   ","__Row Loss InDay","__DrawDown ％","__InDay Loss ％ ","__Daily Trades  ","__Weekly Trades","__     Order Size","__Use Net Profit","__​🇪​​🇶​​🇺​​🇮​​🇹​​🇾​","__​🇸​​🇮​​🇿​​🇪","__​🇨​​🇴​​🇳​​🇹​​🇷​​🇦​​🇨​​🇹​​🇸​","__Take Profit LV 1","__﻿","__Take Profit LV 2","__Take Profit LV 3","__Take Profit LV 4","__Take Profit LV 5","__Stop Loss","__𝐓𝐈𝐏 𝐅𝐨𝐫 𝐓𝐏","__ SL 0 Position","__Breakeven on TP","__ CoolDown # Bars"
197.66,1.98,362.18,3.62,-164.52,-1.65,2165.10,21.65,1549.93,15.50,615.17,6.15,1967.44,19.67,1187.75,11.88,779.68,7.80,366.46,3.58,322.58,3.17,19567.67,195.68,0.25,0.46,1.10,1.31,0.79,16.00,16.00,16.00,0,0,156.60,99.50,57.10,104.00,66.00,38.00,0,0,0,38.00,27.00,11.00,66.00,39.00,27.00,36.54,40.91,28.95,1.90,0.20,5.49,0.56,-4.33,-0.43,56.98,5.69,57.40,5.74,55.92,5.58,29.81,2.97,30.46,3.03,28.88,2.88,1.91,1.89,1.94,109.53,10.88,109.53,10.88,93.60,9.42,66.74,6.57,66.74,6.57,59.19,5.85,52.00,50.00,54.00,67.00,67.00,66.00,43.00,39.00,49.00,0,0,0,"Current parameters.",100.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,2.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
184.09,1.84,346.47,3.46,-162.38,-1.62,2060.39,20.60,1309.44,13.09,750.95,7.51,1876.30,18.76,962.97,9.63,913.33,9.13,533.78,5.20,347.33,3.46,19809.92,198.10,0.19,0.40,1.10,1.36,0.82,16.00,16.00,16.00,0,0,166.73,95.44,71.28,112.00,64.00,48.00,0,0,0,49.00,31.00,18.00,63.00,33.00,30.00,43.75,48.44,37.50,1.64,0.17,5.41,0.55,-3.38,-0.34,42.05,4.24,42.24,4.26,41.72,4.22,29.78,3.00,29.18,2.93,30.44,3.07,1.41,1.45,1.37,81.34,8.13,81.34,8.13,69.05,7.02,65.00,6.57,65.00,6.57,58.87,5.85,42.00,42.00,43.00,46.00,49.00,41.00,40.00,35.00,45.00,0,0,0,"All parameters are changed randomly",150.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
337.17,3.37,396.42,3.96,-59.25,-0.59,2161.44,21.61,1390.60,13.91,770.84,7.71,1824.28,18.24,994.19,9.94,830.09,8.30,611.33,5.89,327.71,3.26,19820.83,198.21,0.46,2.17,1.19,1.40,0.93,16.00,16.00,16.00,0,0,147.62,87.59,60.04,98.00,58.00,40.00,0,0,0,39.00,25.00,14.00,59.00,33.00,26.00,39.80,43.10,35.00,3.44,0.35,6.83,0.68,-1.48,-0.14,55.42,5.53,55.62,5.54,55.06,5.51,30.92,3.08,30.13,3.00,31.93,3.18,1.79,1.85,1.73,105.58,10.33,105.58,10.33,89.44,8.94,65.32,6.57,65.32,6.57,60.10,5.85,54.00,54.00,55.00,71.00,75.00,63.00,43.00,38.00,50.00,0,0,0,"All parameters are changed randomly",200.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,1.90,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
-140.70,-1.41,-35.06,-0.35,-105.64,-1.06,1809.99,18.10,1067.64,10.68,742.35,7.42,1950.69,19.51,1102.70,11.03,847.99,8.48,294.24,2.94,378.96,3.76,19833.79,198.34,-0.60,-0.52,0.93,0.97,0.88,16.00,16.00,16.00,0,0,230.75,134.74,96.01,156.00,91.00,65.00,0,0,0,79.00,47.00,32.00,77.00,44.00,33.00,50.64,51.65,49.23,-0.90,-0.09,-0.39,-0.03,-1.63,-0.16,22.91,2.32,22.72,2.30,23.20,2.35,25.33,2.56,25.06,2.53,25.70,2.60,0.90,0.91,0.90,48.65,4.91,48.65,4.91,45.22,4.56,64.83,6.57,64.83,6.57,48.79,4.90,21.00,22.00,20.00,20.00,21.00,19.00,22.00,23.00,21.00,0,0,0,"All parameters are changed randomly",200.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.10,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
363.07,3.63,457.69,4.58,-94.62,-0.95,2234.76,22.35,1434.68,14.35,800.08,8.00,1871.69,18.72,976.99,9.77,894.70,8.95,617.51,5.92,279.62,2.78,19826.36,198.26,0.62,1.55,1.19,1.47,0.89,16.00,16.00,16.00,0,0,164.43,95.28,69.15,109.00,63.00,46.00,0,0,0,47.00,30.00,17.00,62.00,33.00,29.00,43.12,47.62,36.96,3.33,0.34,7.26,0.72,-2.06,-0.19,47.55,4.74,47.82,4.75,47.06,4.71,30.19,3.00,29.61,2.94,30.85,3.07,1.58,1.62,1.53,94.85,9.23,94.85,9.23,80.14,7.98,65.55,6.57,65.55,6.57,60.45,5.85,46.00,45.00,48.00,53.00,54.00,51.00,41.00,37.00,46.00,0,0,0,"All parameters are changed randomly",200.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,1.70,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
-222.29,-2.22,-123.22,-1.23,-99.07,-0.99,1867.72,18.68,1087.40,10.87,780.32,7.80,2090.01,20.90,1210.61,12.11,879.40,8.79,250.67,2.53,452.74,4.48,19821.93,198.22,-0.76,-0.61,0.89,0.90,0.89,16.00,16.00,16.00,0,0,247.90,146.14,101.76,168.00,99.00,69.00,0,0,0,66.00,39.00,27.00,102.00,60.00,42.00,39.29,39.39,39.13,-1.32,-0.13,-1.24,-0.12,-1.44,-0.14,28.30,2.88,27.88,2.84,28.90,2.94,20.49,2.08,20.18,2.05,20.94,2.12,1.38,1.38,1.38,55.66,5.70,55.41,5.70,55.66,5.67,64.92,6.57,64.92,6.57,39.00,3.95,19.00,20.00,17.00,21.00,22.00,20.00,18.00,19.00,15.00,0,0,0,"All parameters are changed randomly",200.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.00,3.00,1.70,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
-556.29,-5.56,-170.35,-1.70,-385.94,-3.86,1484.33,14.84,914.69,9.15,569.64,5.70,2040.62,20.41,1085.04,10.85,955.58,9.56,176.93,1.83,650.43,6.46,19831.73,198.32,-3.78,-0.97,0.73,0.84,0.60,17.00,17.00,16.00,0,0,298.81,167.62,131.19,205.00,115.00,90.00,0,0,0,69.00,44.00,25.00,136.00,71.00,65.00,33.66,38.26,27.78,-2.71,-0.28,-1.48,-0.15,-4.29,-0.44,21.51,2.22,20.79,2.14,22.79,2.34,15.00,1.54,15.28,1.57,14.70,1.51,1.43,1.36,1.55,43.46,4.47,37.28,3.92,43.46,4.47,64.26,6.57,64.26,6.57,37.39,3.73,12.00,12.00,12.00,13.00,14.00,11.00,11.00,10.00,12.00,0,0,0,"All parameters are changed randomly",150.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,1.50,3.00,1.80,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
-292.28,-2.92,21.74,0.22,-314.02,-3.14,1722.18,17.22,1109.77,11.10,612.41,6.12,2014.46,20.14,1088.03,10.88,926.43,9.26,273.86,2.77,531.79,5.25,19584.13,195.84,-1.21,-0.77,0.86,1.02,0.66,17.00,17.00,16.00,0,0,312.16,181.17,130.99,212.00,123.00,89.00,0,0,0,80.00,52.00,28.00,132.00,71.00,61.00,37.74,42.28,31.46,-1.38,-0.14,0.18,0.02,-3.53,-0.36,21.53,2.19,21.34,2.18,21.87,2.22,15.26,1.55,15.32,1.56,15.19,1.55,1.41,1.39,1.44,43.64,4.47,43.64,4.47,43.55,4.47,65.02,6.57,65.02,6.57,37.51,3.73,11.00,12.00,10.00,13.00,15.00,10.00,10.00,9.00,10.00,0,0,0,"All parameters are changed randomly",100.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,1.50,3.00,1.80,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
69.23,0.69,121.96,1.22,-52.73,-0.53,2153.57,21.54,1307.60,13.08,845.97,8.46,2084.34,20.84,1185.64,11.86,898.70,8.99,357.75,3.52,245.43,2.45,19831.10,198.31,0.01,0.01,1.03,1.10,0.94,16.00,16.00,16.00,0,0,214.66,126.85,87.81,144.00,85.00,59.00,0,0,0,62.00,38.00,24.00,82.00,47.00,35.00,43.06,44.71,40.68,0.48,0.05,1.43,0.15,-0.89,-0.09,34.74,3.50,34.41,3.46,35.25,3.55,25.42,2.55,25.23,2.53,25.68,2.58,1.37,1.36,1.37,72.20,7.21,72.20,7.21,67.54,6.70,65.37,6.57,65.37,6.57,49.32,4.90,28.00,31.00,23.00,29.00,32.00,25.00,27.00,30.00,22.00,0,0,0,"All parameters are changed randomly",150.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.60,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
-606.18,-6.06,-310.78,-3.11,-295.40,-2.95,684.76,6.85,428.85,4.29,255.91,2.56,1290.94,12.91,739.63,7.40,551.31,5.51,53.87,0.57,619.26,6.19,19842.64,198.43,-4.49,-0.98,0.53,0.58,0.46,16.00,16.00,16.00,0,0,439.86,258.66,181.20,304.00,179.00,125.00,0,0,0,117.00,72.00,45.00,187.00,107.00,80.00,38.49,40.22,36.00,-1.99,-0.21,-1.74,-0.18,-2.36,-0.24,5.85,0.61,5.96,0.62,5.69,0.59,6.90,0.71,6.91,0.72,6.89,0.71,0.85,0.86,0.83,22.23,2.36,22.23,2.36,19.52,1.98,64.41,6.57,64.41,6.57,37.21,3.73,2.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,0,0,0,"All parameters are changed randomly",50.00,35.00,45.00,35.00,35.00,30.00,3.20,2.00,1.00,4.00,1.00,2.00,5.00,4.00,0.08,"Exchange","Exchange",0,0,0,true,true,true,true,true,true,true,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"ALMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,0.50,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0
