"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Fast Length","__Slow Length","__Source","__Signal Smoothing","__MA Type (Oscillator)?","__MA Type (Signal Line)?","__Apply Laguerre Smoothing","__Laguerre Gamma","__Draw MACD Leader","__Indicate MACD Leader Crossings","__KAMA Length","__Fast EMA Length","__Slow EMA Length","__Highlight ?","__Await Bar Confirmation ?","__VI Length","__Timezones: Src","__-> Dst","__Srart From ","__End To       ","__Select Session Days","__Mon","__Tue","__Wed","__Thu","__Fri","__Sat","__Sun","__Session Start","__:","__Session End ","__1. ADX:","__L","__S","__Lv","__2. MACD:","__Lf","__Ls","__3. Bar direction=Trade direction","__4. Rising Volume","__5. Rising/Falling MA:","__Length","__Bars","__6. High/Low Filter:","__Lookback","__7. Maximum close change allowed on entry:","__(％)","__8. Minimum close change allowed on entry:","__9. RSI:","__OS","__OB","__10. MA:","__Type","__11. EMA Difference:","__EMA 1","__EMA 2","__13. M.Bias:","__P","__Take Profit Type","__Stop Loss Type","__ Profit ％    ","__ Stop ％  ","__ Profit ＄    ","__ Stop ＄  ","__ ATR Period  ","__ Multiplier","__ Trailing ％  ","__ R:R    1:","__Fixed RR","__ HH / LL   ","__  LO / HI ","__Add ％","__ MA Stop","__ Len","__ Step","__ 𝐄𝐱𝐭𝐞𝐫𝐧𝐚𝐥 𝐒𝐨𝐮𝐫𝐜𝐞  ","__ Long Deals    ","__ Short Deals","__ Wait End Deal ","__ Reverse Deals","__ ReEntry Deal  ","__ ReOpen Deal","__Loss Streak   ","__Win Streak   ","__Row Loss InDay","__DrawDown ％","__InDay Loss ％ ","__Daily Trades  ","__Weekly Trades","__     Order Size","__Use Net Profit","__​🇪​​🇶​​🇺​​🇮​​🇹​​🇾​","__​🇸​​🇮​​🇿​​🇪","__​🇨​​🇴​​🇳​​🇹​​🇷​​🇦​​🇨​​🇹​​🇸​","__Take Profit LV 1","__﻿","__Take Profit LV 2","__Take Profit LV 3","__Take Profit LV 4","__Take Profit LV 5","__Stop Loss","__𝐓𝐈𝐏 𝐅𝐨𝐫 𝐓𝐏","__ SL 0 Position","__Breakeven on TP","__ CoolDown # Bars","__Dashboard Size","__Performance Summary","__Monthly Performance"
1632.71,163.27,1555.99,155.60,76.72,7.67,4944.70,494.47,3646.66,364.67,1298.04,129.80,3311.99,331.20,2090.67,209.07,1221.32,122.13,1889.78,66.70,728.79,25.99,1946.12,194.61,1.47,"N/A",1.49,1.74,1.06,24.00,23.00,24.00,0,0,263.97,178.16,85.81,91.00,62.00,29.00,0,0,0,43.00,32.00,11.00,48.00,30.00,18.00,47.25,51.61,37.93,17.94,1.21,25.10,1.57,2.65,0.44,114.99,6.37,113.96,6.30,118.00,6.58,69.00,3.42,69.69,3.48,67.85,3.32,1.67,1.64,1.74,299.15,14.67,299.15,13.11,227.78,14.67,186.03,7.30,167.79,6.85,186.03,7.30,61.00,49.00,87.00,68.00,53.00,112.00,55.00,45.00,72.00,0,0,0,"Current parameters.",14.00,28.00,"close",11.00,"ZLEMA","ZLEMA",true,0.02,true,true,200.00,3.00,30.00,true,true,250.00,"Exchange","Exchange",0,0,true,true,0,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"WMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,14.00,3.00,3.00,2.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
2432.94,243.29,1939.97,194.00,492.97,49.30,5424.75,542.48,3768.35,376.84,1656.40,165.64,2991.81,299.18,1828.38,182.84,1163.43,116.34,2716.43,73.97,529.34,16.96,1962.55,196.25,2.84,"N/A",1.81,2.06,1.42,25.00,25.00,25.00,0,0,396.97,264.26,132.71,126.00,81.00,45.00,0,0,0,79.00,52.00,27.00,47.00,29.00,18.00,62.70,64.20,60.00,19.31,1.03,23.95,1.17,10.95,0.80,68.67,3.36,72.47,3.36,61.35,3.37,63.66,2.88,63.05,2.78,64.63,3.05,1.08,1.15,0.95,193.32,6.24,193.32,6.24,141.42,5.88,176.02,5.60,142.70,4.40,176.02,5.60,28.00,26.00,32.00,30.00,29.00,33.00,25.00,21.00,31.00,0,0,0,"All parameters are changed randomly",14.00,28.00,"close",11.00,"ZLEMA","ZLEMA",true,0.02,true,true,200.00,3.00,30.00,true,true,250.00,"Exchange","Exchange",0,0,true,true,0,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"WMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,56.00,2.75,3.00,1.30,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
805.42,80.54,698.40,69.84,107.02,10.70,3233.43,323.34,2202.31,220.23,1031.12,103.11,2428.01,242.80,1503.92,150.39,924.10,92.41,916.11,48.51,463.02,24.88,1963.63,196.36,1.48,"N/A",1.33,1.46,1.12,19.00,16.00,19.00,0,0,286.45,184.06,102.38,135.00,86.00,49.00,0,0,0,85.00,56.00,29.00,50.00,30.00,20.00,62.96,65.12,59.18,5.97,0.49,8.12,0.62,2.18,0.26,38.04,2.74,39.33,2.78,35.56,2.66,48.56,3.34,50.13,3.42,46.20,3.21,0.78,0.78,0.77,90.45,5.96,90.45,5.96,56.63,4.52,121.46,7.41,121.46,7.41,91.86,7.03,28.00,27.00,30.00,27.00,25.00,30.00,29.00,30.00,29.00,0,0,0,"All parameters are changed randomly",14.00,28.00,"close",11.00,"ZLEMA","ZLEMA",true,0.02,true,true,200.00,3.00,30.00,true,true,250.00,"Exchange","Exchange",0,0,true,true,0,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"WMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,7.00,2.75,3.00,1.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
566.13,56.61,256.51,25.65,309.62,30.96,2518.54,251.85,1489.61,148.96,1028.93,102.89,1952.41,195.24,1233.10,123.31,719.31,71.93,647.68,40.50,298.94,18.86,1964.23,196.42,1.66,"N/A",1.29,1.21,1.43,17.00,15.00,17.00,0,0,313.56,193.53,120.03,163.00,100.00,63.00,0,0,0,92.00,55.00,37.00,71.00,45.00,26.00,56.44,55.00,58.73,3.47,0.30,2.57,0.23,4.91,0.41,27.38,2.17,27.08,2.13,27.81,2.23,27.50,2.12,27.40,2.09,27.67,2.18,1.00,0.99,1.00,56.49,4.08,56.49,4.06,53.92,4.08,62.03,4.29,53.52,3.85,62.03,4.29,14.00,13.00,16.00,14.00,12.00,17.00,14.00,14.00,14.00,0,0,0,"All parameters are changed randomly",14.00,28.00,"close",11.00,"ZLEMA","ZLEMA",true,0.02,true,true,200.00,3.00,30.00,true,true,250.00,"Exchange","Exchange",0,0,true,true,0,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"WMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,49.00,2.00,3.00,1.20,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
115.53,11.55,89.58,8.96,25.95,2.59,1706.19,170.62,1036.30,103.63,669.88,66.99,1590.66,159.07,946.72,94.67,643.93,64.39,262.21,21.36,215.37,17.74,1963.68,196.37,0.49,1.04,1.07,1.10,1.04,18.00,16.00,18.00,0,0,297.60,178.56,119.05,183.00,109.00,74.00,0,0,0,81.00,49.00,32.00,102.00,60.00,42.00,44.26,44.95,43.24,0.63,0.08,0.82,0.09,0.35,0.05,21.06,1.96,21.15,1.95,20.93,1.97,15.59,1.42,15.78,1.43,15.33,1.41,1.35,1.34,1.37,45.15,4.34,38.76,3.64,45.15,4.34,35.59,3.11,28.96,2.74,35.59,3.11,8.00,8.00,9.00,10.00,10.00,10.00,7.00,7.00,8.00,0,0,0,"All parameters are changed randomly",14.00,28.00,"close",11.00,"ZLEMA","ZLEMA",true,0.02,true,true,200.00,3.00,30.00,true,true,250.00,"Exchange","Exchange",0,0,true,true,0,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"WMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,28.00,1.25,3.00,1.70,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
616.53,61.65,650.33,65.03,-33.80,-3.38,2653.54,265.35,1908.55,190.86,744.98,74.50,2037.00,203.70,1258.22,125.82,778.78,77.88,752.58,44.90,207.31,13.48,1963.88,196.39,2.67,"N/A",1.30,1.52,0.96,16.00,15.00,16.00,0,0,292.82,192.38,100.44,153.00,99.00,54.00,0,0,0,58.00,40.00,18.00,95.00,59.00,36.00,37.91,40.40,33.33,4.03,0.35,6.57,0.54,-0.63,-0.01,45.75,3.64,47.71,3.74,41.39,3.42,21.44,1.66,21.33,1.62,21.63,1.72,2.13,2.24,1.91,101.64,6.77,101.64,6.77,70.31,4.67,50.41,3.40,48.16,3.02,50.41,3.40,17.00,14.00,21.00,21.00,18.00,28.00,14.00,12.00,18.00,0,0,0,"All parameters are changed randomly",14.00,28.00,"close",11.00,"ZLEMA","ZLEMA",true,0.02,true,true,200.00,3.00,30.00,true,true,250.00,"Exchange","Exchange",0,0,true,true,0,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"WMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,42.00,1.50,3.00,2.60,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-156.68,-15.67,-95.05,-9.51,-61.62,-6.16,901.52,90.15,536.38,53.64,365.14,36.51,1058.20,105.82,631.44,63.14,426.76,42.68,96.02,10.23,192.20,18.65,1963.15,196.32,-0.70,-0.58,0.85,0.85,0.86,16.00,16.00,16.00,0,0,255.77,152.82,102.95,189.00,112.00,77.00,0,0,0,92.00,55.00,37.00,97.00,57.00,40.00,48.68,49.11,48.05,-0.83,-0.08,-0.85,-0.08,-0.80,-0.08,9.80,1.09,9.75,1.08,9.87,1.11,10.91,1.20,11.08,1.20,10.67,1.18,0.90,0.88,0.93,23.16,2.70,17.57,1.99,23.16,2.70,21.44,2.30,21.44,2.30,17.10,1.92,4.00,4.00,5.00,5.00,5.00,5.00,4.00,4.00,5.00,0,0,0,"All parameters are changed randomly",14.00,28.00,"close",11.00,"ZLEMA","ZLEMA",true,0.02,true,true,200.00,3.00,30.00,true,true,250.00,"Exchange","Exchange",0,0,true,true,0,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"WMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,28.00,1.00,3.00,1.20,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-134.53,-13.45,-80.90,-8.09,-53.63,-5.36,1074.85,107.49,642.26,64.23,432.60,43.26,1209.38,120.94,723.15,72.32,486.23,48.62,117.55,11.73,189.01,18.10,1964.78,196.48,-0.55,-0.51,0.89,0.89,0.89,16.00,16.00,16.00,0,0,265.45,159.03,106.42,188.00,112.00,76.00,0,0,0,81.00,48.00,33.00,107.00,64.00,43.00,43.09,42.86,43.42,-0.72,-0.07,-0.72,-0.06,-0.71,-0.07,13.27,1.42,13.38,1.42,13.11,1.40,11.30,1.19,11.30,1.18,11.31,1.20,1.17,1.18,1.16,30.85,3.31,24.79,2.69,30.85,3.31,22.33,2.30,22.33,2.30,18.15,1.93,6.00,5.00,6.00,6.00,6.00,6.00,5.00,4.00,6.00,0,0,0,"All parameters are changed randomly",14.00,28.00,"close",11.00,"ZLEMA","ZLEMA",true,0.02,true,true,200.00,3.00,30.00,true,true,250.00,"Exchange","Exchange",0,0,true,true,0,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"WMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,42.00,1.00,3.00,1.60,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
3286.20,328.62,2728.26,272.83,557.94,55.79,6718.46,671.85,4803.59,480.36,1914.87,191.49,3432.26,343.23,2075.33,207.53,1356.93,135.69,3473.17,78.46,657.31,17.74,1966.54,196.65,2.82,"N/A",1.96,2.32,1.41,29.00,29.00,29.00,-7.69,-0.18,427.31,287.51,139.81,118.00,77.00,41.00,1.00,1.00,0,73.00,49.00,24.00,45.00,28.00,17.00,61.86,63.64,58.54,27.85,1.31,35.43,1.50,13.61,0.95,92.03,3.97,98.03,4.01,79.79,3.87,76.27,3.01,74.12,2.91,79.82,3.18,1.21,1.32,1.00,291.14,8.06,291.14,8.06,189.96,5.64,216.46,6.39,190.22,5.00,216.46,6.39,33.00,29.00,41.00,37.00,34.00,45.00,26.00,22.00,34.00,0,0,0,"All parameters are changed randomly",14.00,28.00,"close",11.00,"ZLEMA","ZLEMA",true,0.02,true,true,200.00,3.00,30.00,true,true,250.00,"Exchange","Exchange",0,0,true,true,0,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"WMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,35.00,2.75,3.00,1.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
850.00,85.00,644.50,64.45,205.50,20.55,3282.39,328.24,2262.10,226.21,1020.29,102.03,2432.39,243.24,1617.61,161.76,814.78,81.48,1075.92,54.30,307.68,15.63,1965.32,196.53,1.40,"N/A",1.35,1.40,1.25,19.00,18.00,19.00,0,0,265.65,178.38,87.27,122.00,81.00,41.00,0,0,0,43.00,29.00,14.00,79.00,52.00,27.00,35.25,35.80,34.15,6.97,0.58,7.96,0.64,5.01,0.46,76.33,5.48,78.00,5.53,72.88,5.39,30.79,2.09,31.11,2.08,30.18,2.10,2.48,2.51,2.42,164.97,10.23,164.97,10.23,95.31,7.61,91.98,4.77,91.98,4.77,62.87,4.53,34.00,25.00,50.00,45.00,29.00,78.00,28.00,23.00,35.00,0,0,0,"All parameters are changed randomly",14.00,28.00,"close",11.00,"ZLEMA","ZLEMA",true,0.02,true,true,200.00,3.00,30.00,true,true,250.00,"Exchange","Exchange",0,0,true,true,0,true,true,true,0,0,0,0,0,0,200.00,100.00,20.00,0,12.00,26.00,0,0,0,200.00,1.00,0,10.00,0,1.00,0,0,25.00,75.00,true,"WMA",0,30.00,60.00,0,7.00,"R:R","ATR",4.50,1.50,333.00,100.00,7.00,1.75,3.00,3.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
