"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Enable signals","__Stop Loss Type: (L)","__(S)","__Take Profit Type: (L)","__Number of Orders: (L)","__[TP] Ride Free","__Position Leverage","__Maximum Accepted Loss %","__Equity % per trade","__Show TP/SL lines","__TP1: %","__Ratio","__TP2: %","__TP3: %","__TP4: %","__TP5: %","__Lenght_fast","__Lenght_slow","__SuperTrend Filter","__Show SuperTrend","__Range required?","__Number of divisions","__Start->Finish","__Portfolio table","__Table performance setting","__Enable Volume S/R"
926.10,92.61,194.78,19.48,731.31,73.13,4787.86,478.79,2230.07,223.01,2557.79,255.78,3861.77,386.18,2035.29,203.53,1826.48,182.65,1440.01,60.40,618.57,31.09,4304.68,430.47,0.30,0.60,1.24,1.10,1.40,177.00,177.00,131.00,28.84,1.50,152.73,79.63,73.10,1243.00,648.00,595.00,1.00,0,1.00,228.00,107.00,121.00,1015.00,541.00,474.00,18.34,16.51,20.34,0.75,0.28,0.30,0.14,1.23,0.43,21.00,7.03,20.84,6.95,21.14,7.10,3.80,1.24,3.76,1.21,3.85,1.28,5.52,5.54,5.49,95.10,15.02,54.68,14.99,95.10,15.02,19.70,6.18,19.58,4.76,19.70,6.18,6.00,5.00,8.00,13.00,10.00,15.00,5.00,5.00,6.00,0,0,0,"Current parameters.","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,12.00,27.00,true,true,"No",10.00,0,"Normal","Disabled",true
-386.17,-38.62,-141.13,-14.11,-245.04,-24.50,1486.74,148.67,800.26,80.03,686.48,68.65,1872.91,187.29,941.39,94.14,931.52,93.15,331.85,33.77,454.11,42.52,4370.00,437.00,-0.23,-0.27,0.79,0.85,0.74,77.00,77.00,62.00,0,0,66.77,34.11,32.66,1008.00,514.00,494.00,0,0,0,129.00,67.00,62.00,879.00,447.00,432.00,12.80,13.04,12.55,-0.38,-0.22,-0.27,-0.17,-0.50,-0.28,11.53,7.01,11.94,7.12,11.07,6.90,2.13,1.29,2.11,1.26,2.16,1.31,5.41,5.67,5.14,29.19,15.00,29.19,14.99,24.65,15.00,7.39,4.49,6.91,4.49,7.39,4.36,6.00,6.00,5.00,15.00,13.00,16.00,4.00,4.00,4.00,0,0,0,"All parameters are changed randomly","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,12.00,49.00,true,true,"No",10.00,0,"Normal","Disabled",true
450.82,45.08,-20.50,-2.05,471.32,47.13,3822.71,382.27,1710.26,171.03,2112.45,211.24,3371.89,337.19,1730.76,173.08,1641.13,164.11,796.29,53.61,534.31,43.92,4358.48,435.85,0.15,0.27,1.13,0.99,1.29,100.00,100.00,80.00,21.05,1.45,133.33,68.02,65.31,1665.00,852.00,813.00,1.00,0,1.00,288.00,127.00,161.00,1377.00,725.00,652.00,17.30,14.91,19.80,0.27,0.14,-0.02,-0.02,0.58,0.26,13.27,6.64,13.47,6.92,13.12,6.42,2.45,1.23,2.39,1.19,2.52,1.26,5.42,5.64,5.21,49.58,14.99,36.34,14.99,49.58,14.99,12.48,6.14,6.83,3.01,12.48,6.14,6.00,6.00,7.00,11.00,10.00,12.00,5.00,5.00,5.00,0,0,0,"All parameters are changed randomly","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,14.00,21.00,true,true,"No",10.00,0,"Normal","Disabled",true
-576.18,-57.62,-157.03,-15.70,-419.15,-41.91,1117.16,111.72,637.48,63.75,479.68,47.97,1693.35,169.33,794.51,79.45,898.83,89.88,231.57,21.23,665.72,61.15,4392.98,439.30,-0.38,-0.43,0.66,0.80,0.53,69.00,69.00,51.00,0,0,55.48,28.34,27.13,994.00,510.00,484.00,0,0,0,117.00,64.00,53.00,877.00,446.00,431.00,11.77,12.55,10.95,-0.58,-0.40,-0.31,-0.24,-0.87,-0.58,9.55,6.78,9.96,7.06,9.05,6.45,1.93,1.36,1.78,1.28,2.09,1.44,4.95,5.59,4.34,29.90,15.03,29.02,14.98,29.90,15.03,11.01,5.86,6.93,4.93,11.01,5.86,6.00,6.00,6.00,17.00,19.00,15.00,5.00,4.00,5.00,0,0,0,"All parameters are changed randomly","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,16.00,53.00,true,true,"No",10.00,0,"Normal","Disabled",true
2849.17,284.92,918.53,91.85,1930.64,193.06,12078.49,1207.85,6006.76,600.68,6071.73,607.17,9229.33,922.93,5088.24,508.82,4141.09,414.11,3952.12,81.37,1370.98,29.40,4349.82,434.98,0.36,0.92,1.31,1.18,1.47,243.00,243.00,182.00,0,0,332.21,176.62,155.59,1729.00,908.00,821.00,0,0,0,365.00,178.00,187.00,1364.00,730.00,634.00,21.11,19.60,22.78,1.65,0.43,1.01,0.31,2.35,0.56,33.09,7.18,33.75,7.23,32.47,7.13,6.77,1.38,6.97,1.38,6.53,1.37,4.89,4.84,4.97,126.22,15.00,109.39,14.99,126.22,15.00,103.68,12.03,103.68,12.03,26.44,5.86,7.00,6.00,8.00,15.00,9.00,20.00,5.00,6.00,5.00,0,0,0,"All parameters are changed randomly","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,18.00,13.00,true,true,"No",10.00,0,"Normal","Disabled",true
-143.15,-14.32,61.42,6.14,-204.58,-20.46,1754.84,175.48,971.45,97.14,783.39,78.34,1898.00,189.80,910.03,91.00,987.97,98.80,363.52,33.81,307.92,30.45,4295.21,429.52,-0.08,-0.11,0.93,1.07,0.79,97.00,97.00,71.00,0,0,71.02,35.35,35.68,992.00,495.00,497.00,0,0,0,148.00,81.00,67.00,844.00,414.00,430.00,14.92,16.36,13.48,-0.14,-0.04,0.12,0.11,-0.41,-0.19,11.86,6.88,11.99,6.93,11.69,6.82,2.25,1.25,2.20,1.22,2.30,1.28,5.27,5.46,5.09,28.22,15.03,28.22,15.01,26.84,15.03,17.74,4.57,6.67,3.60,17.74,4.57,6.00,6.00,6.00,17.00,15.00,19.00,4.00,5.00,4.00,0,0,0,"All parameters are changed randomly","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,14.00,54.00,true,true,"No",10.00,0,"Normal","Disabled",true
622.66,62.27,444.99,44.50,177.68,17.77,3690.33,369.03,1979.03,197.90,1711.30,171.13,3067.67,306.77,1534.04,153.40,1533.63,153.36,942.17,50.20,313.77,17.58,4069.09,406.91,0.29,0.57,1.20,1.29,1.12,162.00,162.00,117.00,23.61,1.45,120.82,62.34,58.47,1025.00,534.00,491.00,1.00,0,1.00,193.00,103.00,90.00,832.00,431.00,401.00,18.83,19.29,18.33,0.61,0.27,0.83,0.33,0.36,0.20,19.12,6.84,19.21,6.84,19.01,6.82,3.69,1.25,3.56,1.22,3.82,1.29,5.19,5.40,4.97,48.29,15.01,48.29,14.99,45.19,15.01,15.99,4.76,8.94,2.59,15.99,4.76,7.00,6.00,8.00,15.00,11.00,19.00,5.00,5.00,5.00,0,0,0,"All parameters are changed randomly","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,8.00,49.00,true,true,"No",10.00,0,"Normal","Disabled",true
721.65,72.17,427.94,42.79,293.71,29.37,6186.04,618.60,3178.10,317.81,3007.94,300.79,5464.39,546.44,2750.16,275.02,2714.23,271.42,1253.00,59.11,391.12,25.34,4155.91,415.59,0.23,0.36,1.13,1.16,1.11,148.00,148.00,118.00,0,0,201.26,104.62,96.64,1694.00,875.00,819.00,0,0,0,311.00,152.00,159.00,1383.00,723.00,660.00,18.36,17.37,19.41,0.43,0.19,0.49,0.16,0.36,0.22,19.89,6.89,20.91,7.00,18.92,6.80,3.95,1.32,3.80,1.28,4.11,1.36,5.03,5.50,4.60,161.02,15.04,161.02,15.00,52.74,15.04,100.24,8.66,11.64,5.82,100.24,8.66,7.00,6.00,8.00,13.00,11.00,16.00,5.00,5.00,6.00,0,0,0,"All parameters are changed randomly","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,10.00,17.00,true,true,"No",10.00,0,"Normal","Disabled",true
-219.51,-21.95,-42.57,-4.26,-176.94,-17.69,1667.82,166.78,895.88,89.59,771.95,77.19,1887.33,188.73,938.45,93.84,948.89,94.89,242.59,23.13,346.81,31.83,4343.62,434.36,-0.15,-0.18,0.88,0.96,0.81,89.00,89.00,76.00,0,0,69.92,34.23,35.69,969.00,480.00,489.00,0,0,0,138.00,71.00,67.00,831.00,409.00,422.00,14.24,14.79,13.70,-0.23,-0.10,-0.09,-0.03,-0.36,-0.18,12.09,6.83,12.62,7.16,11.52,6.48,2.27,1.25,2.29,1.28,2.25,1.23,5.32,5.50,5.12,29.79,15.00,29.79,15.00,28.71,14.99,8.94,5.23,8.48,4.49,8.94,5.23,6.00,6.00,7.00,17.00,14.00,21.00,4.00,4.00,4.00,0,0,0,"All parameters are changed randomly","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,12.00,54.00,true,true,"No",10.00,0,"Normal","Disabled",true
684.29,68.43,330.20,33.02,354.09,35.41,4051.76,405.18,1957.77,195.78,2093.99,209.40,3367.47,336.75,1627.57,162.76,1739.90,173.99,856.38,49.27,365.21,22.50,4229.92,422.99,0.23,0.39,1.20,1.20,1.20,145.00,145.00,119.00,26.01,1.54,132.88,66.33,66.56,1219.00,613.00,606.00,1.00,0,1.00,217.00,104.00,113.00,1002.00,509.00,493.00,17.80,16.97,18.65,0.56,0.24,0.54,0.23,0.58,0.25,18.67,7.03,18.82,7.14,18.53,6.94,3.36,1.23,3.20,1.18,3.53,1.29,5.56,5.89,5.25,45.79,15.02,43.69,14.99,45.79,15.02,11.37,4.77,9.88,3.57,11.37,4.77,6.00,6.00,7.00,12.00,11.00,14.00,5.00,5.00,5.00,0,0,0,"All parameters are changed randomly","Both","Simple","5","Percentage","5",0,10.00,10.00,10.00,"Entry+TP+SL",30.00,5.00,60.00,90.00,120.00,150.00,10.00,29.00,true,true,"No",10.00,0,"Normal","Disabled",true
