"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Length","__Type ➞","__RR Ratio","__SL Type","__Show SL","__Line Style","__Dashboard Size","__Performance Summary","__Monthly Performance"
1012.45,40.50,761.28,30.45,251.18,10.05,2859.53,114.38,1958.02,78.32,901.51,36.06,1847.08,73.88,1196.74,47.87,650.34,26.01,2450.56,50.56,1644.45,46.78,3661.19,146.45,1.10,171.04,1.55,1.64,1.39,56.00,53.00,56.00,959.79,27.33,146.99,103.15,43.84,32.00,23.00,9.00,1.00,0,1.00,16.00,13.00,3.00,16.00,10.00,6.00,50.00,56.52,33.33,31.64,1.27,33.10,1.26,27.91,1.28,178.72,6.31,150.62,5.27,300.50,10.81,115.44,3.78,119.67,3.95,108.39,3.49,1.55,1.26,2.77,682.91,25.79,326.46,10.74,682.91,25.79,222.12,7.71,203.78,7.71,222.12,6.67,25.00,24.00,29.00,30.00,29.00,34.00,21.00,17.00,27.00,0,0,0,"Current parameters.",70.00,"Body",1.37,"Close",true,"Dashed","Small",true,true
1406.28,56.25,1784.62,71.38,-378.34,-15.13,3016.37,120.65,2818.29,112.73,198.08,7.92,1610.09,64.40,1033.67,41.35,576.42,23.06,3041.08,56.42,1828.82,46.78,3837.75,153.51,0.70,2.00,1.87,2.73,0.34,54.00,47.00,54.00,1066.91,27.31,95.83,69.52,26.31,22.00,16.00,6.00,1.00,0,1.00,9.00,8.00,1.00,13.00,8.00,5.00,40.91,50.00,16.67,63.92,2.42,111.54,4.16,-63.06,-2.22,335.15,12.18,352.29,12.64,198.08,8.43,123.85,4.34,129.21,4.33,115.28,4.35,2.71,2.73,1.72,664.26,22.84,664.26,22.84,198.08,8.43,243.14,7.71,243.14,7.71,183.56,6.67,62.00,64.00,54.00,70.00,70.00,72.00,56.00,59.00,50.00,0,0,0,"All parameters are changed randomly",110.00,"Body",2.90,"Close",true,"Dashed","Small",true,true
-935.65,-37.43,59.28,2.37,-994.93,-39.80,1238.72,49.55,1238.72,49.55,0,0,2174.37,86.97,1179.44,47.18,994.93,39.80,1530.98,41.85,1628.59,60.12,4041.54,161.66,0.03,0.05,0.57,1.05,0,56.00,49.00,56.00,622.34,39.78,73.08,45.62,27.46,21.00,14.00,7.00,1.00,0,1.00,6.00,6.00,0,15.00,8.00,7.00,28.57,42.86,0,-44.55,-1.82,4.23,0.08,-142.13,-5.61,206.45,9.19,206.45,9.19,"N/A",,144.96,6.22,147.43,6.76,142.13,5.61,1.42,1.40,0,305.42,13.29,305.42,13.29,"N/A",,509.65,21.63,468.80,21.63,509.65,19.04,223.00,43.00,582.00,66.00,66.00,0,285.00,26.00,582.00,0,0,0,"All parameters are changed randomly",40.00,"Body",2.05,"Close",true,"Dashed","Small",true,true
52.50,2.10,737.84,29.51,-685.35,-27.41,1223.54,48.94,1223.54,48.94,0,0,1171.04,46.84,485.69,19.43,685.35,27.41,1881.25,43.81,1794.80,56.90,3838.30,153.53,0.40,0.78,1.05,2.52,0,54.00,47.00,54.00,697.00,27.31,44.09,33.22,10.88,10.00,8.00,2.00,1.00,0,1.00,5.00,5.00,0,5.00,3.00,2.00,50.00,62.50,0,5.25,0.71,92.23,3.69,-342.67,-11.22,244.71,9.26,244.71,9.26,"N/A",,234.21,7.85,161.90,5.60,342.67,11.22,1.05,1.51,0,386.02,13.95,386.02,13.95,"N/A",,598.18,19.04,235.76,7.71,598.18,19.04,450.00,73.00,1962.00,86.00,86.00,0,814.00,50.00,1962.00,0,0,0,"All parameters are changed randomly",120.00,"Body",2.15,"Close",true,"Dashed","Small",true,true
-589.77,-23.59,-888.36,-35.53,298.59,11.94,2466.80,98.67,1321.27,52.85,1145.53,45.82,3056.57,122.26,2209.63,88.39,846.94,33.88,1463.56,38.97,2215.73,62.68,4040.98,161.64,0.17,0.26,0.81,0.60,1.35,56.00,54.00,56.00,760.11,39.79,153.50,98.69,54.81,38.00,25.00,13.00,1.00,0,1.00,14.00,10.00,4.00,24.00,15.00,9.00,36.84,40.00,30.77,-15.52,-0.43,-35.53,-1.12,22.97,0.90,176.20,6.84,132.13,5.36,286.38,10.55,127.36,4.66,147.31,5.43,94.10,3.39,1.38,0.90,3.04,817.43,30.08,251.88,10.34,817.43,30.08,579.62,21.63,579.62,21.63,224.80,6.95,48.00,40.00,63.00,51.00,22.00,124.00,46.00,52.00,35.00,0,0,0,"All parameters are changed randomly",40.00,"Body",1.60,"Close",true,"Dashed","Small",true,true
1607.14,64.29,1155.74,46.23,451.39,18.06,5051.23,202.05,3696.30,147.85,1354.93,54.20,3444.09,137.76,2540.56,101.62,903.53,36.14,3694.83,60.53,2515.47,47.00,4039.86,161.59,0.84,3.08,1.47,1.46,1.50,66.00,66.00,65.00,1634.73,39.80,271.41,191.93,79.47,44.00,31.00,13.00,1.00,0,1.00,28.00,22.00,6.00,16.00,9.00,7.00,63.64,70.97,46.15,36.53,1.39,37.28,1.68,34.72,0.71,180.40,5.00,168.01,4.85,225.82,5.53,215.26,4.92,282.28,6.08,129.08,3.42,0.84,0.60,1.75,829.88,29.51,748.66,29.51,829.88,20.64,1030.77,21.63,1030.77,21.63,348.50,6.95,45.00,50.00,31.00,43.00,49.00,18.00,48.00,53.00,42.00,0,0,0,"All parameters are changed randomly",30.00,"Body",1.10,"Close",true,"Dashed","Small",true,true
522.19,20.89,1264.48,50.58,-742.29,-29.69,2030.30,81.21,2030.30,81.21,0,0,1508.10,60.32,765.82,30.63,742.29,29.69,1889.24,45.30,1580.98,49.55,3661.19,146.45,0.86,30.13,1.35,2.65,0,59.00,55.00,59.00,825.83,27.33,64.61,49.15,15.46,15.00,12.00,3.00,1.00,0,1.00,6.00,6.00,0,9.00,6.00,3.00,40.00,50.00,0,34.81,1.83,105.37,4.37,-247.43,-8.35,338.38,13.26,338.38,13.26,"N/A",,167.57,5.80,127.64,4.52,247.43,8.35,2.02,2.65,0,494.20,21.65,494.20,21.65,"N/A",,578.75,19.04,225.08,7.71,578.75,19.04,299.00,46.00,1315.00,78.00,78.00,0,447.00,13.00,1315.00,0,0,0,"All parameters are changed randomly",70.00,"Body",2.75,"Close",true,"Dashed","Small",true,true
467.28,18.69,961.46,38.46,-494.18,-19.77,1247.40,49.90,1247.40,49.90,0,0,780.13,31.21,285.95,11.44,494.18,19.77,1681.55,41.07,1739.60,52.40,3834.49,153.38,0.75,6.31,1.60,4.36,0,54.00,47.00,54.00,811.57,27.35,41.95,30.64,11.31,9.00,7.00,2.00,1.00,0,1.00,5.00,5.00,0,4.00,2.00,2.00,55.56,71.43,0,51.92,2.27,137.35,5.15,-247.09,-7.83,249.48,9.03,249.48,9.03,"N/A",,195.03,6.19,142.97,4.55,247.09,7.83,1.28,1.75,0,355.42,12.96,355.42,12.96,"N/A",,406.71,12.25,192.77,6.10,406.71,12.25,77.00,85.00,47.00,91.00,91.00,0,59.00,71.00,47.00,0,0,0,"All parameters are changed randomly",150.00,"Body",2.00,"Close",true,"Dashed","Small",true,true
189.81,7.59,984.02,39.36,-794.21,-31.77,1693.58,67.74,1693.58,67.74,0,0,1503.76,60.15,709.56,28.38,794.21,31.77,1629.62,40.86,1540.56,51.82,4141.94,165.68,0.53,1.92,1.13,2.39,0,57.00,51.00,57.00,735.68,27.35,68.88,50.56,18.32,17.00,13.00,4.00,1.00,0,1.00,7.00,7.00,0,10.00,6.00,4.00,41.18,53.85,0,11.17,0.81,75.69,3.24,-198.55,-7.10,241.94,9.78,241.94,9.78,"N/A",,150.38,5.47,118.26,4.39,198.55,7.10,1.61,2.05,0,336.18,15.31,336.18,15.31,"N/A",,556.93,19.04,229.11,7.71,556.93,19.04,267.00,41.00,1002.00,65.00,65.00,0,409.00,14.00,1002.00,0,0,0,"All parameters are changed randomly",60.00,"Body",1.95,"Close",true,"Dashed","Small",true,true
920.33,36.81,1200.60,48.02,-280.27,-11.21,2321.23,92.85,2101.36,84.05,219.87,8.79,1400.89,56.04,900.76,36.03,500.14,20.01,2306.69,48.87,1665.44,47.76,3834.49,153.38,0.67,1.58,1.66,2.33,0.44,54.00,47.00,54.00,935.47,27.35,76.76,53.94,22.83,17.00,12.00,5.00,1.00,0,1.00,7.00,6.00,1.00,10.00,6.00,4.00,41.18,50.00,20.00,54.14,2.22,100.05,3.92,-56.05,-1.85,331.60,12.01,350.23,12.56,219.87,8.73,140.09,4.63,150.13,4.73,125.03,4.50,2.37,2.33,1.76,569.50,19.52,569.50,19.52,219.87,8.73,260.63,7.71,260.63,7.71,196.76,6.67,75.00,80.00,63.00,71.00,70.00,72.00,78.00,90.00,61.00,0,0,0,"All parameters are changed randomly",130.00,"Body",3.00,"Close",true,"Dashed","Small",true,true
-896.51,-35.86,110.93,4.44,-1007.43,-40.30,1312.64,52.51,1312.64,52.51,0,0,2209.15,88.37,1201.72,48.07,1007.43,40.30,1604.49,42.90,1649.98,59.84,4034.25,161.37,0.05,0.08,0.59,1.09,0,56.00,49.00,56.00,638.99,39.85,73.94,46.30,27.64,21.00,14.00,7.00,1.00,0,1.00,6.00,6.00,0,15.00,8.00,7.00,28.57,42.86,0,-42.69,-1.69,7.92,0.27,-143.92,-5.61,218.77,9.65,218.77,9.65,"N/A",,147.28,6.22,150.21,6.76,143.92,5.61,1.49,1.46,0,322.90,13.95,322.90,13.95,"N/A",,520.99,21.63,479.24,21.63,520.99,19.04,223.00,44.00,582.00,68.00,68.00,0,285.00,26.00,582.00,0,0,0,"All parameters are changed randomly",40.00,"Body",2.15,"Close",true,"Dashed","Small",true,true
793.22,31.73,438.16,17.53,355.05,14.20,2644.02,105.76,1735.46,69.42,908.56,36.34,1850.80,74.03,1297.29,51.89,553.51,22.14,2145.18,47.21,1610.58,47.87,3655.91,146.24,1.14,149.63,1.43,1.34,1.64,56.00,53.00,56.00,901.94,27.39,136.22,98.82,37.40,31.00,23.00,8.00,1.00,0,1.00,15.00,12.00,3.00,16.00,11.00,5.00,48.39,52.17,37.50,25.59,1.10,19.05,0.84,44.38,1.85,176.27,6.44,144.62,5.30,302.85,11.03,115.68,3.91,117.94,4.02,110.70,3.66,1.52,1.23,2.74,700.69,26.31,311.26,10.95,700.69,26.31,224.34,7.71,204.65,7.71,224.34,6.67,30.00,30.00,31.00,30.00,28.00,34.00,31.00,33.00,29.00,0,0,0,"All parameters are changed randomly",70.00,"Body",1.40,"Close",true,"Dashed","Small",true,true
