"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Strategy Direction","__Length","__OverSold","__OverBought","__HTF","__SuperTrend Multiplier","__SuperTrend Period","__Take profit1","__Timezones: Src","__-> Dst","__Srart From ","__End To       ","__Select Session Days","__Mon","__Tue","__Wed","__Thu","__Fri","__Sat","__Sun","__Session Start","__:","__Session End ","__1. ADX","__2. MACD","__3. Bar direction=Trade direction","__4. Rising Volume","__5. Rising/Falling MA","__Bars","__6. High/Low Filter","__Lookback","__7. Maximum close change (％) allowed on entry","__8. Minimum close change (％) allowed on entry","__9. RSI OS/OB","__10. MA","__11. EMA Difference","__Take Profit Type","__Stop Loss Type","__ Profit ％    ","__ Stop ％  ","__ Profit ＄    ","__ Stop ＄  ","__ ATR Period  ","__ Multiplier","__ Trailing ％  ","__ R:R    1:","__Fixed RR","__ HH / LL   ","__  LO / HI ","__Add ％","__ MA Stop","__ Len","__ Step","__ 𝐄𝐱𝐭𝐞𝐫𝐧𝐚𝐥 𝐒𝐨𝐮𝐫𝐜𝐞  ","__ Long Deals    ","__ Short Deals","__ Wait End Deal ","__ Reverse Deals","__ ReEntry Deal  ","__ ReOpen Deal","__Loss Streak   ","__Win Streak   ","__Row Loss InDay","__DrawDown ％","__InDay Loss ％ ","__Daily Trades  ","__Weekly Trades","__     Order Size","__Use Net Profit","__​🇪​​🇶​​🇺​​🇮​​🇹​​🇾​","__​🇸​​🇮​​🇿​​🇪","__​🇨​​🇴​​🇳​​🇹​​🇷​​🇦​​🇨​​🇹​​🇸​","__Take Profit LV 1","__﻿","__Take Profit LV 2","__Take Profit LV 3","__Take Profit LV 4","__Take Profit LV 5","__Stop Loss","__𝐓𝐈𝐏 𝐅𝐨𝐫 𝐓𝐏","__ SL 0 Position","__Breakeven on TP","__ CoolDown # Bars","__Dashboard Size","__Performance Summary","__Monthly Performance"
-4.32,-0.04,30.74,0.31,-35.06,-0.35,303.72,3.04,134.11,1.34,169.61,1.70,308.04,3.08,103.37,1.03,204.68,2.05,110.16,1.09,103.04,1.02,-253.19,-2.53,-0.32,-0.38,0.99,1.30,0.83,0,0,0,0,0,84.45,34.73,49.72,56.00,23.00,33.00,0,0,0,21.00,9.00,12.00,35.00,14.00,21.00,37.50,39.13,36.36,-0.08,-0.01,1.34,0.13,-1.06,-0.11,14.46,1.44,14.90,1.48,14.13,1.41,8.80,0.87,7.38,0.73,9.75,0.97,1.64,2.02,1.45,29.94,2.99,24.63,2.45,29.94,2.99,18.11,1.80,14.93,1.48,18.11,1.80,94.00,29.00,139.00,123.00,39.00,187.00,76.00,22.00,112.00,0,0,0,"Current parameters.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,2.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-9.67,-0.10,-24.96,-0.25,15.29,0.15,218.96,2.19,103.89,1.04,115.06,1.15,228.63,2.29,128.85,1.29,99.77,1.00,51.73,0.52,74.93,0.75,-359.49,-3.59,-0.50,-0.47,0.96,0.81,1.15,0,0,0,0,0,77.84,38.95,38.90,52.00,26.00,26.00,0,0,0,25.00,11.00,14.00,27.00,15.00,12.00,48.08,42.31,53.85,-0.19,-0.02,-0.96,-0.10,0.59,0.06,8.76,0.88,9.44,0.95,8.22,0.82,8.47,0.85,8.59,0.86,8.31,0.83,1.03,1.10,0.99,27.44,2.75,27.44,2.75,17.35,1.73,15.84,1.59,15.84,1.59,11.94,1.20,42.00,30.00,54.00,56.00,40.00,68.00,29.00,22.00,37.00,0,0,0,"Changed "" R:R    1:"": 2 => 1.2.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,1.20,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-52.05,-0.52,-37.70,-0.38,-14.35,-0.14,197.03,1.97,89.22,0.89,107.81,1.08,249.08,2.49,126.92,1.27,122.16,1.22,42.59,0.42,106.10,1.06,-357.48,-3.57,-1.74,-0.87,0.79,0.70,0.88,0,0,0,0,0,65.90,32.94,32.96,44.00,22.00,22.00,0,0,0,16.00,8.00,8.00,28.00,14.00,14.00,36.36,36.36,36.36,-1.18,-0.12,-1.71,-0.17,-0.65,-0.07,12.31,1.23,11.15,1.12,13.48,1.35,8.90,0.89,9.07,0.91,8.73,0.87,1.38,1.23,1.54,25.23,2.52,13.89,1.39,25.23,2.52,15.84,1.59,15.84,1.59,12.96,1.30,81.00,46.00,116.00,111.00,53.00,169.00,63.00,41.00,85.00,0,0,0,"Changed "" R:R    1:"": 1.2 => 1.7.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,1.70,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-44.25,-0.44,-29.73,-0.30,-14.52,-0.15,226.35,2.26,102.67,1.03,123.68,1.24,270.60,2.71,132.40,1.32,138.20,1.38,55.22,0.55,96.23,0.96,-357.48,-3.57,-1.22,-0.78,0.84,0.78,0.90,0,0,0,0,0,64.41,31.45,32.95,43.00,21.00,22.00,0,0,0,13.00,6.00,7.00,30.00,15.00,15.00,30.23,28.57,31.82,-1.03,-0.10,-1.42,-0.14,-0.66,-0.07,17.41,1.74,17.11,1.72,17.67,1.77,9.02,0.90,8.83,0.88,9.21,0.92,1.93,1.94,1.92,36.17,3.62,20.22,2.02,36.17,3.62,16.04,1.60,15.85,1.59,16.04,1.60,93.00,49.00,134.00,133.00,62.00,193.00,75.00,44.00,107.00,0,0,0,"Changed "" R:R    1:"": 1.2 => 2.4.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,2.40,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-45.64,-0.46,-32.11,-0.32,-13.53,-0.14,109.56,1.10,58.79,0.59,50.77,0.51,155.20,1.55,90.90,0.91,64.30,0.64,39.58,0.40,60.01,0.60,-354.65,-3.55,-2.00,-0.89,0.71,0.65,0.79,0,0,0,0,0,89.72,44.88,44.85,60.00,30.00,30.00,0,0,0,27.00,11.00,16.00,33.00,19.00,14.00,45.00,36.67,53.33,-0.76,-0.08,-1.07,-0.11,-0.45,-0.05,4.06,0.41,5.34,0.54,3.17,0.32,4.70,0.47,4.78,0.48,4.59,0.46,0.86,1.12,0.69,27.38,2.75,27.38,2.75,7.22,0.72,9.35,0.93,8.68,0.87,9.35,0.93,11.00,11.00,11.00,9.00,8.00,10.00,13.00,13.00,13.00,0,0,0,"Changed "" Multiplier"": 4 => 2.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.00,3.00,1.20,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-65.15,-0.65,-35.19,-0.35,-29.97,-0.30,132.22,1.32,75.69,0.76,56.53,0.57,197.38,1.97,110.88,1.11,86.50,0.87,42.46,0.43,100.95,1.01,-351.14,-3.51,-1.48,-0.83,0.67,0.68,0.65,0,0,0,0,0,89.53,47.75,41.78,60.00,32.00,28.00,0,0,0,23.00,11.00,12.00,37.00,21.00,16.00,38.33,34.38,42.86,-1.09,-0.11,-1.10,-0.11,-1.07,-0.11,5.75,0.58,6.88,0.69,4.71,0.47,5.33,0.54,5.28,0.53,5.41,0.54,1.08,1.30,0.87,27.27,2.75,27.27,2.75,9.40,0.94,11.31,1.13,7.49,0.75,11.31,1.13,18.00,15.00,22.00,15.00,14.00,15.00,20.00,15.00,27.00,0,0,0,"Changed "" Multiplier"": 4 => 2.5.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.20,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
3.16,0.03,-46.16,-0.46,49.32,0.49,219.03,2.19,80.09,0.80,138.94,1.39,215.87,2.16,126.26,1.26,89.62,0.90,59.38,0.59,67.90,0.68,-349.16,-3.49,-0.49,-0.47,1.01,0.63,1.55,0,0,0,0,0,70.34,32.96,37.39,47.00,22.00,25.00,0,0,0,25.00,9.00,16.00,22.00,13.00,9.00,53.19,40.91,64.00,0.07,0.01,-2.10,-0.21,1.97,0.20,8.76,0.88,8.90,0.89,8.68,0.87,9.81,0.98,9.71,0.97,9.96,1.00,0.89,0.92,0.87,19.69,1.97,15.01,1.50,19.69,1.97,17.65,1.77,17.65,1.77,13.26,1.33,60.00,40.00,79.00,61.00,47.00,68.00,60.00,35.00,97.00,0,0,0,"Changed "" Multiplier"": 4 => 4.5.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.50,3.00,1.20,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-45.64,-0.46,-32.11,-0.32,-13.53,-0.14,109.56,1.10,58.79,0.59,50.77,0.51,155.20,1.55,90.90,0.91,64.30,0.64,39.58,0.40,60.01,0.60,-349.45,-3.49,-2.00,-0.89,0.71,0.65,0.79,0,0,0,0,0,89.72,44.88,44.85,60.00,30.00,30.00,0,0,0,27.00,11.00,16.00,33.00,19.00,14.00,45.00,36.67,53.33,-0.76,-0.08,-1.07,-0.11,-0.45,-0.05,4.06,0.41,5.34,0.54,3.17,0.32,4.70,0.47,4.78,0.48,4.59,0.46,0.86,1.12,0.69,27.38,2.75,27.38,2.75,7.22,0.72,9.35,0.93,8.68,0.87,9.35,0.93,11.00,11.00,11.00,9.00,8.00,10.00,13.00,13.00,13.00,0,0,0,"Changed "" Multiplier"": 4.5 => 2.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.00,3.00,1.20,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-69.56,-0.70,-57.35,-0.57,-12.21,-0.12,177.55,1.78,63.67,0.64,113.88,1.14,247.10,2.47,121.01,1.21,126.09,1.26,44.08,0.44,97.60,0.97,-350.20,-3.50,-1.27,-0.79,0.72,0.53,0.90,0,0,0,0,0,53.77,23.88,29.89,36.00,16.00,20.00,0,0,0,14.00,5.00,9.00,22.00,11.00,11.00,38.89,31.25,45.00,-1.93,-0.19,-3.58,-0.36,-0.61,-0.06,12.68,1.27,12.73,1.28,12.65,1.27,11.23,1.13,11.00,1.10,11.46,1.15,1.13,1.16,1.10,26.69,2.68,14.74,1.48,26.69,2.68,17.85,1.78,17.63,1.77,17.85,1.78,124.00,62.00,175.00,162.00,65.00,216.00,100.00,60.00,141.00,0,0,0,"Changed "" R:R    1:"": 1.2 => 1.6.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.50,3.00,1.60,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-57.20,-0.57,-52.93,-0.53,-4.27,-0.04,190.05,1.90,68.16,0.68,121.89,1.22,247.25,2.47,121.10,1.21,126.16,1.26,46.10,0.46,86.99,0.87,-350.23,-3.50,-1.10,-0.75,0.77,0.56,0.97,0,0,0,0,0,53.80,23.90,29.90,36.00,16.00,20.00,0,0,0,14.00,5.00,9.00,22.00,11.00,11.00,38.89,31.25,45.00,-1.59,-0.16,-3.31,-0.33,-0.21,-0.02,13.58,1.36,13.63,1.37,13.54,1.36,11.24,1.13,11.01,1.10,11.47,1.15,1.21,1.24,1.18,28.45,2.85,15.76,1.58,28.45,2.85,17.85,1.78,17.64,1.77,17.85,1.78,125.00,62.00,175.00,163.00,66.00,216.00,100.00,60.00,141.00,0,0,0,"Changed "" R:R    1:"": 1.2 => 1.7.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.50,3.00,1.70,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
