"Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg Losing Trade %: All","Avg Losing Trade %: Long","Avg Losing Trade %: Short","Avg Losing Trade: All","Avg Losing Trade: Long","Avg Losing Trade: Short","Avg Trade %: All","Avg Trade %: Long","Avg Trade %: Short","Avg Trade: All","Avg Trade: Long","Avg Trade: Short","Avg Winning Trade %: All","Avg Winning Trade %: Long","Avg Winning Trade %: Short","Avg Winning Trade: All","Avg Winning Trade: Long","Avg Winning Trade: Short","Buy & Hold Return","Buy & Hold Return %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Gross Loss %: All","Gross Loss %: Long","Gross Loss %: Short","Gross Loss: All","Gross Loss: Long","Gross Loss: Short","Gross Profit %: All","Gross Profit %: Long","Gross Profit %: Short","Gross Profit: All","Gross Profit: Long","Gross Profit: Short","Largest Losing Trade %: All","Largest Losing Trade %: Long","Largest Losing Trade %: Short","Largest Losing Trade: All","Largest Losing Trade: Long","Largest Losing Trade: Short","Largest Winning Trade %: All","Largest Winning Trade %: Long","Largest Winning Trade %: Short","Largest Winning Trade: All","Largest Winning Trade: Long","Largest Winning Trade: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Max Drawdown","Max Drawdown %","Max Run-up","Max Run-up %","Net Profit %: All","Net Profit %: Long","Net Profit %: Short","Net Profit: All","Net Profit: Long","Net Profit: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Open PL","Open PL %","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Sharpe Ratio","Sortino Ratio","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","__-> Dst","__1. ADX","__10. MA","__11. EMA Difference","__2. MACD","__3. Bar direction=Trade direction","__4. Rising Volume","__5. Rising/Falling MA","__6. High/Low Filter","__7. Maximum close change (％) allowed on entry","__8. Minimum close change (％) allowed on entry","__9. RSI OS/OB","__:","__ATR Length","__Add ％","__Bars","__Breakeven on TP","__Candle Coloring","__Daily Trades  ","__Dashboard Size","__DrawDown ％","__End To       ","__Factor Range","__Fixed RR","__Fri","__From Cluster","__Historical Bars Calculation","__InDay Loss ％ ","__Length","__Location","__Lookback","__Loss Streak   ","__Maximum Iteration Steps","__Mon","__Monthly Performance","__Performance Memory","__Performance Summary","__Row Loss InDay","__Sat","__Select Session Days","__Session End ","__Session Start","__Show Dashboard","__Show Signals","__Size","__Srart From ","__Step","__Stop Loss","__Stop Loss Type","__Sun","__Take Profit LV 1","__Take Profit LV 2","__Take Profit LV 3","__Take Profit LV 4","__Take Profit LV 5","__Take Profit Type","__Thu","__Timezones: Src","__Tue","__Use Net Profit","__Wed","__Weekly Trades","__Win Streak   ","__ ATR Period  ","__ CoolDown # Bars","__ HH / LL   ","__ Len","__ Long Deals    ","__ MA Stop","__ Multiplier","__ Profit ＄    ","__ Profit ％    ","__ R:R    1:","__ ReEntry Deal  ","__ ReOpen Deal","__ Reverse Deals","__ SL 0 Position","__ Short Deals","__ Step","__ Stop ＄  ","__ Stop ％  ","__ Trailing ％  ","__ Wait End Deal ","__  LO / HI ","__     Order Size","__ 𝐄𝐱𝐭𝐞𝐫𝐧𝐚𝐥 𝐒𝐨𝐮𝐫𝐜𝐞  ","__​🇨​​🇴​​🇳​​🇹​​🇷​​🇦​​🇨​​🇹​​🇸​","__​🇪​​🇶​​🇺​​🇮​​🇹​​🇾​","__​🇸​​🇮​​🇿​​🇪","__﻿","__𝐓𝐈𝐏 𝐅𝐨𝐫 𝐓𝐏","comment"
528.00,789.00,397.00,692.00,546.00,817.00,1062.00,303.00,3338.00,2.52,2.81,2.38,25.45,28.28,24.04,0.65,2.11,-0.60,6.36,21.10,-6.27,7.78,7.03,10.03,77.95,70.47,100.37,99.75,1.00,20.47,9.13,11.34,2.29,0.85,1.44,229.09,84.84,144.25,3.12,2.11,1.00,311.79,211.42,100.37,3.66,3.66,3.18,36.99,36.99,31.97,10.03,7.40,10.03,100.37,74.32,100.37,0,0,0,0,0,0,102.07,1.01,158.93,1.57,0.83,1.27,-0.44,82.70,126.58,-43.88,9.00,3.00,6.00,4.00,3.00,1.00,32.31,0.32,30.77,50.00,14.29,1.36,2.49,0.70,3.06,2.49,4.18,0.33,0.49,13.00,6.00,7.00,1.00,0,1.00,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",6.00,333.00,4.50,3.90,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Best value parameters."
105.00,103.00,108.00,94.00,95.00,92.00,68.00,77.00,58.00,0.99,0.93,1.07,9.85,9.22,10.57,-0.29,-0.26,-0.31,-2.85,-2.61,-3.11,1.34,1.38,1.31,13.32,13.67,12.96,99.10,0.99,128.64,67.66,60.99,5.91,2.95,2.96,591.02,295.09,295.93,3.46,1.78,1.68,346.19,177.75,168.45,1.90,1.90,1.67,18.91,18.91,16.56,2.47,1.99,2.47,24.48,19.82,24.48,0,0,0,0,0,0,255.14,2.55,79.21,0.79,-2.45,-1.17,-1.27,-244.83,-117.34,-127.49,60.00,32.00,28.00,26.00,13.00,13.00,2.50,0.03,30.23,28.89,31.71,0.59,0.60,0.57,1.35,1.48,1.23,-1.05,-0.73,86.00,45.00,41.00,1.00,1.00,0,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",3.00,333.00,4.50,2.20,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed all parameters randomly."
125.00,142.00,110.00,123.00,132.00,114.00,118.00,109.00,126.00,1.04,1.02,1.06,10.43,10.24,10.61,-0.06,-0.01,-0.10,-0.60,-0.12,-1.05,2.30,2.31,2.28,23.01,23.16,22.86,99.10,0.99,102.99,50.40,52.59,5.01,2.35,2.65,500.74,235.41,265.33,4.60,2.32,2.29,460.17,231.56,228.61,1.90,1.90,1.67,19.17,19.17,16.61,3.78,3.06,3.78,38.00,30.68,38.00,0,0,0,0,0,0,133.86,1.33,186.38,1.84,-0.41,-0.04,-0.37,-40.58,-3.86,-36.72,48.00,23.00,25.00,20.00,10.00,10.00,2.56,0.03,29.41,30.30,28.57,0.92,0.98,0.86,2.21,2.26,2.15,-0.33,-0.35,68.00,33.00,35.00,1.00,1.00,0,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",3.00,333.00,4.50,3.30,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" R:R    1:"": 2.2 => 3.3."
257.00,368.00,167.00,623.00,351.00,895.00,1283.00,328.00,2716.00,2.94,3.07,2.84,29.54,30.77,28.55,0.25,0.39,0.10,2.31,3.86,0.76,5.98,5.01,7.43,59.64,50.04,74.04,100.48,1.00,21.77,10.53,11.23,2.66,1.23,1.43,265.84,123.07,142.77,2.98,1.50,1.48,298.18,150.11,148.07,4.83,4.83,3.83,48.30,48.30,38.12,8.34,5.27,8.34,82.78,52.81,82.78,0,0,0,0,0,0,155.97,1.56,158.14,1.57,0.32,0.27,0.05,32.35,27.05,5.30,9.00,4.00,5.00,5.00,3.00,2.00,24.79,0.25,35.71,42.86,28.57,1.12,1.22,1.04,2.02,1.63,2.59,-0.03,-0.04,14.00,7.00,7.00,1.00,0,1.00,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",8.00,333.00,4.50,2.10,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed all parameters randomly."
104.00,100.00,108.00,92.00,93.00,91.00,64.00,76.00,52.00,0.99,0.92,1.07,9.78,9.13,10.55,-0.31,-0.29,-0.33,-3.09,-2.89,-3.31,1.27,1.31,1.24,12.62,12.97,12.28,100.56,1.01,129.93,69.02,60.90,5.97,3.01,2.96,596.88,301.35,295.53,3.28,1.69,1.60,328.23,168.58,159.65,1.90,1.90,1.67,18.87,18.87,16.55,2.35,1.90,2.35,23.25,18.83,23.25,0,0,0,0,0,0,278.12,2.78,68.51,0.69,-2.69,-1.33,-1.36,-268.64,-132.77,-135.88,61.00,33.00,28.00,26.00,13.00,13.00,2.64,0.03,29.89,28.26,31.71,0.55,0.56,0.54,1.29,1.42,1.16,-1.21,-0.77,87.00,46.00,41.00,1.00,1.00,0,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",3.00,333.00,4.50,2.10,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" Multiplier"": 8 => 3."
117.00,136.00,101.00,151.00,155.00,147.00,247.00,201.00,300.00,1.06,1.05,1.07,10.71,10.63,10.77,0.03,0.18,-0.10,0.32,1.76,-0.99,3.11,3.11,3.10,31.17,31.19,31.16,100.60,1.01,86.70,41.50,45.21,4.50,2.02,2.48,449.62,201.88,247.74,4.68,2.49,2.18,467.60,249.48,218.12,1.90,1.90,1.67,19.23,19.23,16.64,4.62,3.75,4.62,46.63,37.70,46.63,0,0,0,0,0,0,134.65,1.33,233.85,2.30,0.18,0.48,-0.30,17.98,47.61,-29.62,42.00,19.00,23.00,15.00,8.00,7.00,2.72,0.03,26.32,29.63,23.33,1.04,1.24,0.88,2.91,2.94,2.89,-0.13,-0.16,57.00,27.00,30.00,1.00,1.00,0,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",3.00,333.00,4.50,4.00,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" R:R    1:"": 2.1 => 4."
48.00,47.00,49.00,48.00,46.00,51.00,50.00,39.00,58.00,0.64,0.62,0.66,6.25,6.04,6.48,-0.30,-0.33,-0.28,-2.97,-3.19,-2.75,1.48,1.50,1.46,14.42,14.72,14.20,100.75,1.01,213.14,107.47,105.67,7.63,3.80,3.82,762.63,380.31,382.31,3.32,1.47,1.85,331.69,147.15,184.54,1.32,1.32,1.19,12.84,12.84,11.78,2.95,2.37,2.95,28.57,22.93,28.57,0,0,0,0,0,0,446.27,4.46,52.90,0.54,-4.31,-2.33,-1.98,-430.94,-233.16,-197.78,122.00,63.00,59.00,23.00,10.00,13.00,2.61,0.03,15.86,13.70,18.06,0.44,0.39,0.48,2.31,2.44,2.19,-3.65,-0.96,145.00,73.00,72.00,1.00,1.00,0,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",2.00,333.00,4.50,3.90,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" Multiplier"": 6 => 2."
259.00,245.00,268.00,419.00,286.00,540.00,820.00,347.00,1768.00,1.91,2.01,1.84,19.17,20.13,18.53,0.44,0.99,-0.06,4.31,9.84,-0.72,6.31,5.48,7.96,63.01,54.79,79.45,101.91,1.02,32.37,15.09,17.28,2.88,1.21,1.67,287.56,120.79,166.77,3.78,2.19,1.59,378.08,219.18,158.90,3.07,3.07,2.68,30.78,30.78,26.74,8.33,6.15,8.33,82.83,61.88,82.83,0,0,0,0,0,0,124.02,1.23,198.46,1.96,0.91,0.98,-0.08,90.52,98.39,-7.87,15.00,6.00,9.00,6.00,4.00,2.00,29.42,0.29,28.57,40.00,18.18,1.32,1.82,0.95,3.29,2.72,4.29,0.21,0.37,21.00,10.00,11.00,1.00,0,1.00,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",5.00,333.00,4.50,3.90,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" Multiplier"": 2 => 5."
122.00,145.00,101.00,142.00,160.00,124.00,200.00,199.00,202.00,1.04,1.00,1.07,10.45,10.13,10.75,-0.02,0.07,-0.12,-0.26,0.66,-1.18,3.02,3.03,3.02,30.31,30.33,30.29,102.45,1.02,91.06,45.92,45.13,4.70,2.23,2.47,470.11,222.78,247.34,4.55,2.43,2.12,454.66,242.61,212.05,1.90,1.90,1.67,19.18,19.18,16.64,4.50,3.65,4.50,45.29,36.60,45.29,0,0,0,0,0,0,134.20,1.33,201.55,1.99,-0.15,0.20,-0.35,-15.45,19.84,-35.29,45.00,22.00,23.00,15.00,8.00,7.00,2.89,0.03,25.00,26.67,23.33,0.97,1.09,0.86,2.90,3.00,2.82,-0.24,-0.27,60.00,30.00,30.00,1.00,1.00,0,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",3.00,333.00,4.50,3.90,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" Multiplier"": 5 => 3."
104.00,100.00,108.00,92.00,93.00,91.00,64.00,76.00,52.00,0.99,0.92,1.07,9.78,9.13,10.55,-0.31,-0.29,-0.33,-3.09,-2.89,-3.31,1.27,1.31,1.24,12.62,12.97,12.28,103.52,1.04,129.93,69.02,60.90,5.97,3.01,2.96,596.88,301.35,295.53,3.28,1.69,1.60,328.23,168.58,159.65,1.90,1.90,1.67,18.87,18.87,16.55,2.35,1.90,2.35,23.25,18.83,23.25,0,0,0,0,0,0,278.12,2.78,68.51,0.69,-2.69,-1.33,-1.36,-268.64,-132.77,-135.88,61.00,33.00,28.00,26.00,13.00,13.00,2.92,0.03,29.89,28.26,31.71,0.55,0.56,0.54,1.29,1.42,1.16,-1.21,-0.77,87.00,46.00,41.00,1.00,1.00,0,"Exchange",0,0,0,0,0,0,0,0,0,0,0,0,10.00,0,1.00,3.00,true,10.00,"Small",10.00,0,1.00,true,true,"Best",10000.00,3.00,50.00,"Top Right",10.00,15.00,1000.00,true,true,10.00,true,3.00,0,0,0,0,true,true,"Small",true,0.50,0,"ATR",0,0,0,0,0,0,"R:R",true,"Exchange",true,true,true,50.00,15.00,40.00,0,200.00,15.00,true,"SMA",3.00,333.00,4.50,2.10,0,0,0,3.00,true,1.50,100.00,1.50,3.00,true,5.00,"EQUITY","close",1.00,10.00,1000.00,30.00,"——⤴—⤴—⤴","Changed "" R:R    1:"": 3.9 => 2.1."
