"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__ATR Length","__Factor Range","__Step","__Performance Memory","__From Cluster","__Maximum Iteration Steps","__Historical Bars Calculation","__Candle Coloring","__Show Signals","__Show Dashboard","__Location","__Size","__Timezones: Src","__-> Dst","__Srart From ","__End To       ","__Select Session Days","__Mon","__Tue","__Wed","__Thu","__Fri","__Sat","__Sun","__Session Start","__:","__Session End ","__1. ADX","__2. MACD","__3. Bar direction=Trade direction","__4. Rising Volume","__5. Rising/Falling MA","__Length","__Bars","__6. High/Low Filter","__Lookback","__7. Maximum close change (％) allowed on entry","__8. Minimum close change (％) allowed on entry","__9. RSI OS/OB","__10. MA","__11. EMA Difference","__Take Profit Type","__Stop Loss Type","__ Profit ％    ","__ Stop ％  ","__ Profit ＄    ","__ Stop ＄  ","__ ATR Period  ","__ Multiplier","__ Trailing ％  ","__ R:R    1:","__Fixed RR","__ HH / LL   ","__  LO / HI ","__Add ％","__ MA Stop","__ Len","__ Step","__ 𝐄𝐱𝐭𝐞𝐫𝐧𝐚𝐥 𝐒𝐨𝐮𝐫𝐜𝐞  ","__ Long Deals    ","__ Short Deals","__ Wait End Deal ","__ Reverse Deals","__ ReEntry Deal  ","__ ReOpen Deal","__Loss Streak   ","__Win Streak   ","__Row Loss InDay","__DrawDown ％","__InDay Loss ％ ","__Daily Trades  ","__Weekly Trades","__     Order Size","__Use Net Profit","__​🇪​​🇶​​🇺​​🇮​​🇹​​🇾​","__​🇸​​🇮​​🇿​​🇪","__​🇨​​🇴​​🇳​​🇹​​🇷​​🇦​​🇨​​🇹​​🇸​","__Take Profit LV 1","__﻿","__Take Profit LV 2","__Take Profit LV 3","__Take Profit LV 4","__Take Profit LV 5","__Stop Loss","__𝐓𝐈𝐏 𝐅𝐨𝐫 𝐓𝐏","__ SL 0 Position","__Breakeven on TP","__ CoolDown # Bars","__Dashboard Size","__Performance Summary","__Monthly Performance"
25.06,0.25,174.46,1.74,-149.40,-1.49,1375.47,13.75,715.75,7.16,659.72,6.60,1350.41,13.50,541.29,5.41,809.13,8.09,766.62,7.18,652.53,6.17,129.48,1.29,0.06,0.12,1.02,1.32,0.82,0,0,0,352.97,3.52,172.73,75.19,97.54,11.00,5.00,6.00,1.00,0,1.00,3.00,2.00,1.00,8.00,3.00,5.00,27.27,40.00,16.67,2.28,0.03,34.89,0.35,-24.90,-0.24,458.49,4.58,357.87,3.58,659.72,6.59,168.80,1.68,180.43,1.80,161.83,1.60,2.72,1.98,4.08,659.72,6.59,476.06,4.76,659.72,6.59,210.19,2.10,210.19,2.10,181.10,1.81,656.00,660.00,652.00,277.00,125.00,583.00,797.00,1017.00,666.00,0,0,0,"Current parameters.",10.00,1.00,0.50,10.00,"Best",1000.00,10000.00,true,true,true,"Top Right","Small","Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,7.00,3.00,3.40,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-2254.08,-22.54,-1477.99,-14.78,-776.09,-7.76,2282.48,22.82,953.91,9.54,1328.57,13.29,4536.56,45.37,2431.90,24.32,2104.66,21.05,526.12,5.15,2493.35,24.39,129.44,1.29,-0.51,-0.49,0.50,0.39,0.63,0,0,0,29.57,0.38,2197.04,1147.25,1049.79,146.00,76.00,70.00,1.00,1.00,0,36.00,15.00,21.00,110.00,61.00,49.00,24.66,19.74,30.00,-15.44,-0.15,-19.45,-0.19,-11.09,-0.11,63.40,0.63,63.59,0.64,63.27,0.63,41.24,0.41,39.87,0.40,42.95,0.43,1.54,1.60,1.47,177.79,1.78,174.61,1.74,177.79,1.78,68.46,0.68,62.51,0.62,68.46,0.68,50.00,53.00,47.00,74.00,86.00,65.00,42.00,45.00,39.00,0,0,0,"Changed "" Multiplier"": 7 => 2.",10.00,1.00,0.50,10.00,"Best",1000.00,10000.00,true,true,true,"Top Right","Small","Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.00,3.00,3.40,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-1518.48,-15.18,-673.59,-6.74,-844.89,-8.45,1463.56,14.64,697.14,6.97,766.42,7.66,2982.04,29.82,1370.73,13.71,1611.31,16.11,371.91,3.59,1896.03,18.29,129.48,1.29,-0.33,-0.36,0.49,0.51,0.48,0,0,0,55.15,0.65,1147.63,577.43,570.21,76.00,38.00,38.00,1.00,1.00,0,9.00,5.00,4.00,67.00,33.00,34.00,11.84,13.16,10.53,-19.98,-0.20,-17.73,-0.18,-22.23,-0.22,162.62,1.62,139.43,1.39,191.61,1.91,44.51,0.44,41.54,0.41,47.39,0.47,3.65,3.36,4.04,353.55,3.53,183.88,1.84,353.55,3.53,70.77,0.71,70.77,0.71,68.46,0.68,107.00,88.00,125.00,160.00,117.00,212.00,99.00,84.00,115.00,0,0,0,"Changed "" R:R    1:"": 3.4 => 6.5.",10.00,1.00,0.50,10.00,"Best",1000.00,10000.00,true,true,true,"Top Right","Small","Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.00,3.00,6.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
464.36,4.64,471.86,4.72,-7.50,-0.07,471.86,4.72,471.86,4.72,0,0,7.50,0.07,0,0,7.50,0.07,1515.90,13.17,70.51,0.71,129.48,1.29,0.24,49.73,62.91,"N/A",0,0,0,0,539.37,5.15,22.87,15.37,7.50,1.00,1.00,0,1.00,0,1.00,1.00,1.00,0,0,0,0,100.00,100.00,"N/A",464.36,4.72,471.86,4.72,"N/A",,471.86,4.72,471.86,4.72,"N/A",,"N/A",,"N/A",,"N/A",,"N/A","N/A","N/A",471.86,4.72,471.86,4.72,"N/A",,"N/A",,"N/A",,"N/A",,1736.00,1736.00,0,1736.00,1736.00,0,0,0,0,0,0,0,"Changed "" R:R    1:"": 3.4 => 6.5.",10.00,1.00,0.50,10.00,"Best",1000.00,10000.00,true,true,true,"Top Right","Small","Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,7.00,3.00,6.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
251.98,2.52,598.40,5.98,-346.42,-3.46,1710.95,17.11,784.63,7.85,926.32,9.26,1458.98,14.59,186.23,1.86,1272.74,12.73,1234.08,10.99,922.05,8.31,129.44,1.29,0.09,0.21,1.17,4.21,0.73,0,0,0,333.51,3.25,353.03,60.49,292.54,23.00,4.00,19.00,1.00,0,1.00,4.00,2.00,2.00,19.00,2.00,17.00,17.39,50.00,10.53,10.96,0.11,149.60,1.49,-18.23,-0.18,427.74,4.27,392.32,3.92,463.16,4.63,76.79,0.76,93.12,0.93,74.87,0.74,5.57,4.21,6.19,722.11,7.22,521.43,5.21,722.11,7.22,121.93,1.22,110.01,1.10,121.93,1.22,320.00,473.00,288.00,407.00,152.00,662.00,302.00,794.00,244.00,0,0,0,"Changed "" Multiplier"": 7 => 4.",10.00,1.00,0.50,10.00,"Best",1000.00,10000.00,true,true,true,"Top Right","Small","Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,6.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-245.21,-2.45,86.78,0.87,-331.98,-3.32,1320.82,13.21,408.69,4.09,912.13,9.12,1566.03,15.66,321.92,3.22,1244.11,12.44,772.08,7.21,1137.49,10.80,129.44,1.29,-0.04,-0.07,0.84,1.27,0.73,0,0,0,55.11,0.56,322.70,82.63,240.07,21.00,5.00,16.00,1.00,1.00,0,5.00,2.00,3.00,16.00,3.00,13.00,23.81,40.00,18.75,-11.68,-0.11,17.36,0.19,-20.75,-0.21,264.16,2.64,204.35,2.04,304.04,3.04,97.88,0.97,107.31,1.05,95.70,0.96,2.70,1.90,3.18,381.90,3.82,273.87,2.74,381.90,3.82,126.54,1.26,126.54,1.26,121.93,1.22,426.00,651.00,355.00,437.00,53.00,693.00,422.00,1051.00,277.00,0,0,0,"Changed "" R:R    1:"": 6.5 => 3.5.",10.00,1.00,0.50,10.00,"Best",1000.00,10000.00,true,true,true,"Top Right","Small","Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,3.50,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
493.56,4.94,299.19,2.99,194.37,1.94,2186.46,21.86,1164.46,11.64,1022.00,10.22,1692.90,16.93,865.27,8.65,827.63,8.28,1024.00,9.30,337.91,3.20,129.44,1.29,0.11,0.22,1.29,1.35,1.24,0,0,0,55.11,0.53,517.61,277.93,239.67,34.00,18.00,16.00,1.00,1.00,0,8.00,4.00,4.00,26.00,14.00,12.00,23.53,22.22,25.00,14.52,0.15,16.62,0.17,12.15,0.12,273.31,2.73,291.11,2.91,255.50,2.55,65.11,0.65,61.81,0.61,68.97,0.69,4.20,4.71,3.71,520.81,5.20,374.97,3.75,520.81,5.20,98.65,0.99,98.65,0.99,95.18,0.95,256.00,287.00,220.00,370.00,463.00,277.00,220.00,237.00,201.00,0,0,0,"Changed all parameters randomly.",10.00,1.00,0.50,10.00,"Best",1000.00,10000.00,true,true,true,"Top Right","Small","Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,6.30,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-2379.67,-23.80,-1529.91,-15.30,-849.75,-8.50,2254.96,22.55,935.95,9.36,1319.02,13.19,4634.63,46.35,2465.86,24.66,2168.77,21.69,453.33,4.47,2530.63,24.97,129.91,1.30,-0.59,-0.54,0.49,0.38,0.61,0,0,0,30.03,0.39,2287.04,1177.23,1109.80,152.00,78.00,74.00,1.00,1.00,0,38.00,16.00,22.00,114.00,62.00,52.00,25.00,20.51,29.73,-15.66,-0.16,-19.61,-0.20,-11.48,-0.11,59.34,0.59,58.50,0.58,59.96,0.60,40.65,0.41,39.77,0.40,41.71,0.42,1.46,1.47,1.44,166.46,1.66,163.46,1.63,166.46,1.66,68.46,0.68,62.51,0.62,68.46,0.68,47.00,52.00,42.00,69.00,82.00,59.00,40.00,45.00,35.00,0,0,0,"Changed all parameters randomly.",10.00,1.00,0.50,10.00,"Best",1000.00,10000.00,true,true,true,"Top Right","Small","Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.00,3.00,3.20,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
493.56,4.94,299.19,2.99,194.37,1.94,2186.46,21.86,1164.46,11.64,1022.00,10.22,1692.90,16.93,865.27,8.65,827.63,8.28,1024.00,9.30,337.91,3.20,129.91,1.30,0.11,0.22,1.29,1.35,1.24,0,0,0,55.57,0.53,517.61,277.93,239.67,34.00,18.00,16.00,1.00,1.00,0,8.00,4.00,4.00,26.00,14.00,12.00,23.53,22.22,25.00,14.52,0.15,16.62,0.17,12.15,0.12,273.31,2.73,291.11,2.91,255.50,2.55,65.11,0.65,61.81,0.61,68.97,0.69,4.20,4.71,3.71,520.81,5.20,374.97,3.75,520.81,5.20,98.65,0.99,98.65,0.99,95.18,0.95,256.00,287.00,220.00,370.00,463.00,277.00,220.00,237.00,201.00,0,0,0,"Changed all parameters randomly.",10.00,1.00,0.50,10.00,"Best",1000.00,10000.00,true,true,true,"Top Right","Small","Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,6.30,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-2226.02,-22.26,-1424.20,-14.24,-801.82,-8.02,1912.34,19.12,710.47,7.10,1201.87,12.02,4138.36,41.38,2134.67,21.35,2003.69,20.04,510.95,5.00,2450.16,23.96,129.91,1.30,-0.54,-0.51,0.46,0.33,0.60,0,0,0,0,0,1874.54,944.64,929.90,125.00,63.00,62.00,0,0,0,27.00,11.00,16.00,98.00,52.00,46.00,21.60,17.46,25.81,-17.81,-0.18,-22.61,-0.23,-12.93,-0.13,70.83,0.71,64.59,0.65,75.12,0.75,42.23,0.42,41.05,0.41,43.56,0.44,1.68,1.57,1.72,189.15,1.89,100.55,1.00,189.15,1.89,70.77,0.71,70.77,0.71,68.46,0.68,62.00,74.00,49.00,57.00,50.00,62.00,63.00,80.00,45.00,0,0,0,"Changed all parameters randomly.",10.00,1.00,0.50,10.00,"Best",1000.00,10000.00,true,true,true,"Top Right","Small","Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.00,3.00,3.60,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
