"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade: Long","Avg Losing Trade: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade: Long","Largest Losing Trade: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","__Strategy Direction","__Length","__OverSold","__OverBought","__HTF","__SuperTrend Multiplier","__SuperTrend Period","__Take profit1","__Timezones: Src","__-> Dst","__Srart From ","__End To       ","__Select Session Days","__Mon","__Tue","__Wed","__Thu","__Fri","__Sat","__Sun","__Session Start","__:","__Session End ","__1. ADX","__2. MACD","__3. Bar direction=Trade direction","__4. Rising Volume","__5. Rising/Falling MA","__Bars","__6. High/Low Filter","__Lookback","__7. Maximum close change (％) allowed on entry","__8. Minimum close change (％) allowed on entry","__9. RSI OS/OB","__10. MA","__11. EMA Difference","__Take Profit Type","__Stop Loss Type","__ Profit ％    ","__ Stop ％  ","__ Profit ＄    ","__ Stop ＄  ","__ ATR Period  ","__ Multiplier","__ Trailing ％  ","__ R:R    1:","__Fixed RR","__ HH / LL   ","__  LO / HI ","__Add ％","__ MA Stop","__ Len","__ Step","__ 𝐄𝐱𝐭𝐞𝐫𝐧𝐚𝐥 𝐒𝐨𝐮𝐫𝐜𝐞  ","__ Long Deals    ","__ Short Deals","__ Wait End Deal ","__ Reverse Deals","__ ReEntry Deal  ","__ ReOpen Deal","__Loss Streak   ","__Win Streak   ","__Row Loss InDay","__DrawDown ％","__InDay Loss ％ ","__Daily Trades  ","__Weekly Trades","__     Order Size","__Use Net Profit","__​🇪​​🇶​​🇺​​🇮​​🇹​​🇾​","__​🇸​​🇮​​🇿​​🇪","__​🇨​​🇴​​🇳​​🇹​​🇷​​🇦​​🇨​​🇹​​🇸​","__Take Profit LV 1","__﻿","__Take Profit LV 2","__Take Profit LV 3","__Take Profit LV 4","__Take Profit LV 5","__Stop Loss","__𝐓𝐈𝐏 𝐅𝐨𝐫 𝐓𝐏","__ SL 0 Position","__Breakeven on TP","__ CoolDown # Bars","__Dashboard Size","__Performance Summary","__Monthly Performance","comment"
1399.73,14.00,693.34,6.93,706.40,7.06,1400.58,14.01,693.34,6.93,707.25,7.07,0.85,0.01,0,0,0.85,0.01,1504.87,13.08,1761.18,15.45,3610.41,36.10,-0.02,-0.03,1646.79,"N/A",831.57,169.00,169.00,143.00,-1307.02,-11.47,7.09,3.68,3.40,4.00,2.00,2.00,1.00,0,1.00,4.00,2.00,2.00,0,0,0,100.00,100.00,100.00,349.93,33.67,346.67,32.87,353.20,34.48,350.15,33.67,346.67,32.87,353.62,34.48,"N/A","N/A","N/A","N/A","N/A","N/A",374.84,37.81,359.78,33.45,374.84,37.81,"N/A","N/A","N/A",1204.00,950.00,1458.00,1204.00,950.00,1458.00,0,0,0,0,0,0,"all",50.00,35.00,70.00,"1 hour",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"FIXED ＄","None",4.50,1.50,333.00,100.00,40.00,4.00,3.00,2.40,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,"Best value parameters."
331.66,3.32,0,0,331.66,3.32,332.43,3.32,0,0,332.43,3.32,0.77,0.01,0,0,0.77,0.01,465.29,4.45,2030.21,19.65,6566.90,65.67,-0.23,-0.23,431.67,"N/A",431.67,151.00,0,151.00,-1550.77,-15.01,2.02,0,2.02,1.00,0,1.00,1.00,0,1.00,1.00,0,1.00,0,0,0,100.00,"N/A",100.00,331.66,33.25,"N/A",,331.66,33.25,332.43,33.25,"N/A",,332.43,33.25,"N/A","N/A","N/A","N/A","N/A","N/A",332.43,33.25,"N/A",,332.43,33.25,"N/A","N/A","N/A",196.00,0,196.00,196.00,0,196.00,0,0,0,0,0,0,"all",50.00,35.00,70.00,"5 minutes",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"FIXED ＄","None",4.50,1.50,333.00,100.00,40.00,4.00,3.00,2.40,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,"Changed ""HTF"": 1 hour => 5 minutes."
-0.75,-0.01,0,0,-0.75,-0.01,0,0,0,0,0,0,0.75,0.01,0,0,0.75,0.01,163.56,1.61,1856.31,18.56,14105.88,141.06,"N/A","N/A",0,"N/A",0,141.00,0,141.00,-1408.59,-14.09,0.75,0,0.75,0,0,0,1.00,0,1.00,0,0,0,0,0,0,"N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,"all",50.00,35.00,70.00,"3 months",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"FIXED ＄","None",4.50,1.50,333.00,100.00,40.00,4.00,3.00,2.40,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,"Changed ""HTF"": 1 hour => 3 months."
1378.27,13.78,676.75,6.77,701.51,7.02,1379.11,13.79,676.75,6.77,702.36,7.02,0.85,0.01,0,0,0.85,0.01,1521.49,13.21,1644.85,14.45,3743.25,37.43,-0.01,-0.01,1628.89,"N/A",829.57,170.00,170.00,137.00,-1209.71,-10.63,7.11,3.71,3.41,4.00,2.00,2.00,1.00,0,1.00,4.00,2.00,2.00,0,0,0,100.00,100.00,100.00,344.57,32.97,338.38,31.73,350.76,34.20,344.78,32.97,338.38,31.73,351.18,34.20,"N/A","N/A","N/A","N/A","N/A","N/A",369.99,37.21,343.19,32.29,369.99,37.21,"N/A","N/A","N/A",1190.00,950.00,1429.00,1190.00,950.00,1429.00,0,0,0,0,0,0,"all",50.00,35.00,70.00,"45 minutes",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"FIXED ＄","None",4.50,1.50,333.00,100.00,40.00,4.00,3.00,2.40,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,"Changed ""HTF"": 1 hour => 45 minutes."
1337.88,13.38,663.71,6.64,674.17,6.74,1338.73,13.39,663.71,6.64,675.02,6.75,0.85,0.01,0,0,0.85,0.01,1481.10,12.90,1644.85,14.51,4315.70,43.16,-0.02,-0.02,1581.19,"N/A",797.27,175.00,175.00,137.00,-1209.71,-10.67,7.15,3.74,3.41,4.00,2.00,2.00,1.00,0,1.00,4.00,2.00,2.00,0,0,0,100.00,100.00,100.00,334.47,31.86,331.86,30.73,337.08,32.99,334.68,31.86,331.86,30.73,337.51,32.99,"N/A","N/A","N/A","N/A","N/A","N/A",342.39,34.58,332.35,31.24,342.39,34.58,"N/A","N/A","N/A",1136.00,662.00,1610.00,1136.00,662.00,1610.00,0,0,0,0,0,0,"all",50.00,35.00,70.00,"30 minutes",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"FIXED ＄","None",4.50,1.50,333.00,100.00,40.00,4.00,3.00,2.40,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,"Changed ""HTF"": 1 hour => 30 minutes."
331.66,3.32,0,0,331.66,3.32,332.43,3.32,0,0,332.43,3.32,0.77,0.01,0,0,0.77,0.01,465.29,4.45,2030.21,19.65,6566.90,65.67,-0.23,-0.23,431.67,"N/A",431.67,151.00,0,151.00,-1550.77,-15.01,2.02,0,2.02,1.00,0,1.00,1.00,0,1.00,1.00,0,1.00,0,0,0,100.00,"N/A",100.00,331.66,33.25,"N/A",,331.66,33.25,332.43,33.25,"N/A",,332.43,33.25,"N/A","N/A","N/A","N/A","N/A","N/A",332.43,33.25,"N/A",,332.43,33.25,"N/A","N/A","N/A",196.00,0,196.00,196.00,0,196.00,0,0,0,0,0,0,"all",50.00,35.00,70.00,"15 minutes",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"FIXED ＄","None",4.50,1.50,333.00,100.00,40.00,4.00,3.00,2.40,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,"Changed ""HTF"": 1 hour => 15 minutes."
1378.27,13.78,676.75,6.77,701.51,7.02,1379.11,13.79,676.75,6.77,702.36,7.02,0.85,0.01,0,0,0.85,0.01,1521.49,13.21,1644.85,14.45,3743.25,37.43,-0.01,-0.01,1628.89,"N/A",829.57,170.00,170.00,137.00,-1209.71,-10.63,7.11,3.71,3.41,4.00,2.00,2.00,1.00,0,1.00,4.00,2.00,2.00,0,0,0,100.00,100.00,100.00,344.57,32.97,338.38,31.73,350.76,34.20,344.78,32.97,338.38,31.73,351.18,34.20,"N/A","N/A","N/A","N/A","N/A","N/A",369.99,37.21,343.19,32.29,369.99,37.21,"N/A","N/A","N/A",1190.00,950.00,1429.00,1190.00,950.00,1429.00,0,0,0,0,0,0,"all",50.00,35.00,70.00,"45 minutes",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"FIXED ＄","None",4.50,1.50,333.00,100.00,40.00,4.00,3.00,2.40,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,"Changed ""HTF"": 1 hour => 45 minutes."
-0.75,-0.01,0,0,-0.75,-0.01,0,0,0,0,0,0,0.75,0.01,0,0,0.75,0.01,256.25,2.50,1534.50,15.34,11411.40,114.11,"N/A","N/A",0,"N/A",0,125.00,0,125.00,-1137.50,-11.38,0.75,0,0.75,0,0,0,1.00,0,1.00,0,0,0,0,0,0,"N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,"all",50.00,35.00,70.00,"1 week",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"FIXED ＄","None",4.50,1.50,333.00,100.00,40.00,4.00,3.00,2.40,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,"Changed ""HTF"": 1 hour => 1 week."
663.28,6.63,332.31,3.32,330.96,3.31,664.07,6.64,332.31,3.32,331.76,3.32,0.80,0.01,0,0,0.80,0.01,695.18,6.50,477.32,4.48,9089.34,90.89,0.08,0.17,833.96,"N/A",416.63,129.00,129.00,111.00,-235.60,-2.21,3.83,1.80,2.04,2.00,1.00,1.00,1.00,0,1.00,2.00,1.00,1.00,0,0,0,100.00,100.00,100.00,331.64,32.81,332.31,32.22,330.96,33.41,332.04,32.81,332.31,32.22,331.76,33.41,"N/A","N/A","N/A","N/A","N/A","N/A",332.31,33.41,332.31,32.22,331.76,33.41,"N/A","N/A","N/A",2446.00,1923.00,2968.00,2446.00,1923.00,2968.00,0,0,0,0,0,0,"all",50.00,35.00,70.00,"1 month",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"FIXED ＄","None",4.50,1.50,333.00,100.00,40.00,4.00,3.00,2.40,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,"Changed ""HTF"": 1 hour => 1 month."
1372.30,13.72,665.91,6.66,706.39,7.06,1373.16,13.73,665.91,6.66,707.25,7.07,0.85,0.01,0,0,0.85,0.01,1510.66,13.12,1675.80,14.73,3610.41,36.10,-0.02,-0.02,1608.28,"N/A",828.35,175.00,175.00,139.00,-1234.32,-10.85,7.11,3.70,3.41,4.00,2.00,2.00,1.00,0,1.00,4.00,2.00,2.00,0,0,0,100.00,100.00,100.00,343.08,32.87,332.96,31.25,353.20,34.48,343.29,32.87,332.96,31.25,353.62,34.48,"N/A","N/A","N/A","N/A","N/A","N/A",374.84,37.81,333.56,32.29,374.84,37.81,"N/A","N/A","N/A",1176.00,895.00,1458.00,1176.00,895.00,1458.00,0,0,0,0,0,0,"all",50.00,35.00,70.00,"2 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"FIXED ＄","None",4.50,1.50,333.00,100.00,40.00,4.00,3.00,2.40,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true,"Changed ""HTF"": 1 hour => 2 hours."
