"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Strategy Direction","__Length","__OverSold","__OverBought","__HTF","__SuperTrend Multiplier","__SuperTrend Period","__Timezones: Src","__-> Dst","__Srart From ","__End To       ","__Select Session Days","__Mon","__Tue","__Wed","__Thu","__Fri","__Sat","__Sun","__Session Start","__:","__Session End ","__ATR Period","__Source Upper","__Source Lower","__ATR Multiplier Upper","__ATR Multiplier Lower","__Risk-to-Reward Ratio","__Dashboard Size","__Performance Summary","__Monthly Performance"
6749.79,67.50,5257.98,52.58,1491.81,14.92,11893.26,118.93,7027.46,70.27,4865.80,48.66,5143.47,51.43,1769.49,17.69,3373.99,33.74,7306.30,43.62,689.17,6.50,2655.56,26.56,0.78,2.34,2.31,3.97,1.44,884.00,871.00,884.00,0,0,616.53,311.69,304.84,70.00,35.00,35.00,0,0,0,34.00,20.00,14.00,36.00,15.00,21.00,48.57,57.14,40.00,96.43,1.53,150.23,2.46,42.62,0.61,349.80,5.82,351.37,5.86,347.56,5.76,142.87,2.52,117.97,2.09,160.67,2.82,2.45,2.98,2.16,1179.42,19.25,1179.42,19.25,579.33,8.50,321.37,6.07,227.91,3.38,321.37,6.07,34.00,28.00,41.00,40.00,31.00,54.00,28.00,23.00,32.00,0,0,0,"Current parameters.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",3.00,3.00,2.00,"Small",true,true
-84.33,-0.84,-217.08,-2.17,132.75,1.33,1606.96,16.07,690.64,6.91,916.32,9.16,1691.28,16.91,907.72,9.08,783.56,7.84,292.36,2.90,314.05,3.11,2631.92,26.32,-0.25,-0.29,0.95,0.76,1.17,795.00,788.00,795.00,0,0,520.27,260.39,259.88,70.00,35.00,35.00,0,0,0,41.00,18.00,23.00,29.00,17.00,12.00,58.57,51.43,65.71,-1.20,-0.02,-6.20,-0.12,3.79,0.08,39.19,0.79,38.37,0.77,39.84,0.80,58.32,1.17,53.40,1.07,65.30,1.31,0.67,0.72,0.61,65.48,1.31,58.73,1.19,65.48,1.31,104.26,2.09,83.70,1.68,104.26,2.09,3.00,3.00,3.00,3.00,4.00,3.00,4.00,3.00,5.00,0,0,0,"Changed all parameters randomly.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",1.00,1.00,1.00,"Small",true,true
483.78,4.84,412.96,4.13,70.83,0.71,2889.74,28.90,1481.54,14.82,1408.20,14.08,2405.96,24.06,1068.58,10.69,1337.37,13.37,845.50,7.86,312.49,3.03,2624.04,26.24,0.07,0.11,1.20,1.39,1.05,819.00,808.00,819.00,0,0,537.15,269.19,267.95,70.00,35.00,35.00,0,0,0,30.00,16.00,14.00,40.00,19.00,21.00,42.86,45.71,40.00,6.91,0.14,11.80,0.24,2.02,0.04,96.32,1.89,92.60,1.83,100.59,1.97,60.15,1.17,56.24,1.09,63.68,1.25,1.60,1.65,1.58,254.19,5.09,254.19,5.09,153.82,3.07,106.52,2.09,85.70,1.68,106.52,2.09,7.00,6.00,8.00,9.00,8.00,11.00,5.00,3.00,7.00,0,0,0,"Changed ""Risk-to-Reward Ratio"": 1 => 2.1.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",1.00,1.00,2.10,"Small",true,true
5670.45,56.70,4492.53,44.93,1177.92,11.78,9571.05,95.71,5799.28,57.99,3771.77,37.72,3900.60,39.01,1306.75,13.07,2593.85,25.94,6187.49,39.26,618.81,6.10,2631.92,26.32,0.81,2.39,2.45,4.44,1.45,897.00,884.00,897.00,0,0,618.99,312.70,306.29,70.00,35.00,35.00,0,0,0,46.00,26.00,20.00,24.00,9.00,15.00,65.71,74.29,57.14,81.01,1.32,128.36,2.14,33.65,0.50,208.07,3.49,223.05,3.74,188.59,3.17,162.52,2.84,145.19,2.46,172.92,3.06,1.28,1.54,1.09,1189.84,19.25,1189.84,19.25,315.35,4.65,321.97,6.07,224.28,3.31,321.97,6.07,18.00,17.00,20.00,19.00,16.00,22.00,17.00,17.00,17.00,0,0,0,"Changed ""Risk-to-Reward Ratio"": 2 => 1.1.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",3.00,3.00,1.10,"Small",true,true
1563.20,15.63,1114.91,11.15,448.29,4.48,3752.87,37.53,2272.99,22.73,1479.89,14.80,2189.67,21.90,1158.07,11.58,1031.60,10.32,2074.05,17.75,430.10,4.24,2639.80,26.40,0.41,0.92,1.71,1.96,1.44,820.00,808.00,820.00,0,0,546.49,274.33,272.16,70.00,35.00,35.00,0,0,0,44.00,15.00,29.00,26.00,20.00,6.00,62.86,42.86,82.86,22.33,0.43,31.85,0.64,12.81,0.21,85.29,1.65,151.53,2.96,51.03,0.97,84.22,1.64,57.90,1.10,171.93,3.45,1.01,2.62,0.30,244.17,5.09,244.17,5.09,119.94,2.20,305.90,6.07,88.12,1.68,305.90,6.07,8.00,8.00,7.00,9.00,12.00,7.00,6.00,4.00,10.00,0,0,0,"Changed ""ATR Multiplier Lower"": 3 => 1.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",3.00,1.00,1.10,"Small",true,true
11768.26,117.68,7126.12,71.26,4642.15,46.42,16934.09,169.34,9640.00,96.40,7294.08,72.94,5165.82,51.66,2513.89,25.14,2651.94,26.52,11772.00,54.08,936.94,5.22,2655.56,26.56,0.84,4.82,3.28,3.84,2.75,1141.00,1139.00,1141.00,0,0,797.62,406.81,390.80,70.00,35.00,35.00,0,0,0,39.00,15.00,24.00,31.00,20.00,11.00,55.71,42.86,68.57,168.12,2.30,203.60,2.58,132.63,2.01,434.21,5.85,642.67,8.26,303.92,4.34,166.64,2.17,125.69,1.68,241.09,3.06,2.61,5.11,1.26,1650.90,19.25,1650.90,19.25,971.94,18.98,577.33,7.91,281.69,2.80,577.33,7.91,34.00,37.00,31.00,37.00,50.00,28.00,31.00,27.00,38.00,0,0,0,"Changed all parameters randomly.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",5.00,2.00,1.80,"Small",true,true
6450.08,64.50,5627.68,56.28,822.40,8.22,12464.50,124.65,7691.02,76.91,4773.48,47.73,6014.42,60.14,2063.34,20.63,3951.08,39.51,7514.73,43.88,1023.05,9.22,2655.56,26.56,0.64,2.12,2.07,3.73,1.21,975.00,973.00,975.00,517.32,3.14,648.80,326.03,322.77,68.00,34.00,34.00,1.00,0,1.00,22.00,13.00,9.00,46.00,21.00,25.00,32.35,38.24,26.47,94.85,1.56,165.52,2.48,24.19,0.64,566.57,9.27,591.62,9.17,530.39,9.42,130.75,2.13,98.25,1.66,158.04,2.53,4.33,6.02,3.36,1311.79,19.25,1311.79,19.25,820.21,16.15,378.16,6.07,378.16,5.49,331.49,6.07,55.00,39.00,70.00,87.00,42.00,153.00,39.00,37.00,41.00,0,0,0,"Changed all parameters randomly.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",3.00,5.00,3.00,"Small",true,true
2831.55,28.32,2048.24,20.48,783.31,7.83,6824.86,68.25,3665.68,36.66,3159.18,31.59,3993.31,39.93,1617.43,16.17,2375.87,23.76,3520.84,27.09,599.03,5.77,2663.44,26.63,0.57,1.88,1.71,2.27,1.33,882.00,882.00,880.00,0,0,585.32,294.69,290.63,70.00,35.00,35.00,0,0,0,29.00,9.00,20.00,41.00,26.00,15.00,41.43,25.71,57.14,40.45,0.75,58.52,1.13,22.38,0.36,235.34,4.30,407.30,7.59,157.96,2.82,97.40,1.77,62.21,1.10,158.39,2.93,2.42,6.55,1.00,602.19,11.35,602.19,11.35,257.37,4.21,320.18,6.07,94.40,1.68,320.18,6.07,21.00,24.00,18.00,32.00,57.00,20.00,13.00,12.00,14.00,0,0,0,"Changed ""ATR Multiplier Lower"": 5 => 1.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",3.00,1.00,3.00,"Small",true,true
9340.27,93.40,6505.40,65.05,2834.88,28.35,16131.98,161.32,9018.75,90.19,7113.23,71.13,6791.71,67.92,2513.36,25.13,4278.35,42.78,11416.70,54.41,1157.39,5.82,2655.56,26.56,0.97,4.20,2.38,3.59,1.66,1138.00,1135.00,1138.00,608.04,3.14,749.85,383.88,365.96,69.00,35.00,34.00,1.00,0,1.00,27.00,14.00,13.00,42.00,21.00,21.00,39.13,40.00,38.24,135.37,2.02,185.87,2.55,83.38,1.48,597.48,8.74,644.20,9.00,547.17,8.46,161.71,2.30,119.68,1.75,203.73,2.84,3.70,5.38,2.69,1476.88,19.25,1476.88,19.25,1258.20,18.98,470.93,7.12,444.28,5.49,470.93,7.12,53.00,35.00,71.00,63.00,32.00,96.00,46.00,38.00,55.00,0,0,0,"Changed all parameters randomly.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",4.00,5.00,2.40,"Small",true,true
9052.07,90.52,5237.60,52.38,3814.47,38.14,15844.70,158.45,8482.66,84.83,7362.04,73.62,6792.63,67.93,3245.05,32.45,3547.58,35.48,9533.47,48.82,1791.69,9.36,2647.68,26.48,0.67,5.02,2.33,2.61,2.08,1034.00,1032.00,1034.00,0,0,744.49,378.23,366.26,70.00,35.00,35.00,0,0,0,29.00,11.00,18.00,41.00,24.00,17.00,41.43,31.43,51.43,129.32,1.94,149.65,2.16,108.98,1.73,546.37,7.92,771.15,10.95,409.00,6.07,165.67,2.29,135.21,1.88,208.68,2.88,3.30,5.70,1.96,1435.24,19.25,1435.24,19.25,990.21,18.98,488.93,7.91,360.90,3.86,488.93,7.91,53.00,62.00,45.00,73.00,112.00,49.00,40.00,39.00,41.00,0,0,0,"Changed ""Risk-to-Reward Ratio"": 1.8 => 2.7.","all",16.00,39.00,60.00,"4 hours",4.01,10.00,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,true,30.00,true,14.00,"close","close",5.00,2.00,2.70,"Small",true,true
