"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Loopback Period","__Min Consolidation Length","__Paint Consolidation Area","__ATR Period","__Source","__ATR Multiplier","__Change ATR Calculation Method ?","__Show Buy/Sell Signals ?","__Highlighter On/Off ?","__Timezones: Src","__-> Dst","__Srart From ","__End To       ","__Select Session Days","__Mon","__Tue","__Wed","__Thu","__Fri","__Sat","__Sun","__Session Start","__:","__Session End ","__1. ADX","__2. MACD","__3. Bar direction=Trade direction","__4. Rising Volume","__5. Rising/Falling MA","__Length","__Bars","__6. High/Low Filter","__Lookback","__7. Maximum close change (％) allowed on entry","__8. Minimum close change (％) allowed on entry","__9. RSI OS/OB","__10. MA","__11. EMA Difference","__Take Profit Type","__Stop Loss Type","__ Profit ％    ","__ Stop ％  ","__ Profit ＄    ","__ Stop ＄  ","__ ATR Period  ","__ Multiplier","__ Trailing ％  ","__ R:R    1:","__Fixed RR","__ HH / LL   ","__  LO / HI ","__Add ％","__ MA Stop","__ Len","__ Step","__ 𝐄𝐱𝐭𝐞𝐫𝐧𝐚𝐥 𝐒𝐨𝐮𝐫𝐜𝐞  ","__ Long Deals    ","__ Short Deals","__ Wait End Deal ","__ Reverse Deals","__ ReEntry Deal  ","__ ReOpen Deal","__Loss Streak   ","__Win Streak   ","__Row Loss InDay","__DrawDown ％","__InDay Loss ％ ","__Daily Trades  ","__Weekly Trades","__     Order Size","__Use Net Profit","__​🇪​​🇶​​🇺​​🇮​​🇹​​🇾​","__​🇸​​🇮​​🇿​​🇪","__​🇨​​🇴​​🇳​​🇹​​🇷​​🇦​​🇨​​🇹​​🇸​","__Take Profit LV 1","__﻿","__Take Profit LV 2","__Take Profit LV 3","__Take Profit LV 4","__Take Profit LV 5","__Stop Loss","__𝐓𝐈𝐏 𝐅𝐨𝐫 𝐓𝐏","__ SL 0 Position","__Breakeven on TP","__ CoolDown # Bars","__Dashboard Size","__Performance Summary","__Monthly Performance"
2319.78,23.20,1233.30,12.33,1086.48,10.86,5922.50,59.22,3138.74,31.39,2783.75,27.84,3602.72,36.03,1905.45,19.05,1697.27,16.97,3359.98,26.10,1130.00,10.79,-391.97,-3.92,0.91,9.05,1.64,1.65,1.64,0,0,0,66.18,0.54,892.66,481.29,411.38,59.00,32.00,27.00,1.00,0,1.00,30.00,16.00,14.00,29.00,16.00,13.00,50.85,50.00,51.85,39.32,0.39,38.54,0.39,40.24,0.40,197.42,1.97,196.17,1.96,198.84,1.99,124.23,1.24,119.09,1.19,130.56,1.30,1.59,1.65,1.52,664.10,6.64,664.10,6.64,373.40,3.73,264.15,2.64,166.61,1.66,264.15,2.64,127.00,137.00,116.00,164.00,166.00,162.00,89.00,108.00,66.00,0,0,0,"Current parameters.",30.00,20.00,true,75.00,"hl2",3.00,true,true,true,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,1.85,true,200.00,4.00,0,"WMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-459.57,-4.60,-499.76,-5.00,40.19,0.40,1811.58,18.12,471.12,4.71,1340.46,13.40,2271.15,22.71,970.88,9.71,1300.27,13.00,1257.03,12.21,1213.31,11.91,-309.29,-3.09,-0.30,-0.35,0.80,0.49,1.03,0,0,0,-41.42,-0.43,187.08,82.19,104.89,12.00,5.00,7.00,1.00,1.00,0,3.00,1.00,2.00,9.00,4.00,5.00,25.00,20.00,28.57,-38.30,-0.38,-99.95,-0.98,5.74,0.06,603.86,6.03,471.12,4.71,670.23,6.70,252.35,2.51,242.72,2.41,260.05,2.60,2.39,1.94,2.58,950.61,9.50,471.12,4.71,950.61,9.50,451.01,4.51,276.75,2.77,451.01,4.51,566.00,201.00,826.00,1206.00,271.00,1673.00,353.00,184.00,488.00,0,0,0,"Changed all parameters randomly.",65.00,10.00,true,27.00,"hl2",2.00,true,true,true,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,7.00,3.00,3.35,true,200.00,4.00,0,"WMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
1408.85,14.09,513.43,5.13,895.43,8.95,3039.20,30.39,742.62,7.43,2296.58,22.97,1630.35,16.30,229.20,2.29,1401.15,14.01,3063.02,25.91,1583.23,15.54,-309.33,-3.09,0.39,0.88,1.86,3.24,1.64,0,0,0,379.00,3.32,157.14,30.41,126.73,10.00,2.00,8.00,1.00,0,1.00,4.00,1.00,3.00,6.00,1.00,5.00,40.00,50.00,37.50,140.89,1.42,256.71,2.57,111.93,1.13,759.80,7.59,742.62,7.42,765.53,7.65,271.72,2.70,229.20,2.29,280.23,2.79,2.80,3.24,2.73,1005.69,10.05,742.62,7.42,1005.69,10.05,461.09,4.61,229.20,2.29,461.09,4.61,796.00,402.00,894.00,1306.00,614.00,1536.00,455.00,189.00,509.00,0,0,0,"Changed ""ATR Multiplier"": 2 => 3.",65.00,10.00,true,27.00,"hl2",3.00,true,true,true,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,7.00,3.00,3.35,true,200.00,4.00,0,"WMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-144.39,-1.44,81.43,0.81,-225.83,-2.26,4910.46,49.10,2508.73,25.09,2401.74,24.02,5054.86,50.55,2427.30,24.27,2627.56,26.28,1484.87,14.12,1125.26,11.17,-309.33,-3.09,-0.03,-0.05,0.97,1.03,0.91,0,0,0,62.83,0.64,1057.72,525.45,532.27,70.00,35.00,35.00,1.00,0,1.00,28.00,13.00,15.00,42.00,22.00,20.00,40.00,37.14,42.86,-2.06,-0.02,2.33,0.02,-6.45,-0.06,175.37,1.75,192.98,1.93,160.12,1.60,120.35,1.20,110.33,1.10,131.38,1.31,1.46,1.75,1.22,664.10,6.64,664.10,6.64,289.73,2.90,264.15,2.64,184.51,1.84,264.15,2.64,95.00,94.00,95.00,132.00,163.00,106.00,70.00,53.00,88.00,0,0,0,"Changed ""Min Consolidation Length"": 20 => 10.",30.00,10.00,true,75.00,"hl2",3.00,true,true,true,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,1.85,true,200.00,4.00,0,"WMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-731.78,-7.32,-814.23,-8.14,82.44,0.82,2484.62,24.85,745.12,7.45,1739.50,17.40,3216.40,32.16,1559.34,15.59,1657.06,16.57,1568.86,15.66,1734.44,17.10,-309.33,-3.09,-0.38,-0.36,0.77,0.48,1.05,0,0,0,-41.45,-0.45,426.79,187.03,239.76,28.00,12.00,16.00,1.00,1.00,0,13.00,4.00,9.00,15.00,8.00,7.00,46.43,33.33,56.25,-26.14,-0.26,-67.85,-0.67,5.15,0.05,191.12,1.91,186.28,1.86,193.28,1.93,214.43,2.14,194.92,1.94,236.72,2.37,0.89,0.96,0.82,358.43,3.58,358.43,3.58,345.31,3.45,451.01,4.51,276.75,2.77,451.01,4.51,219.00,261.00,187.00,170.00,247.00,136.00,261.00,268.00,254.00,0,0,0,"Changed all parameters randomly.",80.00,17.50,true,51.00,"hl2",2.00,true,true,true,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,7.00,3.00,1.25,true,200.00,4.00,0,"WMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
961.95,9.62,193.08,1.93,768.87,7.69,3392.99,33.93,1018.77,10.19,2374.22,23.74,2431.05,24.31,825.69,8.26,1605.36,16.05,1898.61,16.12,1517.32,12.96,-357.03,-3.57,0.55,1.94,1.40,1.23,1.48,0,0,0,-62.90,-0.57,307.03,127.74,179.29,20.00,8.00,12.00,1.00,1.00,0,7.00,2.00,5.00,13.00,6.00,7.00,35.00,25.00,41.67,48.10,0.48,24.14,0.25,64.07,0.64,484.71,4.84,509.38,5.09,474.84,4.74,187.00,1.86,137.61,1.36,229.34,2.29,2.59,3.70,2.07,604.40,6.04,540.53,5.40,604.40,6.04,388.75,3.88,175.08,1.75,388.75,3.88,321.00,214.00,392.00,368.00,128.00,464.00,296.00,243.00,341.00,0,0,0,"Changed all parameters randomly.",50.00,5.00,true,27.00,"hl2",1.00,true,true,true,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,6.00,3.00,2.45,true,200.00,4.00,0,"WMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
1588.45,15.88,594.75,5.95,993.70,9.94,5648.37,56.48,2683.59,26.84,2964.78,29.65,4059.93,40.60,2088.84,20.89,1971.09,19.71,2736.73,22.01,946.52,9.03,-397.21,-3.97,0.60,1.69,1.39,1.29,1.50,0,0,0,62.56,0.54,937.20,465.79,471.40,62.00,31.00,31.00,1.00,0,1.00,28.00,13.00,15.00,34.00,18.00,16.00,45.16,41.94,48.39,25.62,0.26,19.19,0.19,32.05,0.32,201.73,2.02,206.43,2.06,197.65,1.98,119.41,1.19,116.05,1.16,123.19,1.23,1.69,1.78,1.60,664.10,6.64,664.10,6.64,373.40,3.73,264.15,2.64,166.61,1.66,264.15,2.64,120.00,130.00,110.00,164.00,180.00,151.00,84.00,95.00,72.00,0,0,0,"Changed ""ATR Period"": 75 => 110.",30.00,20.00,true,110.00,"hl2",3.00,true,true,true,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,1.85,true,200.00,4.00,0,"WMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-1288.66,-12.89,-1074.85,-10.75,-213.81,-2.14,1029.05,10.29,0,0,1029.05,10.29,2317.71,23.18,1074.85,10.75,1242.85,12.43,1390.75,14.70,2286.01,22.28,-376.19,-3.76,-0.76,-0.61,0.44,0,0.83,0,0,0,-41.15,-0.47,186.84,81.76,105.08,12.00,5.00,7.00,1.00,1.00,0,2.00,0,2.00,10.00,5.00,5.00,16.67,0,28.57,-107.39,-1.07,-214.97,-2.13,-30.54,-0.31,514.52,5.14,"N/A",,514.52,5.14,231.77,2.31,214.97,2.13,248.57,2.48,2.22,0,2.07,639.20,6.39,"N/A",,639.20,6.39,461.09,4.61,375.05,3.75,461.09,4.61,539.00,649.00,460.00,453.00,0,453.00,556.00,649.00,463.00,0,0,0,"Changed all parameters randomly.",75.00,15.00,true,91.00,"hl2",4.00,true,true,true,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,7.00,3.00,3.35,true,200.00,4.00,0,"WMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-883.14,-8.83,-1176.98,-11.77,293.84,2.94,1462.84,14.63,222.73,2.23,1240.11,12.40,2345.98,23.46,1399.71,14.00,946.27,9.46,1073.98,9.86,2177.16,20.18,-376.19,-3.76,-2.21,-0.91,0.62,0.16,1.31,0,0,0,-41.15,-0.45,231.41,126.71,104.70,15.00,8.00,7.00,1.00,1.00,0,4.00,1.00,3.00,11.00,7.00,4.00,26.67,12.50,42.86,-58.88,-0.58,-147.12,-1.46,41.98,0.42,365.71,3.65,222.73,2.23,413.37,4.13,213.27,2.12,199.96,1.99,236.57,2.36,1.72,1.11,1.75,590.40,5.90,222.73,2.23,590.40,5.90,461.09,4.61,375.05,3.75,461.09,4.61,401.00,427.00,370.00,424.00,111.00,528.00,392.00,472.00,252.00,0,0,0,"Changed "" R:R    1:"": 3.35 => 2.15.",75.00,15.00,true,91.00,"hl2",4.00,true,true,true,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,7.00,3.00,2.15,true,200.00,4.00,0,"WMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
1544.83,15.45,874.29,8.74,670.53,6.71,4689.61,46.90,1996.51,19.97,2693.09,26.93,3144.78,31.45,1122.22,11.22,2022.56,20.23,2376.17,19.34,639.31,5.80,-387.47,-3.87,0.64,1.60,1.49,1.78,1.33,0,0,0,0,0,795.07,345.91,449.16,53.00,23.00,30.00,0,0,0,27.00,12.00,15.00,26.00,11.00,15.00,50.94,52.17,50.00,29.15,0.29,38.01,0.38,22.35,0.22,173.69,1.74,166.38,1.66,179.54,1.79,120.95,1.21,102.02,1.02,134.84,1.35,1.44,1.63,1.33,365.65,3.65,365.65,3.65,307.12,3.07,269.91,2.70,144.45,1.44,269.91,2.70,90.00,95.00,86.00,99.00,108.00,92.00,81.00,81.00,81.00,0,0,0,"Changed ""ATR Period"": 75 => 27.",30.00,20.00,true,27.00,"hl2",3.00,true,true,true,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,1.85,true,200.00,4.00,0,"WMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
