"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Length","__Type ➞","__RR Ratio","__SL Type","__Show SL","__Line Style","__Timezones: Src","__-> Dst","__Srart From ","__End To       ","__Select Session Days","__Mon","__Tue","__Wed","__Thu","__Fri","__Sat","__Sun","__Session Start","__:","__Session End ","__1. ADX","__2. MACD","__3. Bar direction=Trade direction","__4. Rising Volume","__5. Rising/Falling MA","__Bars","__6. High/Low Filter","__Lookback","__7. Maximum close change (％) allowed on entry","__8. Minimum close change (％) allowed on entry","__9. RSI OS/OB","__10. MA","__11. EMA Difference","__13. M.Bias:","__L","__S","__P","__Take Profit Type","__Stop Loss Type","__ Profit ％    ","__ Stop ％  ","__ Profit ＄    ","__ Stop ＄  ","__ ATR Period  ","__ Multiplier","__ Trailing ％  ","__ R:R    1:","__Fixed RR","__ HH / LL   ","__  LO / HI ","__Add ％","__ MA Stop","__ Len","__ Step","__ 𝐄𝐱𝐭𝐞𝐫𝐧𝐚𝐥 𝐒𝐨𝐮𝐫𝐜𝐞  ","__ Long Deals    ","__ Short Deals","__ Wait End Deal ","__ Reverse Deals","__ ReEntry Deal  ","__ ReOpen Deal","__Loss Streak   ","__Win Streak   ","__Row Loss InDay","__DrawDown ％","__InDay Loss ％ ","__Daily Trades  ","__Weekly Trades","__     Order Size","__Use Net Profit","__​🇪​​🇶​​🇺​​🇮​​🇹​​🇾​","__​🇸​​🇮​​🇿​​🇪","__​🇨​​🇴​​🇳​​🇹​​🇷​​🇦​​🇨​​🇹​​🇸​","__Take Profit LV 1","__﻿","__Take Profit LV 2","__Take Profit LV 3","__Take Profit LV 4","__Take Profit LV 5","__Stop Loss","__𝐓𝐈𝐏 𝐅𝐨𝐫 𝐓𝐏","__ SL 0 Position","__Breakeven on TP","__ CoolDown # Bars","__Dashboard Size","__Performance Summary","__Monthly Performance"
1829.30,73.17,1810.89,72.44,18.42,0.74,3576.63,143.07,2847.43,113.90,729.20,29.17,1747.33,69.89,1036.55,41.46,710.78,28.43,1831.18,42.30,482.91,13.59,9247.76,369.91,1.77,"N/A",2.05,2.75,1.03,118.00,116.00,118.00,0,0,206.20,137.23,68.98,42.00,28.00,14.00,0,0,0,19.00,15.00,4.00,23.00,13.00,10.00,45.24,53.57,28.57,43.55,1.41,64.67,2.06,1.32,0.13,188.24,5.85,189.83,5.91,182.30,5.60,75.97,2.25,79.73,2.40,71.08,2.06,2.48,2.38,2.57,312.45,10.64,312.45,10.64,242.81,6.97,176.73,5.87,174.26,5.87,176.73,5.04,51.00,37.00,79.00,76.00,48.00,179.00,30.00,24.00,38.00,0,0,0,"Current parameters.",120.00,"Body",1.96,"Close",true,"Dashed","Exchange","Exchange",0,0,0,true,true,true,true,true,true,0,0,30.00,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,0,200.00,100.00,7.00,"Target","SL",4.50,1.30,333.00,100.00,40.00,4.10,3.00,2.40,0,200.00,1.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,100.00,5000.00,1.00,0,60.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
684.75,27.39,932.98,37.32,-248.23,-9.93,2079.36,83.17,1799.33,71.97,280.03,11.20,1394.61,55.78,866.36,34.65,528.25,21.13,995.61,29.66,692.35,23.46,9130.06,365.20,0.51,0.90,1.49,2.08,0.53,111.00,111.00,51.00,0,0,138.90,97.69,41.21,34.00,24.00,10.00,0,0,0,14.00,12.00,2.00,20.00,12.00,8.00,41.18,50.00,20.00,20.14,0.81,38.87,1.50,-24.82,-0.87,148.53,5.52,149.94,5.58,140.01,5.16,69.73,2.49,72.20,2.57,66.03,2.37,2.13,2.08,2.12,206.70,8.05,206.70,8.05,172.77,6.30,185.95,6.30,185.95,6.30,137.55,5.04,59.00,53.00,75.00,86.00,69.00,194.00,40.00,37.00,45.00,0,0,0,"Changed ""RR Ratio"": 1.96 => 1.775.",120.00,"Body",1.78,"Close",true,"Dashed","Exchange","Exchange",0,0,0,true,true,true,true,true,true,0,0,30.00,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,0,200.00,100.00,7.00,"Target","SL",4.50,1.30,333.00,100.00,40.00,4.10,3.00,2.40,0,200.00,1.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,100.00,5000.00,1.00,0,60.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
935.75,37.43,1059.68,42.39,-123.93,-4.96,2208.38,88.34,1850.04,74.00,358.34,14.33,1272.63,50.91,790.36,31.61,482.27,19.29,1173.43,31.96,564.37,16.35,9129.62,365.18,0.99,5.22,1.74,2.34,0.74,111.00,111.00,50.00,0,0,131.42,91.81,39.61,30.00,21.00,9.00,0,0,0,16.00,13.00,3.00,14.00,8.00,6.00,53.33,61.90,33.33,31.19,1.16,50.46,1.83,-13.77,-0.42,138.02,4.85,142.31,5.00,119.45,4.17,90.90,3.06,98.79,3.31,80.38,2.72,1.52,1.44,1.49,210.83,7.47,210.83,7.47,174.77,5.84,182.93,6.30,182.93,6.30,141.27,5.04,58.00,51.00,75.00,76.00,61.00,141.00,38.00,35.00,42.00,0,0,0,"Changed ""RR Ratio"": 1.96 => 1.65.",120.00,"Body",1.65,"Close",true,"Dashed","Exchange","Exchange",0,0,0,true,true,true,true,true,true,0,0,30.00,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,0,200.00,100.00,7.00,"Target","SL",4.50,1.30,333.00,100.00,40.00,4.10,3.00,2.40,0,200.00,1.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,100.00,5000.00,1.00,0,60.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
791.60,31.66,1096.11,43.84,-304.50,-12.18,1993.02,79.72,1696.21,67.85,296.81,11.87,1201.42,48.06,600.11,24.00,601.31,24.05,1059.59,30.47,414.23,14.35,9129.51,365.18,0.57,2.87,1.66,2.83,0.49,111.00,111.00,48.00,0,0,128.53,84.18,44.36,30.00,20.00,10.00,0,0,0,17.00,14.00,3.00,13.00,6.00,7.00,56.67,70.00,30.00,26.39,1.00,54.81,1.98,-30.45,-0.95,117.24,4.20,121.16,4.34,98.94,3.52,92.42,3.18,100.02,3.55,85.90,2.86,1.27,1.21,1.15,187.78,6.31,187.78,6.31,150.06,4.94,177.01,6.30,177.01,6.30,143.61,5.04,43.00,44.00,40.00,47.00,47.00,44.00,37.00,37.00,38.00,0,0,0,"Changed ""RR Ratio"": 1.96 => 1.4.",120.00,"Body",1.40,"Close",true,"Dashed","Exchange","Exchange",0,0,0,true,true,true,true,true,true,0,0,30.00,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,0,200.00,100.00,7.00,"Target","SL",4.50,1.30,333.00,100.00,40.00,4.10,3.00,2.40,0,200.00,1.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,100.00,5000.00,1.00,0,60.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
225.33,9.01,586.18,23.45,-360.85,-14.43,1494.31,59.77,1319.44,52.78,174.87,6.99,1268.97,50.76,733.26,29.33,535.71,21.43,897.08,26.42,810.24,25.06,9124.86,364.99,0.20,0.36,1.18,1.80,0.33,111.00,111.00,56.00,0,0,118.93,81.43,37.50,29.00,20.00,9.00,0,0,0,9.00,8.00,1.00,20.00,12.00,8.00,31.03,40.00,11.11,7.77,0.39,29.31,1.16,-40.09,-1.34,166.03,6.25,164.93,6.16,174.87,6.97,63.45,2.25,61.11,2.17,66.96,2.37,2.62,2.70,2.61,238.75,7.97,238.75,7.97,174.87,6.97,203.70,6.30,203.70,6.30,150.68,5.04,55.00,44.00,81.00,100.00,67.00,366.00,35.00,28.00,45.00,0,0,0,"Changed ""Length"": 120 => 150.",150.00,"Body",1.96,"Close",true,"Dashed","Exchange","Exchange",0,0,0,true,true,true,true,true,true,0,0,30.00,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,0,200.00,100.00,7.00,"Target","SL",4.50,1.30,333.00,100.00,40.00,4.10,3.00,2.40,0,200.00,1.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,100.00,5000.00,1.00,0,60.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
272.07,10.88,742.37,29.69,-470.30,-18.81,3171.71,126.87,2667.20,106.69,504.50,20.18,2899.63,115.99,1924.83,76.99,974.80,38.99,1027.79,30.27,881.83,28.43,8370.46,334.82,0.29,0.49,1.09,1.39,0.52,108.00,108.00,103.00,21.07,0.76,269.04,191.41,77.63,69.00,49.00,20.00,1.00,1.00,0,22.00,17.00,5.00,47.00,32.00,15.00,31.88,34.69,25.00,3.94,0.25,15.15,0.67,-23.51,-0.79,144.17,5.71,156.89,6.19,100.90,4.05,61.69,2.30,60.15,2.26,64.99,2.41,2.34,2.61,1.55,405.67,17.12,405.67,17.12,143.94,5.64,304.44,10.78,304.44,10.78,149.59,5.45,40.00,38.00,43.00,71.00,76.00,55.00,25.00,19.00,39.00,0,0,0,"Changed ""Length"": 120 => 49.",49.00,"Body",1.96,"Close",true,"Dashed","Exchange","Exchange",0,0,0,true,true,true,true,true,true,0,0,30.00,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,0,200.00,100.00,7.00,"Target","SL",4.50,1.30,333.00,100.00,40.00,4.10,3.00,2.40,0,200.00,1.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,100.00,5000.00,1.00,0,60.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
1768.03,70.72,1803.51,72.14,-35.48,-1.42,3326.87,133.07,2762.11,110.48,564.76,22.59,1558.84,62.35,958.60,38.34,600.24,24.01,1769.91,41.47,439.70,13.59,9125.08,365.00,1.18,"N/A",2.13,2.88,0.94,112.00,111.00,112.00,0,0,199.90,133.35,66.55,43.00,29.00,14.00,0,0,0,19.00,16.00,3.00,24.00,13.00,11.00,44.19,55.17,21.43,41.12,1.34,62.19,2.05,-2.53,-0.11,175.10,5.66,172.63,5.65,188.25,5.69,64.95,2.08,73.74,2.40,54.57,1.70,2.70,2.34,3.45,288.13,10.64,288.13,10.64,239.37,6.97,162.97,5.87,160.69,5.87,162.97,5.04,41.00,35.00,54.00,60.00,44.00,143.00,26.00,24.00,29.00,0,0,0,"Changed ""Length"": 120 => 70.",70.00,"Body",1.96,"Close",true,"Dashed","Exchange","Exchange",0,0,0,true,true,true,true,true,true,0,0,30.00,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,0,200.00,100.00,7.00,"Target","SL",4.50,1.30,333.00,100.00,40.00,4.10,3.00,2.40,0,200.00,1.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,100.00,5000.00,1.00,0,60.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
609.44,24.38,818.79,32.75,-209.35,-8.37,2233.58,89.34,1906.03,76.24,327.55,13.10,1624.14,64.97,1087.24,43.49,536.89,21.48,939.70,27.45,712.69,22.91,9121.76,364.87,0.48,0.89,1.38,1.75,0.61,111.00,111.00,53.00,0,0,145.46,103.76,41.70,35.00,25.00,10.00,0,0,0,12.00,10.00,2.00,23.00,15.00,8.00,34.29,40.00,20.00,17.41,0.74,32.75,1.29,-20.93,-0.64,186.13,6.90,190.60,7.02,163.77,6.28,70.61,2.48,72.48,2.53,67.11,2.37,2.64,2.63,2.44,252.74,9.78,252.74,9.78,198.80,7.66,195.22,6.30,195.22,6.30,144.41,5.04,63.00,57.00,78.00,103.00,81.00,212.00,42.00,40.00,45.00,0,0,0,"Changed ""RR Ratio"": 1.96 => 2.15.",120.00,"Body",2.15,"Close",true,"Dashed","Exchange","Exchange",0,0,0,true,true,true,true,true,true,0,0,30.00,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,0,200.00,100.00,7.00,"Target","SL",4.50,1.30,333.00,100.00,40.00,4.10,3.00,2.40,0,200.00,1.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,100.00,5000.00,1.00,0,60.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
1299.94,52.00,1435.67,57.43,-135.72,-5.43,2920.25,116.81,2437.90,97.52,482.35,19.29,1620.30,64.81,1002.23,40.09,618.07,24.72,1301.82,34.26,607.86,17.36,9238.15,369.53,1.95,"N/A",1.80,2.43,0.78,116.00,116.00,112.00,0,0,180.66,129.14,51.53,39.00,28.00,11.00,0,0,0,16.00,13.00,3.00,23.00,15.00,8.00,41.03,46.43,27.27,33.33,1.18,51.27,1.72,-12.34,-0.20,182.52,6.07,187.53,6.19,160.78,5.59,70.45,2.23,66.82,2.15,77.26,2.37,2.59,2.81,2.08,299.72,9.78,299.72,9.78,210.86,6.97,169.53,5.87,166.20,5.87,169.53,5.04,63.00,50.00,96.00,102.00,72.00,232.00,35.00,30.00,45.00,0,0,0,"Changed ""Length"": 120 => 91.",91.00,"Body",1.96,"Close",true,"Dashed","Exchange","Exchange",0,0,0,true,true,true,true,true,true,0,0,30.00,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,0,200.00,100.00,7.00,"Target","SL",4.50,1.30,333.00,100.00,40.00,4.10,3.00,2.40,0,200.00,1.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,100.00,5000.00,1.00,0,60.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
857.29,34.29,1089.51,43.58,-232.22,-9.29,2286.95,91.48,1975.46,79.02,311.49,12.46,1429.66,57.19,885.95,35.44,543.71,21.75,1085.59,31.11,698.25,23.28,9124.53,364.98,0.58,1.14,1.60,2.23,0.57,111.00,111.00,52.00,0,0,142.52,100.08,42.44,34.00,24.00,10.00,0,0,0,14.00,12.00,2.00,20.00,12.00,8.00,41.18,50.00,20.00,25.21,0.97,45.40,1.71,-23.22,-0.79,163.35,5.92,164.62,5.98,155.75,5.53,71.48,2.49,73.83,2.57,67.96,2.37,2.29,2.23,2.29,229.31,8.62,229.31,8.62,193.20,6.75,189.01,6.30,189.01,6.30,139.82,5.04,61.00,54.00,77.00,90.00,71.00,204.00,40.00,37.00,45.00,0,0,0,"Changed ""RR Ratio"": 1.96 => 1.9.",120.00,"Body",1.90,"Close",true,"Dashed","Exchange","Exchange",0,0,0,true,true,true,true,true,true,0,0,30.00,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,0,200.00,100.00,7.00,"Target","SL",4.50,1.30,333.00,100.00,40.00,4.10,3.00,2.40,0,200.00,1.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"NONE",true,100.00,5000.00,1.00,0,60.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
