"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Length","__Type ➞","__RR Ratio","__SL Type","__Show SL","__Line Style","__Dashboard Size","__Performance Summary","__Monthly Performance"
1867.38,74.70,1442.48,57.70,424.90,17.00,2874.19,114.97,2171.24,86.85,702.95,28.12,1006.81,40.27,728.76,29.15,278.05,11.12,1869.25,42.80,296.40,10.59,9180.16,367.21,1.22,"N/A",2.86,2.98,2.53,111.00,111.00,110.00,0,0,160.23,116.94,43.29,34.00,25.00,9.00,0,0,0,25.00,18.00,7.00,9.00,7.00,2.00,73.53,72.00,77.78,54.92,1.72,57.70,1.84,47.21,1.37,114.97,3.67,120.62,3.92,100.42,3.01,111.87,3.70,104.11,3.50,139.03,4.38,1.03,1.16,0.72,192.85,7.41,192.85,7.41,173.20,4.84,158.88,5.87,158.88,5.87,150.41,5.04,28.00,28.00,28.00,27.00,26.00,27.00,31.00,31.00,30.00,0,0,0,"Current parameters.",70.00,"Body",1.37,"Close",true,"Dashed","Small",true,true
1184.63,47.39,762.08,30.48,422.56,16.90,2000.08,80.00,1438.81,57.55,561.28,22.45,815.45,32.62,676.73,27.07,138.72,5.55,1254.10,34.04,300.26,11.06,9169.76,366.79,1.14,381.25,2.45,2.13,4.05,111.00,111.00,109.00,0,0,145.65,106.52,39.13,34.00,25.00,9.00,0,0,0,26.00,18.00,8.00,8.00,7.00,1.00,76.47,72.00,88.89,34.84,1.19,30.48,1.07,46.95,1.52,76.93,2.69,79.93,2.85,70.16,2.34,101.93,3.69,96.68,3.50,138.72,5.04,0.76,0.83,0.51,134.85,5.42,134.85,5.42,112.36,3.52,154.03,5.87,154.03,5.87,138.72,5.04,19.00,20.00,17.00,17.00,16.00,19.00,28.00,31.00,5.00,0,0,0,"Changed ""RR Ratio"": 1.3728 => 1.0114.",70.00,"Body",1.01,"Close",true,"Dashed","Small",true,true
1105.48,44.22,873.29,34.93,232.19,9.29,2039.54,81.58,1553.35,62.13,486.20,19.45,934.07,37.36,680.06,27.20,254.01,10.16,1156.50,32.08,299.56,10.96,9168.66,366.75,1.01,"N/A",2.18,2.28,1.91,111.00,111.00,110.00,0,0,145.58,106.57,39.01,34.00,25.00,9.00,0,0,0,25.00,18.00,7.00,9.00,7.00,2.00,73.53,72.00,77.78,32.51,1.13,34.93,1.23,25.80,0.86,81.58,2.87,86.30,3.07,69.46,2.35,103.79,3.70,97.15,3.50,127.00,4.38,0.79,0.89,0.55,146.51,5.83,146.51,5.83,117.13,3.80,155.03,5.87,155.03,5.87,141.08,5.04,22.00,21.00,24.00,19.00,17.00,22.00,31.00,31.00,30.00,0,0,0,"Changed ""RR Ratio"": 1.3728 => 1.0864.",70.00,"Body",1.09,"Close",true,"Dashed","Small",true,true
1420.61,56.82,1586.01,63.44,-165.41,-6.62,2531.40,101.26,2101.63,84.07,429.77,17.19,1110.79,44.43,515.61,20.62,595.18,23.81,1487.40,37.32,486.31,12.67,9280.49,371.22,1.26,"N/A",2.28,4.08,0.72,115.00,115.00,112.00,0,0,134.80,95.40,39.40,28.00,20.00,8.00,0,0,0,20.00,16.00,4.00,8.00,4.00,4.00,71.43,80.00,50.00,50.74,1.70,79.30,2.53,-20.68,-0.37,126.57,4.07,131.35,4.21,107.44,3.51,138.85,4.24,128.90,4.23,148.79,4.25,0.91,1.02,0.72,211.17,6.80,211.17,6.80,167.99,4.84,164.05,5.87,158.87,5.87,164.05,5.04,50.00,43.00,68.00,56.00,45.00,97.00,37.00,35.00,39.00,0,0,0,"Changed ""Length"": 70 => 98.",98.00,"Body",1.37,"Close",true,"Dashed","Small",true,true
1650.11,66.00,1411.56,56.46,238.55,9.54,2867.70,114.71,2174.10,86.96,693.60,27.74,1217.59,48.70,762.53,30.50,455.05,18.20,1651.98,39.81,417.07,11.26,9280.60,371.22,2.12,"N/A",2.36,2.85,1.52,115.00,115.00,114.00,0,0,163.06,115.00,48.06,34.00,24.00,10.00,0,0,0,24.00,17.00,7.00,10.00,7.00,3.00,70.59,70.83,70.00,48.53,1.57,58.82,1.87,23.85,0.86,119.49,3.80,127.89,4.08,99.09,3.12,121.76,3.78,108.93,3.50,151.68,4.43,0.98,1.17,0.65,204.14,7.41,204.14,7.41,164.58,4.84,168.19,5.87,168.19,5.87,160.71,5.04,38.00,29.00,59.00,39.00,28.00,64.00,37.00,31.00,48.00,0,0,0,"Changed ""Length"": 70 => 77.",77.00,"Body",1.37,"Close",true,"Dashed","Small",true,true
1250.37,50.01,807.36,32.29,443.01,17.72,2070.79,82.83,1488.28,59.53,582.51,23.30,820.42,32.82,680.92,27.24,139.50,5.58,1313.76,35.03,300.02,11.03,9164.79,366.59,1.16,"N/A",2.52,2.19,4.18,111.00,111.00,109.00,0,0,146.92,107.42,39.50,34.00,25.00,9.00,0,0,0,26.00,18.00,8.00,8.00,7.00,1.00,76.47,72.00,88.89,36.78,1.24,32.29,1.13,49.22,1.58,79.65,2.76,82.68,2.92,72.81,2.40,102.55,3.69,97.27,3.50,139.50,5.04,0.78,0.85,0.52,138.71,5.56,138.71,5.56,116.88,3.62,154.36,5.87,154.36,5.87,139.50,5.04,20.00,20.00,17.00,17.00,16.00,19.00,28.00,31.00,5.00,0,0,0,"Changed ""RR Ratio"": 1.3728 => 1.0364.",70.00,"Body",1.04,"Close",true,"Dashed","Small",true,true
412.25,16.49,696.82,27.87,-284.58,-11.38,1514.72,60.59,1323.61,52.94,191.10,7.64,1102.47,44.10,626.79,25.07,475.68,19.03,555.48,18.19,342.63,12.16,9164.68,366.59,0.82,3.95,1.37,2.11,0.40,111.00,111.00,49.00,0,0,93.70,68.87,24.83,23.00,17.00,6.00,0,0,0,14.00,12.00,2.00,9.00,5.00,4.00,60.87,70.59,33.33,17.92,0.76,40.99,1.60,-47.43,-1.63,108.19,4.09,110.30,4.16,95.55,3.63,122.50,4.42,125.36,4.55,118.92,4.25,0.88,0.88,0.80,161.80,5.82,161.80,5.82,130.42,4.84,177.54,6.30,177.54,6.30,133.00,5.04,46.00,46.00,46.00,50.00,48.00,60.00,41.00,42.00,39.00,0,0,0,"Changed ""Length"": 70 => 133.",133.00,"Body",1.37,"Close",true,"Dashed","Small",true,true
912.26,36.49,1145.28,45.81,-233.02,-9.32,2005.62,80.22,1704.12,68.16,301.49,12.06,1093.36,43.73,558.85,22.35,534.51,21.38,1079.75,30.18,396.59,11.64,9163.79,366.55,0.66,8.81,1.83,3.05,0.56,111.00,111.00,49.00,0,0,110.29,78.31,31.98,25.00,18.00,7.00,0,0,0,17.00,14.00,3.00,8.00,4.00,4.00,68.00,77.78,42.86,36.49,1.34,63.63,2.23,-33.29,-0.95,117.98,4.11,121.72,4.26,100.50,3.44,136.67,4.55,139.71,4.85,133.63,4.25,0.86,0.87,0.75,189.57,6.19,189.57,6.19,152.81,4.84,177.54,6.30,177.54,6.30,149.22,5.04,46.00,48.00,41.00,47.00,47.00,44.00,44.00,49.00,39.00,0,0,0,"Changed ""Length"": 70 => 126.",126.00,"Body",1.37,"Close",true,"Dashed","Small",true,true
1153.23,46.13,935.86,37.43,217.37,8.69,2574.71,102.99,2025.95,81.04,548.76,21.95,1421.48,56.86,1090.09,43.60,331.39,13.26,1235.84,33.83,605.82,17.09,9391.26,375.65,1.14,30.15,1.81,1.86,1.66,113.00,113.00,106.00,0,0,156.35,115.13,41.22,35.00,26.00,9.00,0,0,0,23.00,17.00,6.00,12.00,9.00,3.00,65.71,65.38,66.67,32.95,1.18,35.99,1.29,24.15,0.86,111.94,3.81,119.17,4.09,91.46,3.02,118.46,3.87,121.12,4.00,110.46,3.46,0.95,0.98,0.83,189.18,7.41,189.18,7.41,147.26,4.84,382.10,10.78,382.10,10.78,147.54,5.04,32.00,34.00,29.00,34.00,35.00,32.00,29.00,31.00,22.00,0,0,0,"Changed ""Length"": 70 => 63.",63.00,"Body",1.37,"Close",true,"Dashed","Small",true,true
1535.09,61.40,1297.18,51.89,237.90,9.52,2802.98,112.12,2174.59,86.98,628.39,25.14,1267.89,50.72,877.41,35.10,390.48,15.62,1536.96,38.09,325.57,10.30,9163.68,366.55,1.06,"N/A",2.21,2.48,1.61,111.00,111.00,111.00,0,0,151.96,109.66,42.30,33.00,24.00,9.00,0,0,0,21.00,16.00,5.00,12.00,8.00,4.00,63.64,66.67,55.56,46.52,1.55,54.05,1.82,26.43,0.80,133.48,4.40,135.91,4.55,125.68,3.92,105.66,3.45,109.68,3.63,97.62,3.09,1.26,1.24,1.29,223.27,8.58,223.27,8.58,184.38,5.61,157.48,5.87,157.48,5.87,153.48,5.04,35.00,35.00,34.00,37.00,35.00,42.00,32.00,35.00,25.00,0,0,0,"Changed ""RR Ratio"": 1.3728 => 1.5864.",70.00,"Body",1.59,"Close",true,"Dashed","Small",true,true
