"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Take Profit % (How much stock has to rise from entry to trigger take profit) Using tighter % will have higher win rates (try 5% as an example). Using looser will produce bigger winners w/ lower win rates.","__Take Profit % QTY (How much profit you want to take after take profit target is triggered)","__Change this if you want to see Copp Curve calculated for current ticker. All Copp Curve calculations are base on NYSE Composite","__Standard Copp settings are (10, 14, 11) however, DOUBLE these lengths as alternate settings to (20,28,22) and you will find it may produce better results, but less trades","__WMA Length (Experiment changing this to longer lengths for less trades, but higher win %)","__Long RoC Length","__Short RoC Length","__Start Date","__Start Month","__Start Year","__ATR Period","__Source Upper","__Source Lower","__ATR Multiplier Upper","__ATR Multiplier Lower","__Risk-to-Reward Ratio","__Dashboard Size","__Performance Summary","__Monthly Performance"
1022.16,40.89,1022.16,40.89,0,0,11632.60,465.30,11632.60,465.30,0,0,10610.44,424.42,10610.44,424.42,0,0,2843.53,54.93,1867.66,42.40,3348.78,133.95,0.33,0.86,1.10,1.10,"N/A",65.00,65.00,0,0,0,834.26,834.26,0,168.00,168.00,0,0,0,0,84.00,84.00,0,84.00,84.00,0,50.00,50.00,"N/A",6.08,0.30,6.08,0.30,"N/A",138.48,4.19,138.48,4.19,"N/A",126.31,3.59,126.31,3.59,"N/A",1.10,1.10,"N/A",452.70,13.71,452.70,13.71,"N/A",584.72,13.24,584.72,13.24,"N/A",38.00,38.00,0,39.00,39.00,0,36.00,36.00,0,0,0,0,"Current parameters.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,2.50,1.40,"Small",true,true
-60.88,-2.44,-60.88,-2.44,0,0,10306.83,412.27,10306.83,412.27,0,0,10367.71,414.71,10367.71,414.71,0,0,2234.80,48.40,2344.93,52.94,3344.87,133.79,0.13,0.21,0.99,0.99,"N/A",68.00,68.00,0,-6.31,-0.26,940.77,940.77,0,223.00,223.00,0,1.00,1.00,0,87.00,87.00,0,136.00,136.00,0,39.01,39.01,"N/A",-0.27,-0.06,-0.27,-0.06,"N/A",118.47,4.19,118.47,4.19,"N/A",76.23,2.59,76.23,2.59,"N/A",1.55,1.55,"N/A",421.72,10.52,421.72,10.52,"N/A",282.97,9.72,282.97,9.72,"N/A",25.00,25.00,0,30.00,30.00,0,22.00,22.00,0,0,0,0,"Changed ""ATR Multiplier Lower"": 2.5 => 1.75.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,1.75,1.40,"Small",true,true
-865.31,-34.61,-865.31,-34.61,0,0,8148.16,325.93,8148.16,325.93,0,0,9013.47,360.54,9013.47,360.54,0,0,1540.87,39.42,2303.50,59.61,3342.91,133.72,-0.28,-0.31,0.90,0.90,"N/A",60.00,60.00,0,-4.78,-0.29,995.73,995.73,0,285.00,285.00,0,1.00,1.00,0,82.00,82.00,0,203.00,203.00,0,28.77,28.77,"N/A",-3.04,-0.10,-3.04,-0.10,"N/A",99.37,4.19,99.37,4.19,"N/A",44.40,1.84,44.40,1.84,"N/A",2.24,2.24,"N/A",367.93,10.52,367.93,10.52,"N/A",176.97,6.99,176.97,6.99,"N/A",18.00,18.00,0,27.00,27.00,0,14.00,14.00,0,0,0,0,"Changed ""ATR Multiplier Lower"": 2.5 => 1.25.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,1.25,1.40,"Small",true,true
1494.01,59.76,1494.01,59.76,0,0,11317.90,452.72,11317.90,452.72,0,0,9823.89,392.96,9823.89,392.96,0,0,3259.41,59.27,1769.65,32.30,3339.48,133.58,0.35,1.41,1.15,1.15,"N/A",56.00,56.00,0,0,0,641.73,641.73,0,131.00,131.00,0,0,0,0,56.00,56.00,0,75.00,75.00,0,42.75,42.75,"N/A",11.40,0.51,11.40,0.51,"N/A",202.11,6.32,202.11,6.32,"N/A",130.99,3.82,130.99,3.82,"N/A",1.54,1.54,"N/A",628.91,19.64,628.91,19.64,"N/A",628.05,13.24,628.05,13.24,"N/A",54.00,54.00,0,61.00,61.00,0,49.00,49.00,0,0,0,0,"Changed ""Risk-to-Reward Ratio"": 1.4 => 2.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,2.50,2.00,"Small",true,true
1367.03,54.68,1367.03,54.68,0,0,11283.08,451.32,11283.08,451.32,0,0,9916.05,396.64,9916.05,396.64,0,0,3368.32,60.06,2044.76,36.60,3337.53,133.50,0.34,1.21,1.14,1.14,"N/A",57.00,57.00,0,0,0,610.03,610.03,0,124.00,124.00,0,0,0,0,48.00,48.00,0,76.00,76.00,0,38.71,38.71,"N/A",11.02,0.53,11.02,0.53,"N/A",235.06,7.38,235.06,7.38,"N/A",130.47,3.79,130.47,3.79,"N/A",1.80,1.80,"N/A",686.84,22.11,686.84,22.11,"N/A",640.48,13.24,640.48,13.24,"N/A",59.00,59.00,0,73.00,73.00,0,49.00,49.00,0,0,0,0,"Changed ""Risk-to-Reward Ratio"": 2 => 2.25.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,2.50,2.25,"Small",true,true
578.56,23.14,578.56,23.14,0,0,9735.33,389.41,9735.33,389.41,0,0,9156.77,366.27,9156.77,366.27,0,0,2749.07,57.21,1739.19,38.10,3335.08,133.40,0.25,0.76,1.06,1.06,"N/A",54.00,54.00,0,-39.49,-1.28,516.61,516.61,0,122.00,122.00,0,1.00,1.00,0,56.00,56.00,0,66.00,66.00,0,45.90,45.90,"N/A",4.74,0.35,4.74,0.35,"N/A",173.85,6.26,173.85,6.26,"N/A",138.74,4.66,138.74,4.66,"N/A",1.25,1.25,"N/A",536.28,19.64,536.28,19.64,"N/A",645.20,15.85,645.20,15.85,"N/A",60.00,60.00,0,61.00,61.00,0,60.00,60.00,0,0,0,0,"Changed ""ATR Multiplier Lower"": 2.5 => 3.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,3.00,2.00,"Small",true,true
634.64,25.39,634.64,25.39,0,0,9840.69,393.63,9840.69,393.63,0,0,9206.05,368.24,9206.05,368.24,0,0,2385.37,51.39,1760.66,38.08,3335.08,133.40,0.27,0.71,1.07,1.07,"N/A",61.00,61.00,0,0,0,636.64,636.64,0,144.00,144.00,0,0,0,0,65.00,65.00,0,79.00,79.00,0,45.14,45.14,"N/A",4.41,0.28,4.41,0.28,"N/A",151.40,5.19,151.40,5.19,"N/A",116.53,3.76,116.53,3.76,"N/A",1.30,1.30,"N/A",464.06,16.67,464.06,16.67,"N/A",530.06,13.24,530.06,13.24,"N/A",48.00,48.00,0,51.00,51.00,0,46.00,46.00,0,0,0,0,"Changed ""Risk-to-Reward Ratio"": 2 => 1.7.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,2.50,1.70,"Small",true,true
579.92,23.20,579.92,23.20,0,0,10223.57,408.94,10223.57,408.94,0,0,9643.64,385.75,9643.64,385.75,0,0,1968.09,45.41,1404.98,38.16,3334.10,133.36,0.27,0.57,1.06,1.06,"N/A",64.00,64.00,0,0,0,853.09,853.09,0,187.00,187.00,0,0,0,0,104.00,104.00,0,83.00,83.00,0,55.61,55.61,"N/A",3.10,0.18,3.10,0.18,"N/A",98.30,3.24,98.30,3.24,"N/A",116.19,3.64,116.19,3.64,"N/A",0.85,0.85,"N/A",320.12,10.74,320.12,10.74,"N/A",507.01,13.24,507.01,13.24,"N/A",32.00,32.00,0,31.00,31.00,0,32.00,32.00,0,0,0,0,"Changed ""Risk-to-Reward Ratio"": 2 => 1.1.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,2.50,1.10,"Small",true,true
1669.92,66.80,1669.92,66.80,0,0,13305.45,532.22,13305.45,532.22,0,0,11635.53,465.42,11635.53,465.42,0,0,3602.14,60.65,2090.77,36.92,3335.57,133.42,0.39,1.24,1.14,1.14,"N/A",63.00,63.00,0,0,0,883.71,883.71,0,162.00,162.00,0,0,0,0,81.00,81.00,0,81.00,81.00,0,50.00,50.00,"N/A",10.31,0.42,10.31,0.42,"N/A",164.26,4.56,164.26,4.56,"N/A",143.65,3.72,143.65,3.72,"N/A",1.14,1.14,"N/A",536.13,14.70,536.13,14.70,"N/A",673.51,13.24,673.51,13.24,"N/A",41.00,41.00,0,42.00,42.00,0,40.00,40.00,0,0,0,0,"Changed ""Risk-to-Reward Ratio"": 2 => 1.5.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,2.50,1.50,"Small",true,true
821.79,32.87,821.79,32.87,0,0,11618.36,464.73,11618.36,464.73,0,0,10796.57,431.86,10796.57,431.86,0,0,3045.75,57.50,2095.25,41.64,3336.06,133.44,0.30,0.77,1.08,1.08,"N/A",62.00,62.00,0,-42.06,-1.27,706.30,706.30,0,147.00,147.00,0,1.00,1.00,0,79.00,79.00,0,68.00,68.00,0,53.74,53.74,"N/A",5.59,0.33,5.59,0.33,"N/A",147.07,4.62,147.07,4.62,"N/A",158.77,4.66,158.77,4.66,"N/A",0.93,0.93,"N/A",473.44,14.70,473.44,14.70,"N/A",711.28,15.85,711.28,15.85,"N/A",47.00,47.00,0,45.00,45.00,0,49.00,49.00,0,0,0,0,"Changed ""ATR Multiplier Lower"": 2.5 => 3.",50.00,25.00,"NYA","-",10.00,23.00,11.00,1.00,1.00,1970.00,14.00,"close","close",2.50,3.00,1.50,"Small",true,true
